parameter,value,unit,source_class,source_name,source_url_or_citation,applies_to,uncertainty_range,notes
road_free_flow_speed,10-100,km/h by OSM highway class,expert assumption,Real-world road attribute defaults,src/realworld/attributes.py,pilot road edges,10-100,Fallback speed proxies by highway class; OSM maxspeed is used when present
road_capacity_proxy,100-2200,veh/hr by OSM highway class,expert assumption,Real-world road attribute defaults,src/realworld/attributes.py,pilot road edges,100-2200,Directional capacity proxies for BPR only; not calibrated traffic counts
background_traffic_multiplier,0.8-2.0,multiplier,sensitivity-only,Config congestion scale levels,config.yaml,road BPR volume scaling,0.8-2.0,Sensitivity axis for congestion severity; not observed traffic demand
bpr_alpha,0.15,dimensionless,literature-derived,BPR default convention,Bureau of Public Roads 1964 Traffic Assignment Manual,road BPR function,0.10-0.30,Conventional starting value; pilot has no benchmark calibration yet
bpr_beta,4.0,dimensionless,literature-derived,BPR default convention,Bureau of Public Roads 1964 Traffic Assignment Manual,road BPR function,2.0-6.0,Conventional starting value; pilot has no benchmark calibration yet
disruption_probability,0.0-3.0,p_fail_scale multiplier,sensitivity-only,Config failure-rate levels,config.yaml,road edge disruption sampling,0.0-3.0 with base_p_fail 0.010-0.060,Scenario severity multiplier; not an observed edge-failure probability
capacity_reduction_factor,0.5,dimensionless,sensitivity-only,Config failure settings,config.yaml,capacity_reduction disruptions,0.25-0.75,Scenario degradation factor; not calibrated against observed incident capacity loss
blockage_rule,infinite_travel_time,rule,expert assumption,Disruption and traffic models,src/disruptions.py and src/traffic.py,blocked road edges,blocked versus capacity_reduction modes,Blocked edges are scenario states and not observed closures
bus_capacity,45,pax/vehicle,expert assumption,Config personnel group size,config.yaml,direct bus and feeder dispatch,20-60,Proxy load used for comparative simulation; no agency fleet roster is used
direct_bus_fleet_size,23,vehicles,expert assumption,Config bus fleet_size,config.yaml,bus_only origin fleet,5-40,Planning assumption for the quasi-real pilot and not an operational inventory
feeder_fleet_size,23,vehicles,expert assumption,Config multimodal shuttle_fleet_size,config.yaml,multimodal feeder fleet,5-40,Planning assumption aligned with the direct bus baseline
last_mile_fleet_size,23,vehicles,expert assumption,Config multimodal lastmile_fleet_size,config.yaml,multimodal last-mile fleet,5-40,Planning assumption to vary in policy and sensitivity runs
turnaround_time,5,min,expert assumption,Config and scenario turnaround defaults,config.yaml and src/scenario.py,vehicle fleet availability,0-30,Short operational proxy; not depot or layover validated
dispatch_interval,5,min,expert assumption,Config dispatch intervals,config.yaml,bus feeder and last-mile schedules,0-15,Fixed schedule proxy; not an operating timetable
rail_headway,10,min,expert assumption,Pilot region rail headway,data/regions/pilot_region.yaml,multimodal rail,5-20,Documented pilot assumption; not GTFS-derived yet
rail_travel_time,20,min,expert assumption,Pilot region rail travel_time_min,data/regions/pilot_region.yaml,multimodal rail,10-40,Documented pilot assumption; not an emergency-service guarantee
rail_capacity,500,pax/train,expert assumption,Pilot region rail capacity,data/regions/pilot_region.yaml,multimodal rail,200-1200,Train capacity proxy; not validated against rolling stock or crowding
transfer_fixed_delay,5,min,expert assumption,Config multimodal transfer_time_min,config.yaml,station transfer,0-15,Fixed transfer delay proxy pending station-layout validation
transfer_per_passenger_delay,0,min/pax,expert assumption,Config multimodal transfer_per_passenger_min,config.yaml,station transfer,0-0.1,Crowding delay disabled in the baseline and should be sensitivity tested
passenger_arrival_distribution,lognormal,distribution,expert assumption,Config lateness distribution,config.yaml,personnel arrival process,mu 2.0; sigma 0.3-1.0,Synthetic lateness model for uncertainty analysis
simulation_time_horizon,1440,min,expert assumption,Config experiment time_limit,config.yaml,scenario censoring,300-1440,One-day horizon for comparative simulation and not an operational forecast
late_arrival_penalty,1440,min/person,expert assumption,Config metrics late_penalty_min,config.yaml,penalized makespan,300-1440,Penalty value used for decision-support KPI only
censored_passenger_penalty,1440,min/person,expert assumption,Metrics penalized_makespan,src/metrics.py and config.yaml,censored passengers,300-1440,Each undelivered passenger adds this penalty after the time-limit anchor
connector_speed,20,km/h,expert assumption,Zone connector defaults,src/realworld/zones.py,zone-to-road connectors,5-30,Connector travel proxy for snapped public or synthetic points
connector_capacity,9999,veh/hr,expert assumption,Zone connector defaults,src/realworld/zones.py,zone-to-road connectors,1000-9999,High connector capacity avoids making synthetic snap links the primary bottleneck
traffic_volume_window,60,min,expert assumption,Config traffic volume_window_min,config.yaml,dynamic rolling traffic,15-120,BPR rolling-window approximation and not traffic assignment
base_disruption_probability,0.010-0.060,probability by road class,expert assumption,Road class defaults,src/realworld/attributes.py,road disruption sampling,0.0-0.1,Coarse edge exposure proxy and not observed failure frequency
passenger_volume,1000,pax,expert assumption,Config personnel total,config.yaml,demand scenario,100-2000,Scenario demand scale for resilience comparison
assembly_time,480,min after midnight,expert assumption,Config personnel assembly_time,config.yaml,demand schedule,0-1440,Schedule anchor for experiments only
first_departure_time,480,min after midnight,expert assumption,Config bus and multimodal first departures,config.yaml,dispatch schedule,0-1440,Schedule anchor and not a real deployment plan
