highway,routeable_edge_count,routeable_length_km,lanes_observed_count,lanes_observed_rate,observed_length_km,observed_length_share,min_observed_lanes,median_observed_lanes,p85_observed_lanes,length_weighted_mean_lanes,mapper_default_capacity_veh_per_hr,candidate_capacity_per_lane_veh_per_hr,candidate_capacity_veh_per_hr,candidate_source_class,candidate_source_name,claim_boundary,review_note
residential,5522,278.943118,0,0,0,0,,,,,400,800,400,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
tertiary,1326,59.501853,0,0,0,0,,,,,800,800,800,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
secondary,870,39.405308,0,0,0,0,,,,,1000,800,1000,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
primary,486,29.963352,0,0,0,0,,,,,1400,800,1400,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
trunk,176,12.585378,0,0,0,0,,,,,1800,800,1800,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
trunk_link,353,10.042428,0,0,0,0,,,,,1000,800,1000,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
primary_link,250,4.542784,0,0,0,0,,,,,800,800,800,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
secondary_link,85,1.951657,0,0,0,0,,,,,700,800,700,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
unclassified,20,1.09256,0,0,0,0,,,,,600,800,600,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
tertiary_link,52,0.69758,0,0,0,0,,,,,500,800,500,expert assumption,mapper fallback pending review,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",No parseable OSM lane tags for this class; current value remains a fallback.
