highway,review_priority,routeable_edge_count,routeable_length_km,routeable_length_share,speed_evidence_status,maxspeed_observed_count,maxspeed_observed_rate,observed_speed_length_share,mapper_default_speed_kph,candidate_speed_kph,speed_source_class,capacity_evidence_status,lanes_observed_count,lanes_observed_rate,mapper_default_capacity_veh_per_hr,candidate_capacity_veh_per_hr,capacity_source_class,base_disruption_evidence_status,base_disruption_explicit_rate,current_base_p_fail,base_disruption_source_class,override_source_class,weak_for_final_claim,recommended_upgrade,candidate_artifacts,publication_use_status,claim_boundary,notes
residential,high,5522,278.943118,0.635803,sparse_public_maxspeed_tags,114,0.020645,0.019733,30,30,public-data-derived,missing_lane_or_capacity_evidence,0,0,400,400,expert assumption,missing_disruption_probability_evidence,0,0.04,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
tertiary,high,1326,59.501853,0.135624,sparse_public_maxspeed_tags,52,0.039216,0.051767,40,30,public-data-derived,missing_lane_or_capacity_evidence,0,0,800,800,expert assumption,missing_disruption_probability_evidence,0,0.03,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
secondary,high,870,39.405308,0.089818,sparse_public_maxspeed_tags,70,0.08046,0.075765,50,50,public-data-derived,missing_lane_or_capacity_evidence,0,0,1000,1000,expert assumption,missing_disruption_probability_evidence,0,0.025,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
primary,high,486,29.963352,0.068296,sparse_public_maxspeed_tags,1,0.002058,0.021857,60,60,public-data-derived,missing_lane_or_capacity_evidence,0,0,1400,1400,expert assumption,missing_disruption_probability_evidence,0,0.02,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
trunk,medium,176,12.585378,0.028686,sparse_public_maxspeed_tags,123,0.698864,0.637668,80,80,public-data-derived,missing_lane_or_capacity_evidence,0,0,1800,1800,expert assumption,missing_disruption_probability_evidence,0,0.015,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
trunk_link,medium,353,10.042428,0.02289,missing_public_speed_evidence,0,0,0,50,50,expert assumption,missing_lane_or_capacity_evidence,0,0,1000,1000,expert assumption,missing_disruption_probability_evidence,0,0.025,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
primary_link,medium,250,4.542784,0.010354,missing_public_speed_evidence,0,0,0,45,45,expert assumption,missing_lane_or_capacity_evidence,0,0,800,800,expert assumption,missing_disruption_probability_evidence,0,0.03,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
secondary_link,medium,85,1.951657,0.004448,missing_public_speed_evidence,0,0,0,40,40,expert assumption,missing_lane_or_capacity_evidence,0,0,700,700,expert assumption,missing_disruption_probability_evidence,0,0.035,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
unclassified,medium,20,1.09256,0.00249,missing_public_speed_evidence,0,0,0,35,35,expert assumption,missing_lane_or_capacity_evidence,0,0,600,600,expert assumption,missing_disruption_probability_evidence,0,0.04,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
tertiary_link,medium,52,0.69758,0.00159,missing_public_speed_evidence,0,0,0,35,35,expert assumption,missing_lane_or_capacity_evidence,0,0,500,500,expert assumption,missing_disruption_probability_evidence,0,0.04,expert assumption,expert assumption,true,"speed: review public speed limits, OSM maxspeed coverage, or routing benchmark; capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions; disruption: add hazard, incident, scenario, or reviewed sensitivity evidence",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not accepted road calibration, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as accepted calibration.
