highway,routeable_edge_count,routeable_length_km,maxspeed_observed_count,maxspeed_observed_rate,observed_length_km,observed_length_share,min_observed_speed_kph,median_observed_speed_kph,p85_observed_speed_kph,length_weighted_mean_speed_kph,mapper_default_speed_kph,candidate_speed_kph,candidate_source_class,candidate_source_name,claim_boundary,review_note
residential,5522,278.943118,114,0.020645,5.504411,0.019733,20,30,30,32.921153,30,30,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
tertiary,1326,59.501853,52,0.039216,3.080247,0.051767,30,30,40,36.935147,40,30,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
secondary,870,39.405308,70,0.08046,2.985558,0.075765,50,50,50,50,50,50,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
primary,486,29.963352,1,0.002058,0.654904,0.021857,60,60,60,60,60,60,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
trunk,176,12.585378,123,0.698864,8.025293,0.637668,80,80,80,80,80,80,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
trunk_link,353,10.042428,0,0,0,0,,,,,50,50,expert assumption,mapper fallback pending review,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,No parseable OSM maxspeed tags for this class; current value remains a fallback.
primary_link,250,4.542784,0,0,0,0,,,,,45,45,expert assumption,mapper fallback pending review,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,No parseable OSM maxspeed tags for this class; current value remains a fallback.
secondary_link,85,1.951657,0,0,0,0,,,,,40,40,expert assumption,mapper fallback pending review,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,No parseable OSM maxspeed tags for this class; current value remains a fallback.
unclassified,20,1.09256,0,0,0,0,,,,,35,35,expert assumption,mapper fallback pending review,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,No parseable OSM maxspeed tags for this class; current value remains a fallback.
tertiary_link,52,0.69758,0,0,0,0,,,,,35,35,expert assumption,mapper fallback pending review,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,No parseable OSM maxspeed tags for this class; current value remains a fallback.
