region_id,graph_source,method,parameter_id,salib_name,level,parameter_value,baseline_value,low_value,high_value,unit,applies_to,scenario_filter,policy_id,scenario_id,scenario_family,scenario_type,seed,mode,completion_rate,censored_count,penalized_makespan,total_service_minutes,passengers_per_total_service_minute,delta_completion_rate,abs_delta_completion_rate,delta_censored_count,abs_delta_censored_count,delta_penalized_makespan,abs_delta_penalized_makespan,delta_total_service_minutes,abs_delta_total_service_minutes,delta_passengers_per_total_service_minute,abs_delta_passengers_per_total_service_minute,selected_edge_count,selected_edge_probability,notes,claim_scope
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_random_capacity_reduction,random,capacity_reduction,2201,bus_only,1.0,0,19.28,12.84,1.8696,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_random_capacity_reduction,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,bus_only,1.0,0,19.28,12.85,1.8678,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_last_mile_station_to_destination,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,baseline_multimodal,songpa_random_capacity_reduction,random,capacity_reduction,2201,multimodal,1.0,0,51.11,56.76,0.4228,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,baseline sensitivity-design values | policy=baseline_multimodal | scenario=songpa_random_capacity_reduction,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,baseline_multimodal,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,multimodal,1.0,0,51.12,56.78,0.4227,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0,baseline sensitivity-design values | policy=baseline_multimodal | scenario=songpa_last_mile_station_to_destination,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_volume,passenger_volume,low,16,24,16,32,pax,all,all,bus_only,songpa_random_capacity_reduction,random,capacity_reduction,2201,bus_only,1.0,0,14.28,8.56,1.8696,0.0,0.0,0,0,-5.0,5.0,-4.28,4.28,0.0,0.0,4,1.0,parameter=Fixture-scale demand for fast pilot screening rather than the full calibrated demand case. | policy=bus_only | scenario=Hash-ranked road-edge subset for reproducible random-style baseline; not observed disaster data.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_volume,passenger_volume,low,16,24,16,32,pax,all,all,bus_only,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,bus_only,1.0,0,14.28,8.57,1.8678,0.0,0.0,0,0,-5.0,5.0,-4.28,4.28,0.0,0.0,21,1.0,parameter=Fixture-scale demand for fast pilot screening rather than the full calibrated demand case. | policy=bus_only | scenario=Shortest road path from rail egress point to destination point in the simulator graph.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_volume,passenger_volume,low,16,24,16,32,pax,all,all,baseline_multimodal,songpa_random_capacity_reduction,random,capacity_reduction,2201,multimodal,1.0,0,46.11,31.17,0.5132,0.0,0.0,0,0,-5.0,5.0,-25.59,25.59,0.0904,0.0904,4,1.0,parameter=Fixture-scale demand for fast pilot screening rather than the full calibrated demand case. | policy=baseline_multimodal | scenario=Hash-ranked road-edge subset for reproducible random-style baseline; not observed disaster data.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_volume,passenger_volume,low,16,24,16,32,pax,all,all,baseline_multimodal,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,multimodal,1.0,0,46.11,31.19,0.513,0.0,0.0,0,0,-5.0,5.0,-25.59,25.59,0.0903,0.0903,21,1.0,parameter=Fixture-scale demand for fast pilot screening rather than the full calibrated demand case. | policy=baseline_multimodal | scenario=Shortest road path from rail egress point to destination point in the simulator graph.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_volume,passenger_volume,high,32,24,16,32,pax,all,all,bus_only,songpa_random_capacity_reduction,random,capacity_reduction,2201,bus_only,1.0,0,24.28,17.12,1.8696,0.0,0.0,0,0,5.0,5.0,4.28,4.28,0.0,0.0,4,1.0,parameter=Fixture-scale demand for fast pilot screening rather than the full calibrated demand case. | policy=bus_only | scenario=Hash-ranked road-edge subset for reproducible random-style baseline; not observed disaster data.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_volume,passenger_volume,high,32,24,16,32,pax,all,all,bus_only,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,bus_only,1.0,0,24.28,17.13,1.8677,0.0,0.0,0,0,5.0,5.0,4.28,4.28,-0.0001,0.0001,21,1.0,parameter=Fixture-scale demand for fast pilot screening rather than the full calibrated demand case. | policy=bus_only | scenario=Shortest road path from rail egress point to destination point in the simulator graph.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_volume,passenger_volume,high,32,24,16,32,pax,all,all,baseline_multimodal,songpa_random_capacity_reduction,random,capacity_reduction,2201,multimodal,1.0,0,56.11,62.35,0.5132,0.0,0.0,0,0,5.0,5.0,5.59,5.59,0.0904,0.0904,4,1.0,parameter=Fixture-scale demand for fast pilot screening rather than the full calibrated demand case. | policy=baseline_multimodal | scenario=Hash-ranked road-edge subset for reproducible random-style baseline; not observed disaster data.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_volume,passenger_volume,high,32,24,16,32,pax,all,all,baseline_multimodal,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,multimodal,1.0,0,56.12,62.37,0.513,0.0,0.0,0,0,5.0,5.0,5.59,5.59,0.0903,0.0903,21,1.0,parameter=Fixture-scale demand for fast pilot screening rather than the full calibrated demand case. | policy=baseline_multimodal | scenario=Shortest road path from rail egress point to destination point in the simulator graph.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_arrival_variability,passenger_arrival_variability,low,0.15,0.25,0.15,0.5,lognormal sigma,all,all,bus_only,songpa_random_capacity_reduction,random,capacity_reduction,2201,bus_only,1.0,0,19.28,12.84,1.8696,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,parameter=Arrival-tail uncertainty for the fixed-seed pilot scaffold screening run. | policy=bus_only | scenario=Hash-ranked road-edge subset for reproducible random-style baseline; not observed disaster data.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_arrival_variability,passenger_arrival_variability,low,0.15,0.25,0.15,0.5,lognormal sigma,all,all,bus_only,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,bus_only,1.0,0,19.28,12.85,1.8678,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0,parameter=Arrival-tail uncertainty for the fixed-seed pilot scaffold screening run. | policy=bus_only | scenario=Shortest road path from rail egress point to destination point in the simulator graph.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_arrival_variability,passenger_arrival_variability,low,0.15,0.25,0.15,0.5,lognormal sigma,all,all,baseline_multimodal,songpa_random_capacity_reduction,random,capacity_reduction,2201,multimodal,1.0,0,51.11,56.76,0.4228,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,parameter=Arrival-tail uncertainty for the fixed-seed pilot scaffold screening run. | policy=baseline_multimodal | scenario=Hash-ranked road-edge subset for reproducible random-style baseline; not observed disaster data.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_arrival_variability,passenger_arrival_variability,low,0.15,0.25,0.15,0.5,lognormal sigma,all,all,baseline_multimodal,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,multimodal,1.0,0,51.12,56.78,0.4227,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0,parameter=Arrival-tail uncertainty for the fixed-seed pilot scaffold screening run. | policy=baseline_multimodal | scenario=Shortest road path from rail egress point to destination point in the simulator graph.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,passenger_arrival_variability,passenger_arrival_variability,high,0.5,0.25,0.15,0.5,lognormal sigma,all,all,bus_only,songpa_random_capacity_reduction,random,capacity_reduction,2201,bus_only,1.0,0,19.28,12.84,1.8696,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,parameter=Arrival-tail uncertainty for the fixed-seed pilot scaffold screening run. | policy=bus_only | scenario=Hash-ranked road-edge subset for reproducible random-style baseline; not observed disaster data.,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
