s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
0.8,0.0,baseline,blocked,,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.0,baseline,capacity_reduction,0.25,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.0,baseline,capacity_reduction,0.5,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.0,baseline,capacity_reduction,0.75,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.0,matched_redundancy,blocked,,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.0,matched_redundancy,capacity_reduction,0.25,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.0,matched_redundancy,capacity_reduction,0.5,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.0,matched_redundancy,capacity_reduction,0.75,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.25,baseline,blocked,,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.25,baseline,capacity_reduction,0.25,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.25,baseline,capacity_reduction,0.5,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.25,baseline,capacity_reduction,0.75,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.25,matched_redundancy,blocked,,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.25,matched_redundancy,capacity_reduction,0.25,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.25,matched_redundancy,capacity_reduction,0.5,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.25,matched_redundancy,capacity_reduction,0.75,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.5,baseline,blocked,,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.5,baseline,capacity_reduction,0.25,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.5,baseline,capacity_reduction,0.5,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.5,baseline,capacity_reduction,0.75,-29.999742045395237,0.0,30,-29.999742045395237,-29.999742045395237,30,0
0.8,0.5,matched_redundancy,blocked,,-29.59881705187824,2.195956628168731,30,-30.384630039171558,-28.81300406458492,30,0
0.8,0.5,matched_redundancy,capacity_reduction,0.25,-29.935542455507235,0.3516356356423907,30,-30.06137365168772,-29.80971125932675,30,0
0.8,0.5,matched_redundancy,capacity_reduction,0.5,-29.99596559893124,0.020684449155434746,30,-30.00336743400068,-29.988563763861798,30,0
0.8,0.5,matched_redundancy,capacity_reduction,0.75,-29.999198112776966,0.0029792416479040027,30,-30.00026422070878,-29.998132004845154,30,0
0.8,1.0,baseline,blocked,,-96079.99467506005,365534.0663766728,30,-226884.68041990837,34724.691069788285,30,0
0.8,1.0,baseline,capacity_reduction,0.25,-30.703660325947528,3.705110693628391,30,-32.029517159850734,-29.377803492044325,30,0
0.8,1.0,baseline,capacity_reduction,0.5,-30.001933316800272,0.03927956119512576,30,-30.01598932725438,-29.987877306346164,30,0
0.8,1.0,baseline,capacity_reduction,0.75,-30.000057660618186,0.005657549966376165,30,-30.002082188872894,-29.998033132363478,30,0
0.8,1.0,matched_redundancy,blocked,,-29.765483718544903,2.407033203737746,30,-30.626829488347617,-28.90413794874219,30,0
0.8,1.0,matched_redundancy,capacity_reduction,0.25,-30.102209122173903,0.9895042916549242,30,-30.456298685415117,-29.74811955893269,30,0
