network_variant,failure_mode,capacity_reduction_factor,s,p_fail_scale,bus_makespan_mean,multi_makespan_mean,delta_mean,bus_sr_mean,multi_sr_mean,bus_leftover_mean,multi_leftover_mean,bus_penalized_makespan_mean,multi_penalized_makespan_mean,delta_penalized_makespan_mean,bus_success_count_mean,multi_success_count_mean,bus_completion_rate_mean,multi_completion_rate_mean,delta_completion_rate_mean,bus_censored_count_mean,multi_censored_count_mean,bus_resource_eff_mean,multi_resource_eff_mean,delta_resource_eff_mean,bus_total_personnel_mean,multi_total_personnel_mean,bus_bus_trips_mean,multi_bus_trips_mean,bus_train_trips_mean,multi_train_trips_mean,bus_bus_minutes_mean,multi_bus_minutes_mean,bus_train_minutes_mean,multi_train_minutes_mean,bus_lastmile_minutes_mean,multi_lastmile_minutes_mean,bus_lastmile_vehicle_minutes_mean,multi_lastmile_vehicle_minutes_mean,bus_road_vehicle_service_minutes_mean,multi_road_vehicle_service_minutes_mean,bus_train_service_minutes_mean,multi_train_service_minutes_mean,bus_total_service_minutes_mean,multi_total_service_minutes_mean,bus_passenger_travel_minutes_mean,multi_passenger_travel_minutes_mean,bus_passengers_per_vehicle_minute_mean,multi_passengers_per_vehicle_minute_mean,bus_passengers_per_total_service_minute_mean,multi_passengers_per_total_service_minute_mean,delta_std,delta_penalized_makespan_std,delta_completion_rate_std,delta_resource_eff_std,delta_road_vehicle_service_minutes_std,delta_train_service_minutes_std,delta_total_service_minutes_std,delta_passenger_travel_minutes_std,delta_passengers_per_vehicle_minute_std,delta_passengers_per_total_service_minute_std
baseline,blocked,,0.8,0.0,645.0121933903429,675.011935435738,-29.999742045395237,1.0,1.0,0.0,0.0,645.0121933903429,675.011935435738,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8693999999999998,0.9459000000000003,-0.07650000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.88999999999993,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.1399999999999,0.0,480.0,1150.25,1057.1399999999999,50011.030000000006,65092.729999999996,0.8693999999999998,1.7327000000000004,0.8693999999999998,0.9459000000000003,0.0,0.0,0.0,1.4115032135209254e-17,1.156303432516342e-13,0.0,4.336137871936283e-14,1.8500854920261474e-12,1.1292025708167404e-16,1.4115032135209254e-17
baseline,blocked,,0.8,0.25,645.0121933903429,675.011935435738,-29.999742045395237,1.0,1.0,0.0,0.0,645.0121933903429,675.011935435738,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8693999999999998,0.9459000000000003,-0.07650000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.88999999999993,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.1399999999999,0.0,480.0,1150.25,1057.1399999999999,50011.030000000006,65092.729999999996,0.8693999999999998,1.7327000000000004,0.8693999999999998,0.9459000000000003,0.0,0.0,0.0,1.4115032135209254e-17,1.156303432516342e-13,0.0,4.336137871936283e-14,1.8500854920261474e-12,1.1292025708167404e-16,1.4115032135209254e-17
baseline,blocked,,0.8,0.5,645.0121933903429,675.011935435738,-29.999742045395237,1.0,1.0,0.0,0.0,645.0121933903429,675.011935435738,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8693999999999998,0.9459000000000003,-0.07650000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.88999999999993,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.1399999999999,0.0,480.0,1150.25,1057.1399999999999,50011.030000000006,65092.729999999996,0.8693999999999998,1.7327000000000004,0.8693999999999998,0.9459000000000003,0.0,0.0,0.0,1.4115032135209254e-17,1.156303432516342e-13,0.0,4.336137871936283e-14,1.8500854920261474e-12,1.1292025708167404e-16,1.4115032135209254e-17
baseline,blocked,,0.8,1.0,646.0164646799726,675.0119354357381,-28.923737092220556,1.0,0.9333333333333333,0.0,66.66666666666667,646.0164646799726,96726.01113974,-96079.99467506005,1000.0,933.3333333333334,1.0,0.9333333333333333,0.06666666666666667,0.0,66.66666666666667,0.8585066666666665,0.8828400000000002,-0.02433333333333335,1000.0,1000.0,23.0,22.233333333333334,0.0,11.6,1173.3393333333333,335.32699999999994,0.0,464.0,0.0,214.9,0.0,214.9,1173.3393333333333,550.227,0.0,464.0,1173.3393333333333,1014.227,51014.89233333334,62589.28,0.8585066666666665,1.6171866666666668,0.8585066666666665,0.8828400000000002,5.693683031147819,365534.0663766728,0.2537081317024625,0.25014554567888775,165.14405668956138,87.63560920082658,228.9162159888279,12965.747244442307,0.4465552631360229,0.25014554567888775
baseline,blocked,,0.8,1.5,646.0164646799726,675.0119354357381,-28.883885056917787,1.0,0.9,0.0,100.0,646.0164646799726,144751.51074189224,-144105.4942772121,1000.0,900.0,1.0,0.9,0.1,0.0,100.0,0.8585066666666665,0.8513100000000003,0.007196666666666652,1000.0,1000.0,23.0,22.233333333333334,0.0,11.6,1173.3393333333333,335.32699999999994,0.0,464.0,0.0,207.225,0.0,207.225,1173.3393333333333,542.5519999999999,0.0,464.0,1173.3393333333333,1006.5519999999999,51014.89233333334,62255.587666666666,0.8585066666666665,1.55943,0.8585066666666665,0.8513100000000003,5.7981629940712205,439618.9105796993,0.30512857662936466,0.2983185470361291,168.06464720731586,87.63560920082658,230.4815202096709,13001.141397127467,0.5357096696219293,0.2983185470361291
baseline,blocked,,0.8,2.0,645.0121933903429,675.0119354357381,-29.999742045395237,0.9666666666666667,0.9,33.333333333333336,100.0,48671.51178694401,144751.51074189224,-96079.99895494817,966.6666666666666,900.0,0.9666666666666667,0.9,0.06666666666666667,33.333333333333336,100.0,0.8404199999999998,0.8513100000000003,-0.010890000000000014,1000.0,1000.0,22.233333333333334,22.233333333333334,0.0,11.6,1111.9083333333333,335.32699999999994,0.0,464.0,0.0,207.225,0.0,207.225,1111.9083333333333,542.5519999999999,0.0,464.0,1111.9083333333333,1006.5519999999999,48343.99566666667,62255.587666666666,0.8404199999999998,1.55943,0.8404199999999998,0.8513100000000003,0.0,526096.0112624895,0.3651483716701107,0.33788881189956044,246.47676442888755,87.63560920082658,296.07495478613043,15422.244425582248,0.5613412542203318,0.33788881189956044
baseline,blocked,,0.8,3.0,646.0510947244426,675.0119354357381,-28.840967480437886,0.9666666666666667,0.9,33.333333333333336,100.0,48672.51605823364,144751.51074189224,-96078.99468365853,966.6666666666666,900.0,0.9666666666666667,0.9,0.06666666666666667,33.333333333333336,100.0,0.8295266666666665,0.8513100000000003,-0.021783333333333346,1000.0,1000.0,22.233333333333334,21.466666666666665,0.0,11.2,1134.9976666666666,323.76399999999995,0.0,448.0,0.0,207.225,0.0,207.225,1134.9976666666666,530.9889999999999,0.0,448.0,1134.9976666666666,978.9889999999999,49347.858,60419.522333333334,0.8295266666666665,1.55943,0.8295266666666665,0.8513100000000003,5.90861411857252,526096.2009647122,0.3651483716701107,0.3452643975208019,293.2243485295426,121.77990321718197,370.10242750681437,19913.606230309088,0.5673763681119914,0.3452643975208019
baseline,blocked,,1.0,0.0,645.0297690193918,675.0291392474072,-29.999370228015437,1.0,1.0,0.0,0.0,645.0297690193918,675.0291392474072,-29.999370228015437,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8690999999999999,0.9432000000000003,-0.07410000000000005,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.62,349.6200000000002,0.0,480.0,0.0,230.60999999999996,0.0,230.60999999999996,1150.62,580.2299999999999,0.0,480.0,1150.62,1060.23,50026.91999999999,65226.39999999999,0.8690999999999999,1.7235000000000005,0.8690999999999999,0.9432000000000003,0.0,0.0,0.0,0.0,1.156303432516342e-13,0.0,0.0,3.700170984052295e-12,3.387607712450221e-16,0.0
baseline,blocked,,1.0,0.25,645.0297690193918,675.0291392474072,-29.999370228015437,1.0,1.0,0.0,0.0,645.0297690193918,675.0291392474072,-29.999370228015437,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8690999999999999,0.9432000000000003,-0.07410000000000005,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.62,349.6200000000002,0.0,480.0,0.0,230.60999999999996,0.0,230.60999999999996,1150.62,580.2299999999999,0.0,480.0,1150.62,1060.23,50026.91999999999,65226.39999999999,0.8690999999999999,1.7235000000000005,0.8690999999999999,0.9432000000000003,0.0,0.0,0.0,0.0,1.156303432516342e-13,0.0,0.0,3.700170984052295e-12,3.387607712450221e-16,0.0
baseline,blocked,,1.0,0.5,645.0297690193918,675.0291392474072,-29.999370228015437,1.0,1.0,0.0,0.0,645.0297690193918,675.0291392474072,-29.999370228015437,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8690999999999999,0.9432000000000003,-0.07410000000000005,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.62,349.6200000000002,0.0,480.0,0.0,230.60999999999996,0.0,230.60999999999996,1150.62,580.2299999999999,0.0,480.0,1150.62,1060.23,50026.91999999999,65226.39999999999,0.8690999999999999,1.7235000000000005,0.8690999999999999,0.9432000000000003,0.0,0.0,0.0,0.0,1.156303432516342e-13,0.0,0.0,3.700170984052295e-12,3.387607712450221e-16,0.0
