sigma,policy,s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
0.3,STRICT,1.2,1.0,baseline,blocked,,0,42,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,1,43,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,2,44,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,3,45,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,4,46,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,5,47,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,6,48,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,7,49,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,8,50,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
0.3,STRICT,1.2,1.0,baseline,blocked,,9,51,645.0617290386112,675.060423143424,-29.998694104812785,645.0617290386112,675.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.58,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.84,565.4499999999999,0.0,480.0,-480.0,1151.29,1065.84,85.45000000000005,50055.82,65469.46,-15413.64,0.8686,1.707,-0.8384,0.8686,0.9382,-0.0696
