region_id,scenario_id,scenario_family,scenario_type,policy_id,mode,bottleneck_class,completion_loss,censored_increase,penalized_makespan_increase_min,p95_arrival_increase_min,performance_loss_score,evidence_label,claim_scope
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,baseline_multimodal,multimodal,critical road link,1.0,24.0,7388.89,inf,inf,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,bus_only,bus_only,critical road link,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,fleet_shortage_stress,multimodal,critical road link,1.0,24.0,7388.89,inf,inf,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,multimodal_increased_feeder_capacity,multimodal,critical road link,1.0,24.0,7388.89,inf,inf,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,multimodal_lastmile_redundancy,multimodal,critical road link,1.0,24.0,7388.89,inf,inf,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,rail_delay_or_partial_unavailability,multimodal,critical road link,1.0,24.0,7378.89,inf,inf,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,staggered_or_adaptive_dispatch,multimodal,critical road link,1.0,24.0,7378.89,inf,inf,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,baseline_multimodal,multimodal,direct road access,0.0,0.0,0.01,0.01,0.02,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,bus_only,bus_only,direct road access,0.0,0.0,0.03,0.03,0.06,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,fleet_shortage_stress,multimodal,direct road access,0.0,0.0,0.01,0.01,0.02,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,multimodal_increased_feeder_capacity,multimodal,direct road access,0.0,0.0,0.01,0.01,0.02,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,multimodal_lastmile_redundancy,multimodal,direct road access,0.0,0.0,0.01,0.01,0.02,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,rail_delay_or_partial_unavailability,multimodal,direct road access,0.0,0.0,0.01,0.01,0.02,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,staggered_or_adaptive_dispatch,multimodal,direct road access,0.0,0.0,0.01,0.01,0.02,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,baseline_multimodal,multimodal,last-mile road,0.0,0.0,0.02,0.02,0.04,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,bus_only,bus_only,last-mile road,0.0,0.0,0.01,0.01,0.02,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,fleet_shortage_stress,multimodal,last-mile road,0.0,0.0,0.02,0.02,0.04,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,multimodal_increased_feeder_capacity,multimodal,last-mile road,0.0,0.0,0.02,0.02,0.04,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,multimodal_lastmile_redundancy,multimodal,last-mile road,0.0,0.0,0.02,0.02,0.04,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,rail_delay_or_partial_unavailability,multimodal,last-mile road,0.0,0.0,0.02,0.02,0.04,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,staggered_or_adaptive_dispatch,multimodal,last-mile road,0.0,0.0,0.02,0.02,0.04,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,baseline_multimodal,multimodal,none,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,bus_only,bus_only,none,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,fleet_shortage_stress,multimodal,none,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,multimodal_increased_feeder_capacity,multimodal,none,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,multimodal_lastmile_redundancy,multimodal,none,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,rail_delay_or_partial_unavailability,multimodal,none,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,staggered_or_adaptive_dispatch,multimodal,none,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_station,access_road,capacity_reduction,baseline_multimodal,multimodal,rail access road,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_station,access_road,capacity_reduction,bus_only,bus_only,rail access road,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_station,access_road,capacity_reduction,fleet_shortage_stress,multimodal,rail access road,0.0,0.0,0.0,0.0,0.0,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
