region_id,scenario_id,scenario_family,scenario_type,decision_lens,winning_policy_id,winning_mode,winning_value,second_best_value,margin_to_second,regime_label,evidence_label,claim_scope
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,reliability,bus_only,bus_only,1.0,1.0,0.0,bus_only reliability-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,resource,bus_only,bus_only,1.8582,0.4225,1.4357,bus_only resource-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_destination,access_road,capacity_reduction,speed,bus_only,bus_only,19.31,51.12,31.81,bus_only speed-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_station,access_road,capacity_reduction,reliability,bus_only,bus_only,1.0,1.0,0.0,bus_only reliability-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_station,access_road,capacity_reduction,resource,bus_only,bus_only,1.8693,0.4227,1.4466,bus_only resource-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_access_origin_to_station,access_road,capacity_reduction,speed,bus_only,bus_only,19.28,51.11,31.83,bus_only speed-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,reliability,bus_only,bus_only,1.0,0.0,1.0,bus_only reliability-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,resource,bus_only,bus_only,1.8697,0.0,1.8697,bus_only resource-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_critical_link_blockage,critical_link,blocked,speed,bus_only,bus_only,19.28,7440.0,7420.72,bus_only speed-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,reliability,bus_only,bus_only,1.0,1.0,0.0,bus_only reliability-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,resource,bus_only,bus_only,1.8647,0.4225,1.4422,bus_only resource-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,speed,bus_only,bus_only,19.29,51.13,31.84,bus_only speed-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,reliability,bus_only,bus_only,1.0,1.0,0.0,bus_only reliability-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,resource,bus_only,bus_only,1.8697,0.4228,1.4469,bus_only resource-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,no_disruption,no_disruption,none,speed,bus_only,bus_only,19.28,51.11,31.83,bus_only speed-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
songpa_public_demo,songpa_rail_station_access,rail_station_access,capacity_reduction,reliability,bus_only,bus_only,1.0,1.0,0.0,bus_only reliability-favored,scaffold-only,Pilot full scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
