,stnode,endnode,Type,infra_type,one_way,Wkt,length,key,osm_id,geometry
0,0,15755,legitimate,service,,"LINESTRING (-21.6684847 64.0841785, -21.66853 64.0842208)",0.005207705369117999,edge_22373,82d59116-b41a-468f-80db-1efa30cb642b,"LINESTRING (-21.6684847 64.0841785, -21.66853 64.0842208)"
1,0,17679,legitimate,unclassified,,"LINESTRING (-21.6678746 64.0842456, -21.6684847 64.0841785)",0.030688959740691794,edge_22635,c704bdf9-8b7c-4eda-add2-7fbbd343ef6f,"LINESTRING (-21.6684847 64.0841785, -21.6678746 64.0842456)"
2,0,18144,legitimate,unclassified,,"LINESTRING (-21.6684847 64.0841785, -21.6691243 64.0841081)",0.032174438785184827,edge_22636,c704bdf9-8b7c-4eda-add2-7fbbd343ef6f,"LINESTRING (-21.6684847 64.0841785, -21.6691243 64.0841081)"
3,1,1784,legitimate,residential,,"LINESTRING (-21.9851712 64.1511685, -21.9849891 64.1510148, -21.9849512 64.1509811)",0.023475892182805196,edge_13520,4f7bd9c8-5c6c-4d7a-a91c-b176d212df4e,"LINESTRING (-21.9849512 64.1509811, -21.9851712 64.1511685)"
4,1,11193,legitimate,residential,,"LINESTRING (-21.9849512 64.1509811, -21.9848957 64.1509317)",0.006133822879710043,edge_13661,98af582a-140f-47e6-ada7-645b49acc30a,"LINESTRING (-21.9849512 64.1509811, -21.9848957 64.1509317)"
5,1,12468,legitimate,tertiary,,"LINESTRING (-21.9849512 64.1509811, -21.9853011 64.1509256, -21.9855297 64.1508897, -21.9861439 64.1508012, -21.9861806 64.1507957, -21.9863513 64.15077)",0.07209533658884063,edge_13631,37f4afd6-27d7-4c31-b3a5-9415f0afff6e,"LINESTRING (-21.9849512 64.1509811, -21.9863513 64.15077)"
6,1,14200,legitimate,tertiary,,"LINESTRING (-21.9844191 64.1511168, -21.9846567 64.1510476, -21.9849512 64.1509811)",0.030036809482968767,edge_13660,15fb6e52-c27c-4b7d-b33a-5f68f5762ecd,"LINESTRING (-21.9849512 64.1509811, -21.9844191 64.1511168)"
7,2,1103,legitimate,service,,"LINESTRING (-21.593193 64.1188407, -21.5933832 64.1190985, -21.5935712 64.1193469, -21.5935382 64.1194792)",0.07419971960717463,edge_17720,276ad819-bebe-4a51-bb9e-0340521ef300,"LINESTRING (-21.5935382 64.1194792, -21.593193 64.1188407)"
8,2,13425,legitimate,service,,"LINESTRING (-21.5935382 64.1194792, -21.5933958 64.1193846, -21.5932948 64.119337, -21.593065 64.119282, -21.5928528 64.1192414, -21.5927479 64.1192043, -21.5926788 64.1191302, -21.5924665 64.1188459, -21.5923953 64.1187274, -21.5923678 64.1186255, -21.5924069 64.1183235, -21.5924558 64.1179878, -21.592479 64.1176809, -21.5924725 64.1175634, -21.5924236 64.117369, -21.5923429 64.1171979, -21.5923288 64.1171042, -21.592352 64.1170074, -21.5924502 64.1169063, -21.5926507 64.1167951, -21.5927765 64.1167298, -21.5928595 64.1167081, -21.5929867 64.116706, -21.5931653 64.1167149, -21.5933722 64.1167322, -21.5941335 64.116831)",0.4051731009699009,edge_17724,4869ff60-8b09-46cd-8a22-caf359b2eace,"LINESTRING (-21.5935382 64.1194792, -21.5941335 64.116831)"
9,2,15096,legitimate,service,,"LINESTRING (-21.5935382 64.1194792, -21.5935329 64.1195093)",0.0033654452461541616,edge_17721,276ad819-bebe-4a51-bb9e-0340521ef300,"LINESTRING (-21.5935382 64.1194792, -21.5935329 64.1195093)"
10,3,5329,legitimate,residential,,"LINESTRING (-21.9985141 64.1536718, -21.9984767 64.1537859, -21.9984354 64.1538681, -21.9983764 64.1539657, -21.9982927 64.154069)",0.045698595540914856,edge_13954,a146354f-4336-46a5-8b15-a54922bbc6e9,"LINESTRING (-21.9982927 64.154069, -21.9985141 64.1536718)"
11,3,11244,legitimate,residential,,"LINESTRING (-21.9982927 64.154069, -21.998094 64.1542804, -21.997346 64.1550764, -21.996869 64.1555829, -21.9965902 64.1558954, -21.9964313 64.1559966)",0.2334976595012469,edge_13989,b9ec3966-4159-46e9-a08f-c2de0eee810e,"LINESTRING (-21.9982927 64.154069, -21.9964313 64.1559966)"
12,3,12858,legitimate,residential,,"LINESTRING (-21.9998551 64.1543555, -21.9982927 64.154069)",0.08246547799218457,edge_13955,31743252-1e01-46a4-a161-bdb7cd7d9045,"LINESTRING (-21.9982927 64.154069, -21.9998551 64.1543555)"
13,4,5222,legitimate,residential,,"LINESTRING (-21.8047216 64.1148071, -21.8045187 64.1150767, -21.8041059 64.1156252, -21.8035034 64.1164258)",0.189964560886525,edge_948,f5694bff-3de2-4cb8-81f9-139c6df5bee2,"LINESTRING (-21.8035034 64.1164258, -21.8047216 64.1148071)"
14,4,11781,legitimate,residential,,"LINESTRING (-21.8035034 64.1164258, -21.8031682 64.1168712)",0.052270309416304006,edge_4641,c35e60c6-15fb-49d0-afd0-2e9caf22a914,"LINESTRING (-21.8035034 64.1164258, -21.8031682 64.1168712)"
15,4,17720,legitimate,residential,,"LINESTRING (-21.8035034 64.1164258, -21.8025667 64.1163016)",0.047697454983216245,edge_4642,ce81b36a-b4bf-4145-bfca-03e04cae8c87,"LINESTRING (-21.8035034 64.1164258, -21.8025667 64.1163016)"
