,stnode,endnode,Wkt,one_way,key,infra_type,length,osm_id,geometry
0,0,15755,"LINESTRING (-21.6684847 64.0841785, -21.66853 64.0842208)",,edge_22373,service,0.005207705369117999,82d59116-b41a-468f-80db-1efa30cb642b,"LINESTRING (-21.6684847 64.0841785, -21.66853 64.0842208)"
1,0,18144,"LINESTRING (-21.6684847 64.0841785, -21.6691243 64.0841081)",,edge_22636,unclassified,0.032174438785184827,c704bdf9-8b7c-4eda-add2-7fbbd343ef6f,"LINESTRING (-21.6684847 64.0841785, -21.6691243 64.0841081)"
2,1,12468,"LINESTRING (-21.9849512 64.1509811, -21.9853011 64.1509256, -21.9855297 64.1508897, -21.9861439 64.1508012, -21.9861806 64.1507957, -21.9863513 64.15077)",,edge_13631,tertiary,0.07209533658884063,37f4afd6-27d7-4c31-b3a5-9415f0afff6e,"LINESTRING (-21.9849512 64.1509811, -21.9863513 64.15077)"
3,1,11193,"LINESTRING (-21.9849512 64.1509811, -21.9848957 64.1509317)",,edge_13661,residential,0.006133822879710043,98af582a-140f-47e6-ada7-645b49acc30a,"LINESTRING (-21.9849512 64.1509811, -21.9848957 64.1509317)"
4,2,15096,"LINESTRING (-21.5935382 64.1194792, -21.5935329 64.1195093)",,edge_17721,service,0.0033654452461541616,276ad819-bebe-4a51-bb9e-0340521ef300,"LINESTRING (-21.5935382 64.1194792, -21.5935329 64.1195093)"
5,2,13425,"LINESTRING (-21.5935382 64.1194792, -21.5933958 64.1193846, -21.5932948 64.119337, -21.593065 64.119282, -21.5928528 64.1192414, -21.5927479 64.1192043, -21.5926788 64.1191302, -21.5924665 64.1188459, -21.5923953 64.1187274, -21.5923678 64.1186255, -21.5924069 64.1183235, -21.5924558 64.1179878, -21.592479 64.1176809, -21.5924725 64.1175634, -21.5924236 64.117369, -21.5923429 64.1171979, -21.5923288 64.1171042, -21.592352 64.1170074, -21.5924502 64.1169063, -21.5926507 64.1167951, -21.5927765 64.1167298, -21.5928595 64.1167081, -21.5929867 64.116706, -21.5931653 64.1167149, -21.5933722 64.1167322, -21.5941335 64.116831)",,edge_17724,service,0.4051731009699009,4869ff60-8b09-46cd-8a22-caf359b2eace,"LINESTRING (-21.5935382 64.1194792, -21.5941335 64.116831)"
6,3,11244,"LINESTRING (-21.9982927 64.154069, -21.998094 64.1542804, -21.997346 64.1550764, -21.996869 64.1555829, -21.9965902 64.1558954, -21.9964313 64.1559966)",,edge_13989,residential,0.2334976595012469,b9ec3966-4159-46e9-a08f-c2de0eee810e,"LINESTRING (-21.9982927 64.154069, -21.9964313 64.1559966)"
7,4,11781,"LINESTRING (-21.8035034 64.1164258, -21.8031682 64.1168712)",,edge_4641,residential,0.052270309416304006,c35e60c6-15fb-49d0-afd0-2e9caf22a914,"LINESTRING (-21.8035034 64.1164258, -21.8031682 64.1168712)"
8,4,17720,"LINESTRING (-21.8035034 64.1164258, -21.8025667 64.1163016)",,edge_4642,residential,0.047697454983216245,ce81b36a-b4bf-4145-bfca-03e04cae8c87,"LINESTRING (-21.8035034 64.1164258, -21.8025667 64.1163016)"
9,5,2302,"LINESTRING (-21.9658228 64.1449159, -21.9656944 64.1449422, -21.9648939 64.145106)",,edge_11951,residential,0.04993684647806213,a8d6b2ad-2b5c-482f-be1d-e3d4b33ab356,"LINESTRING (-21.9658228 64.1449159, -21.9648939 64.145106)"
