,stnode,endnode,one_way,id,key,infra_type,Wkt,length,osm_id,geometry
0,0,15583,False,14827,edge_14827,unclassified,"LINESTRING (-21.6684847 64.0841785, -21.6691243 64.0841081)",0.032174438785184827,339827500,"LINESTRING (-21.6684847 64.0841785, -21.6691243 64.0841081)"
1,0,13537,False,19227,edge_19227,service,"LINESTRING (-21.6684847 64.0841785, -21.66853 64.0842208)",0.005207705369117999,681448918,"LINESTRING (-21.6684847 64.0841785, -21.66853 64.0842208)"
2,1,9715,False,329,edge_329,residential,"LINESTRING (-21.9982927 64.154069, -21.997346 64.1550764, -21.996869 64.1555829, -21.9965848 64.1559024, -21.9964313 64.1559966)",0.23352991064219583,5013949,"LINESTRING (-21.9982927 64.154069, -21.9964313 64.1559966)"
3,2,8653,True,18273,edge_18273,service,"LINESTRING (-21.8005061 64.1195031, -21.8004397 64.119505, -21.8003753 64.1195179, -21.8003404 64.119539, -21.8001875 64.1197322)",0.032385934136067246,670112995,"LINESTRING (-21.8005061 64.1195031, -21.8001875 64.1197322)"
4,5,13281,False,9215,edge_9215,service,"LINESTRING (-21.9007436 64.1396315, -21.9007868 64.1394879)",0.016146038186290727,117091548,"LINESTRING (-21.9007436 64.1396315, -21.9007868 64.1394879)"
5,6,10716,False,4544,edge_4544,residential,"LINESTRING (-21.7926033 64.1429634, -21.792446 64.1429579, -21.792301 64.1429528)",0.014763811991585427,33231945,"LINESTRING (-21.7926033 64.1429634, -21.792301 64.1429528)"
6,6,7945,False,7816,edge_7816,residential,"LINESTRING (-21.7926033 64.1429634, -21.792611 64.1429286, -21.792733 64.1423772)",0.06565363596379442,104585549,"LINESTRING (-21.7926033 64.1429634, -21.792733 64.1423772)"
7,7,12014,False,3055,edge_3055,track,"LINESTRING (-21.6414203 64.3057967, -21.6418495 64.3053502, -21.6415061 64.3050525, -21.6418495 64.3048664, -21.642107 64.304457, -21.6430511 64.3038988, -21.6445684 64.3036972, -21.6474285 64.3027078, -21.6530075 64.2993581, -21.6532373 64.2985237, -21.6551685 64.2972394, -21.6557693 64.2966066, -21.6559007 64.2963058)",1.331914598412732,25774573,"LINESTRING (-21.6414203 64.3057967, -21.6559007 64.2963058)"
8,8,11731,False,5959,edge_5959,service,"LINESTRING (-21.8101071 64.1252242, -21.8101034 64.1251344)",0.010012461578019353,59525512,"LINESTRING (-21.8101071 64.1252242, -21.8101034 64.1251344)"
9,8,3821,False,14444,edge_14444,service,"LINESTRING (-21.8101071 64.1252242, -21.8087738 64.1252459, -21.8086716 64.1252662, -21.8086354 64.1253022, -21.8086343 64.1253451, -21.8086638 64.1253845, -21.8087361 64.1254138, -21.8088434 64.1254172, -21.8101186 64.1254002)",0.15644075295005444,291200928,"LINESTRING (-21.8101071 64.1252242, -21.8101186 64.1254002)"
10,9,347,False,6446,edge_6446,residential,"LINESTRING (-21.8027949 64.1356462, -21.8029468 64.1352365)",0.04626819666042788,68789894,"LINESTRING (-21.8027949 64.1356462, -21.8029468 64.1352365)"
11,10,13783,False,13206,edge_13206,service,"LINESTRING (-21.7164258 64.1580257, -21.7171765 64.1582355)",0.043371874793636696,221041928,"LINESTRING (-21.7164258 64.1580257, -21.7171765 64.1582355)"
12,10,9723,False,13916,edge_13916,service,"LINESTRING (-21.7164258 64.1580257, -21.7162749 64.1581195)",0.012776954671585256,235691965,"LINESTRING (-21.7164258 64.1580257, -21.7162749 64.1581195)"
13,11,3715,False,19386,edge_19386,unclassified,"LINESTRING (-21.7417192 64.1654066, -21.7423577 64.165704)",0.045428965856825966,684386758,"LINESTRING (-21.7417192 64.1654066, -21.7423577 64.165704)"
14,12,12679,False,15225,edge_15225,service,"LINESTRING (-21.7838151 64.1490645, -21.7840984 64.1490944)",0.014185629519892185,392621568,"LINESTRING (-21.7838151 64.1490645, -21.7840984 64.1490944)"
