string,integer,number,boolean,datetime___________
xw0ogle88,36240,196.43,false,1972-07-03T07:18:22Z
73acrrg2a,65002,420.996,true,1955-06-07T05:57:30Z
kh5zchkod,64071,589.23,false,2012-08-23T10:34:31Z
9z00f6veq,35795,479.96,false,2003-05-02T11:24:49Z
jqtxehrw2,14162,879.71,false,1975-12-18T05:39:40Z
jnu4r59yq,33962,847.13,false,2000-10-17T01:01:21Z
sdey4a39v,74751,734.60,false,1936-11-15T09:37:00Z
hc7flq67r,56459,448.088,true,1955-10-13T01:33:10Z
0s7irrcxm,46024,529.50,false,1964-10-13T02:25:45Z
mij47zqi2,51851,876.72,false,1948-02-23T02:06:24Z
n0uo1espv,38449,585.601,true,1969-04-03T08:27:45Z
axes0onk2,82986,435.242,true,1983-06-02T04:36:49Z
phflgs27r,54343,998.94,false,1996-04-05T08:34:50Z
vc680aixx,23853,659.18,false,1937-12-03T08:12:02Z
8y49hqpfb,80711,567.51,false,2016-05-01T02:18:07Z
lpc4kxoic,18489,399.594,true,1990-01-13T02:02:35Z
kzw701shj,55657,401.69,false,1958-06-16T01:38:53Z
fmapox6qv,11122,879.26,false,1976-02-02T10:59:58Z
uhg2yrfk8,66380,461.89,false,2016-11-18T01:40:18Z
6e4362m8c,27254,758.19,false,1984-03-27T05:34:10Z
1ufws0lcd,48884,520.80,false,1962-10-17T10:18:31Z
1z6fkqvvq,80576,463.72,false,1930-03-18T07:56:04Z
4p2re4c6j,49628,982.25,false,1925-06-13T11:03:59Z
zxgny8k6g,81202,631.418,true,1978-09-26T08:24:28Z
8j7vudm21,67097,992.211,true,1956-07-23T12:44:44Z
itrqqe2a0,94711,618.872,true,1982-10-28T06:43:59Z
ynmn81v3h,25598,441.86,false,1936-10-26T05:49:10Z
yxyii7b1v,44894,164.039,true,2010-01-22T07:26:54Z
tbjqiq3pj,74674,971.767,true,1960-08-30T06:06:41Z
yv4aphcnc,76425,259.855,true,1956-05-21T01:42:08Z
f5bzdkjje,73992,849.14,false,1937-06-24T10:30:00Z
m4hq5iw1o,45941,455.99,false,2008-08-09T12:37:52Z
tmilt7bh3,83061,777.405,true,1995-10-04T09:42:57Z
zznzz70bf,47907,931.40,false,1980-08-29T08:57:29Z
phtu2hysr,47754,543.747,true,1932-01-23T01:07:54Z
2od1badp7,10766,984.532,true,1998-09-19T06:48:16Z
1m5ebusvp,94529,271.360,true,1969-08-04T09:03:34Z
4hv9lztkz,52760,912.90,false,1990-10-24T07:26:42Z
amvgf7jfh,10940,565.359,true,2001-01-25T12:40:23Z
w9z4aag7o,82865,453.988,true,1980-05-25T06:22:46Z
hi9ll9jf8,14277,496.22,false,1997-02-04T10:13:52Z
06lzbh9fv,84439,563.40,false,1979-03-30T04:05:07Z
er70xtrsp,47264,121.89,false,1993-07-03T11:01:06Z
qz6uhvc98,72981,179.142,true,1977-05-04T03:53:51Z
sp1lhey6g,40259,145.79,false,1950-04-03T10:10:40Z
6lqu14hpi,64195,812.73,false,1949-08-25T02:54:15Z
q83jdyxrg,11917,575.80,false,1972-04-04T06:41:37Z
afpfb23ue,42660,555.995,true,2016-04-04T01:57:29Z
4dta009km,58620,333.171,true,1964-04-23T01:29:32Z
qwhn7r92q,57152,894.43,false,2017-04-04T05:35:40Z
k2q1xeol6,50840,884.72,false,2004-01-06T05:55:41Z
ywmuh70zu,91269,394.992,true,2010-12-23T04:58:26Z
3slmp6qmg,43805,623.87,false,1984-02-19T04:12:52Z
njelgzx7z,16898,259.83,false,1926-06-06T08:13:12Z
7p52zpmwj,23266,632.13,false,1949-10-28T06:02:03Z
pw3s2tvhj,60006,399.30,false,2008-08-06T04:22:23Z
