,m03_01,m03_02,m05_01,m08_02,m10,m01_01,m01_02,m02_01,m02_02,m04_02,m06_01,m07_01,m07_02,m07_03,m09_01,osmid,rep
0,0,0.867368326,7,0,0.101777259,1,1,1,1.72E-15,0,1,0,0,0,0,16591662,0
1,0,1.001675011,0,0,0.123432425,1.0007709,1.001154734,1,1.72E-15,0,1,0,0,0,0,2120011283,0
2,0,1.000035047,0,0,0,1.0000326,1,1,1.72E-15,0,1,0,0,0,0,2280614058,0
3,0.057043651,1.035787493,0,0.133576709,0,1.001331537,1.002312139,1.002294047,0.001759268,0.041080681,1.004866896,0.018097448,303321.4012,1009456.503,0,1858919250,0
4,0.260416667,1.002302801,0,0.19701924,0,1.003377844,1.005800464,1.077894543,0.039218365,0.247594375,1.037028614,0.112787146,1451294.021,6980748.069,0,1553716253,0
5,0,0.938448938,3,0,0.134357072,1.000665742,1.001154734,1,1.72E-15,0,1,0,0,0,0,14891492,0
6,0,0.994324533,1,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,545930574,0
7,0,1.001060675,3,0,0.053884916,1,1,1,1.72E-15,0,1,0,0,0,0,13822383,0
8,0,1.002374347,11,0,0.060924295,1,1,1,1.72E-15,0,1,0,0,0,0,18181561,0
9,0,1.033758375,0,0.010693334,0,1,1,1,1.72E-15,0.000740192,1,0,0,0,0,1277812787,0
10,0.029761905,1.020686779,0,0.013483761,0,1,1,1.001307097,0.000477069,0.022205774,1.000211431,0.000962309,115384.2086,162328.6009,0,2430528,0
11,0.03125,1.00304688,3,0.003844753,0,1.007302232,1.008139535,1.004056668,0.002168767,0.025166543,1.000217409,0.000742345,70687.67744,138814.6076,0,1085423158,0
12,0.075892857,1.070306194,0,0.047143148,0,1.000673635,1.001154734,1,1.72E-15,0,1,0,0,0,0,35823580,0
13,0.061507937,0.980690439,0,0.042053657,0.056696027,1.000638347,1.001154734,1,1.72E-15,0.045891932,1,0,0,0,0.000160981,687713395,0
14,0.035218254,1.005883788,7,0.014678226,0,1.008589409,1.01048951,1.002206685,0.010634942,0.033678756,1.000709241,0.001275028,48652.33294,187173.1609,0,1409214129,0
15,0,1.003523098,2,0,0.031109652,1.000655756,1.001154734,1,1.72E-15,0,1,0,0,0,0,29951640,0
16,0.260416667,1.00546789,0,0.19701924,0.174789723,1.005073833,1.008139535,1.077894543,0.039218365,0.247594375,1.037028614,0.112787146,1451294.021,6980748.069,0,1625016253,0
17,0,1.002739308,1,0,0,1.00188923,1.003472222,1,1.72E-15,0,1,0,0,0,0,165725441,0
18,0,1.000110672,13,0,0,1.00000011,1,1,1.72E-15,0,1,0,0,0,0,2258622589,0
19,0,1.001041802,3,0.018162411,0.72303753,1.000804093,1.001154734,1,1.72E-15,0,1,0,0,0,0,105372676,0
20,0.155257937,1.015980912,6,0.082668551,0.073368757,1.013483892,1.01880141,1.00184806,0.002775882,0.093264249,1.001705763,0.003471028,55656.80204,196057.0802,0,37593768,0
21,0,0.998328133,9,0.001456257,0.122226975,1,1,1,1.72E-15,0,1,0,0,0,0,15021505,0
