metric,rank,parameter_id,salib_name,method,max_abs_delta,mean_abs_delta,max_abs_delta_level,max_abs_delta_policy_id,max_abs_delta_scenario_id,baseline_value,low_value,high_value,unit,applies_to,scenario_filter,run_count,evidence_label,claim_scope,mu,mu_star,sigma,mu_star_conf,sample_count,num_trajectories,num_levels
censored_count,1,passenger_volume,passenger_volume,deterministic_oat_screening,8.0,1.0,low,baseline_multimodal,songpa_critical_link_blockage,24.0,16.0,32.0,pax,all,all,144,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,2,capacity_reduction_factor,capacity_reduction_factor,deterministic_oat_screening,0.0,0.0,low,bus_only,songpa_random_capacity_reduction,0.5,0.25,0.75,factor,all,capacity_reduction,96,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,3,direct_bus_fleet_size,direct_bus_fleet_size,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,3.0,1.0,5.0,vehicles,bus_only,all,36,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,4,dispatch_interval,dispatch_interval,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,5.0,2.5,10.0,min,all,all,144,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,5,feeder_fleet_size,feeder_fleet_size,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,3.0,1.0,5.0,vehicles,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,6,last_mile_access_disruption_probability,last_mile_access_disruption_probability,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,songpa_last_mile_station_to_destination,1.0,0.0,1.0,probability,multimodal,last_mile,12,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,7,last_mile_fleet_size,last_mile_fleet_size,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,2.0,1.0,4.0,vehicles,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,8,passenger_arrival_variability,passenger_arrival_variability,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,0.25,0.15,0.5,lognormal sigma,all,all,144,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,9,rail_capacity,rail_capacity,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,16.0,8.0,32.0,pax/train,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,10,rail_headway,rail_headway,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,10.0,5.0,20.0,min,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,11,road_background_traffic_multiplier,road_background_traffic_multiplier,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,1.0,0.8,2.0,multiplier,all,all,144,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,12,transfer_fixed_delay,transfer_fixed_delay,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,3.0,0.0,10.0,min,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,13,transfer_per_passenger_delay,transfer_per_passenger_delay,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,0.02,0.0,0.1,min/pax,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
censored_count,14,turnaround_time,turnaround_time,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,8.0,4.0,20.0,min,all,all,144,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,1,capacity_reduction_factor,capacity_reduction_factor,deterministic_oat_screening,0.0,0.0,low,bus_only,songpa_random_capacity_reduction,0.5,0.25,0.75,factor,all,capacity_reduction,96,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,2,direct_bus_fleet_size,direct_bus_fleet_size,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,3.0,1.0,5.0,vehicles,bus_only,all,36,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,3,dispatch_interval,dispatch_interval,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,5.0,2.5,10.0,min,all,all,144,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,4,feeder_fleet_size,feeder_fleet_size,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,3.0,1.0,5.0,vehicles,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,5,last_mile_access_disruption_probability,last_mile_access_disruption_probability,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,songpa_last_mile_station_to_destination,1.0,0.0,1.0,probability,multimodal,last_mile,12,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,6,last_mile_fleet_size,last_mile_fleet_size,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,2.0,1.0,4.0,vehicles,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,7,passenger_arrival_variability,passenger_arrival_variability,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,0.25,0.15,0.5,lognormal sigma,all,all,144,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,8,passenger_volume,passenger_volume,deterministic_oat_screening,0.0,0.0,low,bus_only,no_disruption,24.0,16.0,32.0,pax,all,all,144,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
completion_rate,9,rail_capacity,rail_capacity,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,no_disruption,16.0,8.0,32.0,pax/train,multimodal,all,108,scaffold-only,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.,,,,,,,
