metric,rank,parameter_id,salib_name,method,max_abs_delta,mean_abs_delta,max_abs_delta_level,max_abs_delta_policy_id,max_abs_delta_scenario_id,baseline_value,low_value,high_value,unit,applies_to,scenario_filter,run_count,claim_scope
completion_rate,1,capacity_reduction_factor,capacity_reduction_factor,deterministic_oat_screening,0.0,0.0,low,bus_only,songpa_random_capacity_reduction,0.5,0.25,0.75,factor,all,capacity_reduction,8,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,2,direct_bus_fleet_size,direct_bus_fleet_size,deterministic_oat_screening,0.0,0.0,low,bus_only,songpa_random_capacity_reduction,3,1,5,vehicles,bus_only,all,4,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,3,dispatch_interval,dispatch_interval,deterministic_oat_screening,0.0,0.0,low,bus_only,songpa_random_capacity_reduction,5,2.5,10,min,all,all,8,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,4,feeder_fleet_size,feeder_fleet_size,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,songpa_random_capacity_reduction,3,1,5,vehicles,multimodal,all,4,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,5,last_mile_access_disruption_probability,last_mile_access_disruption_probability,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,songpa_last_mile_station_to_destination,1,0,1,probability,multimodal,last_mile,2,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,6,last_mile_fleet_size,last_mile_fleet_size,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,songpa_random_capacity_reduction,2,1,4,vehicles,multimodal,all,4,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,7,passenger_arrival_variability,passenger_arrival_variability,deterministic_oat_screening,0.0,0.0,low,bus_only,songpa_random_capacity_reduction,0.25,0.15,0.5,lognormal sigma,all,all,8,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,8,passenger_volume,passenger_volume,deterministic_oat_screening,0.0,0.0,low,bus_only,songpa_random_capacity_reduction,24,16,32,pax,all,all,8,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,9,rail_capacity,rail_capacity,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,songpa_random_capacity_reduction,16,8,32,pax/train,multimodal,all,4,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,10,rail_headway,rail_headway,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,songpa_random_capacity_reduction,10,5,20,min,multimodal,all,4,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,11,road_background_traffic_multiplier,road_background_traffic_multiplier,deterministic_oat_screening,0.0,0.0,low,bus_only,songpa_random_capacity_reduction,1,0.8,2,multiplier,all,all,8,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
completion_rate,12,transfer_fixed_delay,transfer_fixed_delay,deterministic_oat_screening,0.0,0.0,low,baseline_multimodal,songpa_random_capacity_reduction,3,0,10,min,multimodal,all,4,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
