edge_id,realworld_edge_id,u,v,key,routeable_vehicle_highway,highway_raw,highway_class,highway_evidence_class,length_m,length_evidence_class,maxspeed_raw,observed_maxspeed_kph,speed_kph_used,speed_evidence_class,lanes_raw,lane_count,lane_evidence_class,capacity_raw,capacity_proxy_veh_per_hr,lane_based_capacity_candidate_veh_per_hr,lane_based_capacity_evidence_class,capacity_evidence_class,free_flow_time_min,free_flow_time_evidence_class,base_disruption_raw,base_disruption_probability,base_disruption_evidence_class,benchmark_travel_time_min,benchmark_source_label,benchmark_snapshot_path,benchmark_evidence_class,attribute_assumptions,weak_for_final_claim,evidence_status,claim_boundary
'10009448543'->'10009448544':0:osm:1092931542,osm:1092931542,10009448543,10009448544,0,false,footway,unclassified,expert proxy,4.88719,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.009774,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448543'->'4658893764':0:osm:472104444,osm:472104444,10009448543,4658893764,0,false,cycleway,unclassified,expert proxy,10.011029,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.020022,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448543'->'7738899827':0:osm:472104444,osm:472104444,10009448543,7738899827,0,false,cycleway,unclassified,expert proxy,43.935771,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.087872,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448544'->'10009448543':0:osm:1092931542,osm:1092931542,10009448544,10009448543,0,false,footway,unclassified,expert proxy,4.88719,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.009774,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448544'->'11177272215':0:osm:1092931542,osm:1092931542,10009448544,11177272215,0,false,footway,unclassified,expert proxy,18.097745,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.036195,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448544'->'5896568488':0:osm:1206205739,osm:1206205739,10009448544,5896568488,0,true,residential,residential,OSM-derived,10.903974,OSM-derived,,,30,expert proxy,,,expert proxy,,400,,,expert proxy,0.021808,expert proxy,,0.04,sensitivity-only,,,,,speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448545'->'5260056422':0:osm:1092931543,osm:1092931543,10009448545,5260056422,0,false,cycleway,unclassified,expert proxy,242.083239,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.484166,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448545'->'6960603041':0:osm:1092931543,osm:1092931543,10009448545,6960603041,0,false,cycleway,unclassified,expert proxy,8.531625,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.017063,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448546'->'10009448548':0:osm:1092931544,osm:1092931544,10009448546,10009448548,0,false,cycleway,unclassified,expert proxy,8.750825,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.017502,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448546'->'10009448575':0:osm:1092931548,osm:1092931548,10009448546,10009448575,0,false,cycleway,unclassified,expert proxy,122.280261,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.244561,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448547'->'10009448548':0:osm:1092931544,osm:1092931544,10009448547,10009448548,0,false,cycleway,unclassified,expert proxy,140.350917,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.280702,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448547'->'13720486316':0:osm:474149111,osm:474149111,10009448547,13720486316,0,false,service,service,OSM-derived,9.107641,OSM-derived,,,20,expert proxy,,,expert proxy,,200,,,expert proxy,0.027323,expert proxy,,0.05,sensitivity-only,,,,,speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448547'->'357935107':0:osm:1092931544,osm:1092931544,10009448547,357935107,0,false,cycleway,unclassified,expert proxy,140.967655,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.281935,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448547'->'4681593285':0:osm:474149111,osm:474149111,10009448547,4681593285,0,false,service,service,OSM-derived,22.858367,OSM-derived,,,20,expert proxy,,,expert proxy,,200,,,expert proxy,0.068575,expert proxy,,0.05,sensitivity-only,,,,,speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448548'->'10009448546':0:osm:1092931544,osm:1092931544,10009448548,10009448546,0,false,cycleway,unclassified,expert proxy,8.750825,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.017502,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448548'->'10009448547':0:osm:1092931544,osm:1092931544,10009448548,10009448547,0,false,cycleway,unclassified,expert proxy,140.350917,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.280702,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448548'->'2918341058':0:osm:239950022,osm:239950022,10009448548,2918341058,0,false,living_street,living_street,OSM-derived,9.86636,OSM-derived,,,10,expert proxy,,,expert proxy,,100,,,expert proxy,0.059198,expert proxy,,0.05,sensitivity-only,,,,,speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448548'->'2918341059':0:osm:239950022,osm:239950022,10009448548,2918341059,0,false,living_street,living_street,OSM-derived,3.175318,OSM-derived,,,10,expert proxy,,,expert proxy,,100,,,expert proxy,0.019052,expert proxy,,0.05,sensitivity-only,,,,,speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448549'->'10009448550':0:osm:1092931546,osm:1092931546,10009448549,10009448550,0,false,cycleway,unclassified,expert proxy,3.995836,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.007992,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448549'->'6960603041':0:osm:1092931546,osm:1092931546,10009448549,6960603041,0,false,cycleway,unclassified,expert proxy,6.968695,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.013937,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448550'->'10009448549':0:osm:1092931546,osm:1092931546,10009448550,10009448549,0,false,cycleway,unclassified,expert proxy,3.995836,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.007992,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448550'->'10009448565':0:osm:1092931546,osm:1092931546,10009448550,10009448565,0,false,cycleway,unclassified,expert proxy,1.632929,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.003266,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448551'->'10009448552':0:osm:1092931546,osm:1092931546,10009448551,10009448552,0,false,cycleway,unclassified,expert proxy,6.220175,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.01244,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448551'->'10009448566':0:osm:1092931546,osm:1092931546,10009448551,10009448566,0,false,cycleway,unclassified,expert proxy,3.669593,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.007339,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448552'->'10009448551':0:osm:1092931546,osm:1092931546,10009448552,10009448551,0,false,cycleway,unclassified,expert proxy,6.220175,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.01244,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448552'->'10009448563':0:osm:1092931546,osm:1092931546,10009448552,10009448563,0,false,cycleway,unclassified,expert proxy,2.545767,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.005092,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448553'->'10009448564':0:osm:1092931546,osm:1092931546,10009448553,10009448564,0,false,cycleway,unclassified,expert proxy,9.073698,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.018147,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448553'->'357888158':0:osm:1092931546,osm:1092931546,10009448553,357888158,0,false,cycleway,unclassified,expert proxy,111.244619,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.222489,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448554'->'10009448555':0:osm:1092931545,osm:1092931545,10009448554,10009448555,0,false,cycleway,unclassified,expert proxy,11.117945,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.022236,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448554'->'13637066103':0:osm:1092931545,osm:1092931545,10009448554,13637066103,0,false,cycleway,unclassified,expert proxy,99.724748,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.199449,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448555'->'10009448554':0:osm:1092931545,osm:1092931545,10009448555,10009448554,0,false,cycleway,unclassified,expert proxy,11.117945,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.022236,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448555'->'10009448556':0:osm:1092931545,osm:1092931545,10009448555,10009448556,0,false,cycleway,unclassified,expert proxy,12.481228,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.024962,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448556'->'10009448555':0:osm:1092931545,osm:1092931545,10009448556,10009448555,0,false,cycleway,unclassified,expert proxy,12.481228,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.024962,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448556'->'10009448557':0:osm:1092931545,osm:1092931545,10009448556,10009448557,0,false,cycleway,unclassified,expert proxy,10.909063,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.021818,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448557'->'10009448556':0:osm:1092931545,osm:1092931545,10009448557,10009448556,0,false,cycleway,unclassified,expert proxy,10.909063,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.021818,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448557'->'10009448558':0:osm:1092931545,osm:1092931545,10009448557,10009448558,0,false,cycleway,unclassified,expert proxy,9.987235,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.019974,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448558'->'10009448557':0:osm:1092931545,osm:1092931545,10009448558,10009448557,0,false,cycleway,unclassified,expert proxy,9.987235,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.019974,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448558'->'10009448572':0:osm:1092931545,osm:1092931545,10009448558,10009448572,0,false,cycleway,unclassified,expert proxy,3.582966,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.007166,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448559'->'10009448560':0:osm:1259550880,osm:1259550880,10009448559,10009448560,0,false,cycleway,unclassified,expert proxy,14.364509,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.028729,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448559'->'10009448572':0:osm:1259550880,osm:1259550880,10009448559,10009448572,0,false,cycleway,unclassified,expert proxy,8.746014,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.017492,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448560'->'10009448559':0:osm:1259550880,osm:1259550880,10009448560,10009448559,0,false,cycleway,unclassified,expert proxy,14.364509,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.028729,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448560'->'10009448561':0:osm:1259550880,osm:1259550880,10009448560,10009448561,0,false,cycleway,unclassified,expert proxy,12.577295,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.025155,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448561'->'10009448560':0:osm:1259550880,osm:1259550880,10009448561,10009448560,0,false,cycleway,unclassified,expert proxy,12.577295,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.025155,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448561'->'357886889':0:osm:1259550880,osm:1259550880,10009448561,357886889,0,false,cycleway,unclassified,expert proxy,93.995046,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.18799,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448562'->'10009471498':0:osm:1092936834,osm:1092936834,10009448562,10009471498,0,false,footway,unclassified,expert proxy,13.863548,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.027727,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448562'->'11709560496':0:osm:1259550878,osm:1259550878,10009448562,11709560496,0,false,footway,unclassified,expert proxy,313.003155,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.626006,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448563'->'10009448552':0:osm:1092931546,osm:1092931546,10009448563,10009448552,0,false,cycleway,unclassified,expert proxy,2.545767,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.005092,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448563'->'10009448564':0:osm:1092931546,osm:1092931546,10009448563,10009448564,0,false,cycleway,unclassified,expert proxy,0.998183,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.001996,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448563'->'5873076163':0:osm:621701060,osm:621701060,10009448563,5873076163,0,false,pedestrian,unclassified,expert proxy,2.536617,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.005073,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448563'->'6960603039':0:osm:621701060,osm:621701060,10009448563,6960603039,0,false,pedestrian,unclassified,expert proxy,3.230072,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.00646,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448564'->'10009448553':0:osm:1092931546,osm:1092931546,10009448564,10009448553,0,false,cycleway,unclassified,expert proxy,9.073698,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.018147,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448564'->'10009448563':0:osm:1092931546,osm:1092931546,10009448564,10009448563,0,false,cycleway,unclassified,expert proxy,0.998183,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.001996,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448564'->'11177272222':0:osm:743712417,osm:743712417,10009448564,11177272222,0,false,footway,unclassified,expert proxy,12.872719,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.025745,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448564'->'6960603039':0:osm:743712417,osm:743712417,10009448564,6960603039,0,false,footway,unclassified,expert proxy,2.68218,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.005364,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448565'->'10009448550':0:osm:1092931546,osm:1092931546,10009448565,10009448550,0,false,cycleway,unclassified,expert proxy,1.632929,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.003266,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448565'->'10009448567':0:osm:1092931546,osm:1092931546,10009448565,10009448567,0,false,cycleway,unclassified,expert proxy,1.216063,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.002432,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448565'->'5873076167':0:osm:473999358,osm:473999358,10009448565,5873076167,0,false,footway,unclassified,expert proxy,1.708359,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.003417,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
'10009448565'->'6960603042':0:osm:473999358,osm:473999358,10009448565,6960603042,0,false,footway,unclassified,expert proxy,19.363137,OSM-derived,,,30,expert proxy,,,expert proxy,,500,,,expert proxy,0.038726,expert proxy,,0.04,sensitivity-only,,,,,highway;speed_kph;capacity;base_p_fail,true,weak_for_final_claim,"Edge-level road-attribute evidence table; not reviewed road calibration, traffic assignment validation, graph-scale acceptance, or operational routing evidence."
