highway,review_priority,routeable_edge_count,routeable_length_km,routeable_length_share,speed_evidence_status,maxspeed_observed_count,maxspeed_observed_rate,observed_speed_length_share,mapper_default_speed_kph,candidate_speed_kph,speed_source_class,capacity_evidence_status,lanes_observed_count,lanes_observed_rate,mapper_default_capacity_veh_per_hr,candidate_capacity_veh_per_hr,capacity_source_class,base_disruption_evidence_status,base_disruption_explicit_rate,current_base_p_fail,base_disruption_source_class,override_source_class,weak_for_final_claim,recommended_upgrade,candidate_artifacts,publication_use_status,claim_boundary,notes
residential,low,5522,278.943118,0.635803,reviewed_or_high_coverage,5522,1,1,30,30,public-data-derived,missing_lane_or_capacity_evidence,0,0,400,400,design-standard-derived,reviewed_or_explicit,1,0.04,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
tertiary,low,1326,59.501853,0.135624,reviewed_or_high_coverage,1326,1,1,30,30,public-data-derived,missing_lane_or_capacity_evidence,0,0,750,700,design-standard-derived,reviewed_or_explicit,1,0.03,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
secondary,low,870,39.405308,0.089818,reviewed_or_high_coverage,870,1,1,40,40,public-data-derived,missing_lane_or_capacity_evidence,0,0,1000,1600,design-standard-derived,reviewed_or_explicit,1,0.025,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
primary,low,486,29.963352,0.068296,reviewed_or_high_coverage,486,1,1,50,50,public-data-derived,missing_lane_or_capacity_evidence,0,0,1300,1800,design-standard-derived,reviewed_or_explicit,1,0.02,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
trunk,low,176,12.585378,0.028686,reviewed_or_high_coverage,176,1,1,60,60,public-data-derived,missing_lane_or_capacity_evidence,0,0,1700,2000,design-standard-derived,reviewed_or_explicit,1,0.015,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
trunk_link,low,353,10.042428,0.02289,reviewed_or_high_coverage,353,1,1,40,40,public-data-derived,missing_lane_or_capacity_evidence,0,0,900,600,design-standard-derived,reviewed_or_explicit,1,0.025,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
primary_link,low,250,4.542784,0.010354,reviewed_or_high_coverage,250,1,1,35,35,public-data-derived,missing_lane_or_capacity_evidence,0,0,750,540,design-standard-derived,reviewed_or_explicit,1,0.03,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
secondary_link,low,85,1.951657,0.004448,reviewed_or_high_coverage,85,1,1,30,30,public-data-derived,missing_lane_or_capacity_evidence,0,0,600,480,design-standard-derived,reviewed_or_explicit,1,0.035,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
unclassified,low,20,1.09256,0.00249,reviewed_or_high_coverage,20,1,1,30,30,public-data-derived,missing_lane_or_capacity_evidence,0,0,500,500,design-standard-derived,reviewed_or_explicit,1,0.04,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
tertiary_link,low,52,0.69758,0.00159,reviewed_or_high_coverage,52,1,1,25,25,public-data-derived,missing_lane_or_capacity_evidence,0,0,450,420,design-standard-derived,reviewed_or_explicit,1,0.04,expert assumption,expert assumption,true,"capacity: add traffic counts, agency class capacities, or reviewed per-lane assumptions",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,blocked_until_reviewed_override_and_application,"Road-input evidence review packet; not road calibration signoff, road-class override evidence, traffic assignment validation, or operational routing evidence.",Use this row to prepare reviewed road_class_overrides.csv values; do not cite it as calibration signoff.
