trip_id,station_role,station_name,station_code,event_time,event_type,direction,service_day
C9002,access,올림픽공원,4136,05:40:15,departure,UP,DAY
C9004,access,올림픽공원,4136,05:53:35,departure,UP,DAY
C9006,access,올림픽공원,4136,06:08:15,departure,UP,DAY
C9008,access,올림픽공원,4136,06:22:20,departure,UP,DAY
C9010,access,올림픽공원,4136,06:35:05,departure,UP,DAY
C9012,access,올림픽공원,4136,06:45:05,departure,UP,DAY
C9014,access,올림픽공원,4136,06:56:00,departure,UP,DAY
C9016,access,올림픽공원,4136,07:08:00,departure,UP,DAY
C9018,access,올림픽공원,4136,07:20:00,departure,UP,DAY
C9020,access,올림픽공원,4136,07:32:00,departure,UP,DAY
C9022,access,올림픽공원,4136,07:41:05,departure,UP,DAY
C9024,access,올림픽공원,4136,07:49:20,departure,UP,DAY
C9026,access,올림픽공원,4136,07:58:00,departure,UP,DAY
C9028,access,올림픽공원,4136,08:03:50,departure,UP,DAY
C9030,access,올림픽공원,4136,08:10:10,departure,UP,DAY
C9032,access,올림픽공원,4136,08:16:30,departure,UP,DAY
C9034,access,올림픽공원,4136,08:22:50,departure,UP,DAY
C9036,access,올림픽공원,4136,08:29:10,departure,UP,DAY
C9038,access,올림픽공원,4136,08:35:30,departure,UP,DAY
C9040,access,올림픽공원,4136,08:41:50,departure,UP,DAY
C9042,access,올림픽공원,4136,08:48:10,departure,UP,DAY
C9044,access,올림픽공원,4136,08:54:30,departure,UP,DAY
C9046,access,올림픽공원,4136,09:00:50,departure,UP,DAY
C9048,access,올림픽공원,4136,09:07:10,departure,UP,DAY
C9050,access,올림픽공원,4136,09:13:30,departure,UP,DAY
C9052,access,올림픽공원,4136,09:19:50,departure,UP,DAY
C9054,access,올림픽공원,4136,09:26:10,departure,UP,DAY
C9056,access,올림픽공원,4136,09:32:30,departure,UP,DAY
C9058,access,올림픽공원,4136,09:38:50,departure,UP,DAY
C9060,access,올림픽공원,4136,09:46:15,departure,UP,DAY
C9062,access,올림픽공원,4136,09:50:30,departure,UP,DAY
C9064,access,올림픽공원,4136,09:58:55,departure,UP,DAY
C9066,access,올림픽공원,4136,10:07:20,departure,UP,DAY
C9068,access,올림픽공원,4136,10:18:15,departure,UP,DAY
C9070,access,올림픽공원,4136,10:29:15,departure,UP,DAY
C9072,access,올림픽공원,4136,10:40:15,departure,UP,DAY
C9074,access,올림픽공원,4136,10:51:15,departure,UP,DAY
C9076,access,올림픽공원,4136,11:02:15,departure,UP,DAY
C9078,access,올림픽공원,4136,11:13:15,departure,UP,DAY
C9080,access,올림픽공원,4136,11:24:15,departure,UP,DAY
C9082,access,올림픽공원,4136,11:35:15,departure,UP,DAY
C9084,access,올림픽공원,4136,11:47:00,departure,UP,DAY
C9086,access,올림픽공원,4136,11:59:05,departure,UP,DAY
C9088,access,올림픽공원,4136,12:10:15,departure,UP,DAY
C9090,access,올림픽공원,4136,12:21:15,departure,UP,DAY
C9092,access,올림픽공원,4136,12:32:15,departure,UP,DAY
C9094,access,올림픽공원,4136,12:43:15,departure,UP,DAY
C9096,access,올림픽공원,4136,12:54:15,departure,UP,DAY
C9098,access,올림픽공원,4136,13:05:15,departure,UP,DAY
C9100,access,올림픽공원,4136,13:16:15,departure,UP,DAY
C9102,access,올림픽공원,4136,13:27:15,departure,UP,DAY
C9104,access,올림픽공원,4136,13:38:15,departure,UP,DAY
C9106,access,올림픽공원,4136,13:49:15,departure,UP,DAY
C9108,access,올림픽공원,4136,14:00:15,departure,UP,DAY
C9110,access,올림픽공원,4136,14:11:15,departure,UP,DAY
C9112,access,올림픽공원,4136,14:23:00,departure,UP,DAY
C9114,access,올림픽공원,4136,14:35:00,departure,UP,DAY
C9116,access,올림픽공원,4136,14:46:15,departure,UP,DAY
C9118,access,올림픽공원,4136,14:57:15,departure,UP,DAY
C9120,access,올림픽공원,4136,15:08:15,departure,UP,DAY
C9122,access,올림픽공원,4136,15:19:15,departure,UP,DAY
C9124,access,올림픽공원,4136,15:30:25,departure,UP,DAY
C9126,access,올림픽공원,4136,15:41:20,departure,UP,DAY
C9128,access,올림픽공원,4136,15:52:15,departure,UP,DAY
C9130,access,올림픽공원,4136,16:03:15,departure,UP,DAY
C9132,access,올림픽공원,4136,16:14:15,departure,UP,DAY
C9134,access,올림픽공원,4136,16:25:35,departure,UP,DAY
C9136,access,올림픽공원,4136,16:36:15,departure,UP,DAY
C9138,access,올림픽공원,4136,16:47:15,departure,UP,DAY
C9140,access,올림픽공원,4136,16:59:00,departure,UP,DAY
C9142,access,올림픽공원,4136,17:05:30,departure,UP,DAY
C9144,access,올림픽공원,4136,17:10:45,departure,UP,DAY
C9146,access,올림픽공원,4136,17:22:20,departure,UP,DAY
C9148,access,올림픽공원,4136,17:33:20,departure,UP,DAY
C9150,access,올림픽공원,4136,17:40:40,departure,UP,DAY
C9152,access,올림픽공원,4136,17:49:00,departure,UP,DAY
C9154,access,올림픽공원,4136,17:57:30,departure,UP,DAY
C9156,access,올림픽공원,4136,18:04:25,departure,UP,DAY
C9158,access,올림픽공원,4136,18:11:15,departure,UP,DAY
C9160,access,올림픽공원,4136,18:18:05,departure,UP,DAY
C9162,access,올림픽공원,4136,18:24:55,departure,UP,DAY
C9164,access,올림픽공원,4136,18:31:45,departure,UP,DAY
C9166,access,올림픽공원,4136,18:38:35,departure,UP,DAY
C9168,access,올림픽공원,4136,18:45:25,departure,UP,DAY
C9170,access,올림픽공원,4136,18:52:15,departure,UP,DAY
C9172,access,올림픽공원,4136,18:59:05,departure,UP,DAY
C9174,access,올림픽공원,4136,19:05:55,departure,UP,DAY
C9176,access,올림픽공원,4136,19:12:45,departure,UP,DAY
C9178,access,올림픽공원,4136,19:19:35,departure,UP,DAY
C9180,access,올림픽공원,4136,19:26:25,departure,UP,DAY
C9182,access,올림픽공원,4136,19:33:15,departure,UP,DAY
C9184,access,올림픽공원,4136,19:40:05,departure,UP,DAY
C9186,access,올림픽공원,4136,19:46:55,departure,UP,DAY
C9188,access,올림픽공원,4136,19:53:45,departure,UP,DAY
C9190,access,올림픽공원,4136,20:00:35,departure,UP,DAY
C9192,access,올림픽공원,4136,20:07:25,departure,UP,DAY
C9194,access,올림픽공원,4136,20:14:15,departure,UP,DAY
C9196,access,올림픽공원,4136,20:22:20,departure,UP,DAY
C9198,access,올림픽공원,4136,20:31:20,departure,UP,DAY
C9200,access,올림픽공원,4136,20:40:20,departure,UP,DAY
C9202,access,올림픽공원,4136,20:47:10,departure,UP,DAY
C9204,access,올림픽공원,4136,20:55:15,departure,UP,DAY
C9206,access,올림픽공원,4136,21:03:35,departure,UP,DAY
C9208,access,올림픽공원,4136,21:14:35,departure,UP,DAY
C9210,access,올림픽공원,4136,21:25:35,departure,UP,DAY
C9212,access,올림픽공원,4136,21:36:35,departure,UP,DAY
C9214,access,올림픽공원,4136,21:47:35,departure,UP,DAY
C9216,access,올림픽공원,4136,21:58:35,departure,UP,DAY
C9218,access,올림픽공원,4136,22:09:35,departure,UP,DAY
C9220,access,올림픽공원,4136,22:20:35,departure,UP,DAY
C9222,access,올림픽공원,4136,22:31:35,departure,UP,DAY
C9224,access,올림픽공원,4136,22:42:35,departure,UP,DAY
C9226,access,올림픽공원,4136,22:53:35,departure,UP,DAY
C9228,access,올림픽공원,4136,23:04:35,departure,UP,DAY
C9230,access,올림픽공원,4136,23:15:35,departure,UP,DAY
C9232,access,올림픽공원,4136,23:26:35,departure,UP,DAY
C9234,access,올림픽공원,4136,23:37:35,departure,UP,DAY
C9236,access,올림픽공원,4136,23:48:35,departure,UP,DAY
C9238,access,올림픽공원,4136,23:59:35,departure,UP,DAY
C9240,access,올림픽공원,4136,24:10:35,departure,UP,DAY
C9242,access,올림픽공원,4136,24:21:35,departure,UP,DAY
C9244,access,올림픽공원,4136,24:30:25,departure,UP,DAY
C9246,access,올림픽공원,4136,24:39:25,departure,UP,DAY
C9248,access,올림픽공원,4136,24:47:00,departure,UP,DAY
C9250,access,올림픽공원,4136,24:58:00,departure,UP,DAY
E9502,access,올림픽공원,4136,06:05:20,departure,UP,DAY
E9504,access,올림픽공원,4136,06:19:55,departure,UP,DAY
E9506,access,올림픽공원,4136,06:32:05,departure,UP,DAY
E9508,access,올림픽공원,4136,06:42:15,departure,UP,DAY
E9510,access,올림픽공원,4136,06:53:25,departure,UP,DAY
E9512,access,올림픽공원,4136,07:05:25,departure,UP,DAY
E9514,access,올림픽공원,4136,07:17:25,departure,UP,DAY
E9516,access,올림픽공원,4136,07:29:25,departure,UP,DAY
E9518,access,올림픽공원,4136,07:38:15,departure,UP,DAY
E9520,access,올림픽공원,4136,07:46:45,departure,UP,DAY
E9522,access,올림픽공원,4136,07:55:25,departure,UP,DAY
E9524,access,올림픽공원,4136,08:01:15,departure,UP,DAY
E9526,access,올림픽공원,4136,08:07:35,departure,UP,DAY
E9528,access,올림픽공원,4136,08:13:55,departure,UP,DAY
E9530,access,올림픽공원,4136,08:20:15,departure,UP,DAY
E9532,access,올림픽공원,4136,08:26:35,departure,UP,DAY
E9534,access,올림픽공원,4136,08:32:55,departure,UP,DAY
E9536,access,올림픽공원,4136,08:39:15,departure,UP,DAY
E9538,access,올림픽공원,4136,08:45:35,departure,UP,DAY
E9540,access,올림픽공원,4136,08:51:55,departure,UP,DAY
E9542,access,올림픽공원,4136,08:58:15,departure,UP,DAY
E9544,access,올림픽공원,4136,09:04:35,departure,UP,DAY
E9546,access,올림픽공원,4136,09:10:55,departure,UP,DAY
E9548,access,올림픽공원,4136,09:17:15,departure,UP,DAY
E9550,access,올림픽공원,4136,09:23:35,departure,UP,DAY
E9552,access,올림픽공원,4136,09:29:35,departure,UP,DAY
E9554,access,올림픽공원,4136,09:35:55,departure,UP,DAY
E9556,access,올림픽공원,4136,09:41:25,departure,UP,DAY
E9558,access,올림픽공원,4136,09:53:45,departure,UP,DAY
E9560,access,올림픽공원,4136,10:04:25,departure,UP,DAY
E9562,access,올림픽공원,4136,10:15:25,departure,UP,DAY
E9564,access,올림픽공원,4136,10:26:25,departure,UP,DAY
E9566,access,올림픽공원,4136,10:37:25,departure,UP,DAY
E9568,access,올림픽공원,4136,10:48:25,departure,UP,DAY
E9570,access,올림픽공원,4136,10:59:25,departure,UP,DAY
E9572,access,올림픽공원,4136,11:10:25,departure,UP,DAY
E9574,access,올림픽공원,4136,11:21:25,departure,UP,DAY
E9576,access,올림픽공원,4136,11:32:25,departure,UP,DAY
E9578,access,올림픽공원,4136,11:44:25,departure,UP,DAY
E9580,access,올림픽공원,4136,11:56:25,departure,UP,DAY
E9582,access,올림픽공원,4136,12:07:25,departure,UP,DAY
E9584,access,올림픽공원,4136,12:18:25,departure,UP,DAY
E9586,access,올림픽공원,4136,12:29:25,departure,UP,DAY
E9588,access,올림픽공원,4136,12:40:25,departure,UP,DAY
E9590,access,올림픽공원,4136,12:51:25,departure,UP,DAY
E9592,access,올림픽공원,4136,13:02:25,departure,UP,DAY
E9594,access,올림픽공원,4136,13:13:25,departure,UP,DAY
E9596,access,올림픽공원,4136,13:24:25,departure,UP,DAY
E9598,access,올림픽공원,4136,13:35:25,departure,UP,DAY
E9600,access,올림픽공원,4136,13:46:25,departure,UP,DAY
E9602,access,올림픽공원,4136,13:57:25,departure,UP,DAY
E9604,access,올림픽공원,4136,14:08:25,departure,UP,DAY
E9606,access,올림픽공원,4136,14:20:25,departure,UP,DAY
E9608,access,올림픽공원,4136,14:32:25,departure,UP,DAY
E9610,access,올림픽공원,4136,14:43:25,departure,UP,DAY
