highway,review_priority,priority_status,routeable_edge_count,routeable_length_km,routeable_length_share,canonical_exposure_rows,exposed_route_count,exposed_route_candidate_count,exposed_graph_variants,route_status_counts,total_exposed_distance_m,total_exposed_time_min,max_route_time_share,speed_evidence_status,capacity_evidence_status,base_disruption_evidence_status,override_source_class,needed_source_requests,candidate_artifacts,required_reviewer_action,publication_use_status,can_support_road_evidence_gate,claim_boundary
primary,high,blocked_exposed_high_priority_road_evidence_gap,486,29.963352,0.068296,12,2,12,current_reduced_corridor; multi_corridor_candidate,pass=8; warn=4,14004.728126,14.004728,0.490303,sparse_public_maxspeed_tags,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_background_traffic_benchmark_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,"prioritize reviewed or explicitly accepted speed, capacity, and disruption values for this exposed road class",priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
tertiary,high,blocked_exposed_high_priority_road_evidence_gap,1326,59.501853,0.135624,12,2,12,current_reduced_corridor; multi_corridor_candidate,pass=8; warn=4,8216.85613,12.325286,0.58369,sparse_public_maxspeed_tags,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_background_traffic_benchmark_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,"prioritize reviewed or explicitly accepted speed, capacity, and disruption values for this exposed road class",priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
secondary,high,blocked_exposed_high_priority_road_evidence_gap,870,39.405308,0.089818,14,3,14,current_reduced_corridor; multi_corridor_candidate,pass=9; warn=5,9218.485074,11.06218,0.722504,sparse_public_maxspeed_tags,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_background_traffic_benchmark_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,"prioritize reviewed or explicitly accepted speed, capacity, and disruption values for this exposed road class",priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
residential,high,blocked_exposed_high_priority_road_evidence_gap,5522,278.943118,0.635803,12,2,12,current_reduced_corridor; multi_corridor_candidate,pass=8; warn=4,819.496004,2.026716,0.119097,sparse_public_maxspeed_tags,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_background_traffic_benchmark_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,"prioritize reviewed or explicitly accepted speed, capacity, and disruption values for this exposed road class",priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
connector,route_connector_review,blocked_exposed_connector_assumption,0,0,0,18,3,18,current_reduced_corridor; multi_corridor_candidate,pass=12; warn=6,6798.327876,20.394984,0.402071,connector_geometry_sanity_only,connector_capacity_assumption,connector_base_p_fail_zero_assumption,connector assumption,road_background_traffic_benchmark_request; route_plausibility_connector_review,data/validation/route_plausibility.csv,"review connector snapping distances, connector travel times, capacity assumptions, and zero-failure treatment before route-level claims",priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
primary_link,medium,needs_review_exposed_medium_priority_road_evidence_gap,250,4.542784,0.010354,6,2,6,current_reduced_corridor; multi_corridor_candidate,pass=5; warn=1,666.510652,0.88868,0.075637,missing_public_speed_evidence,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_background_traffic_benchmark_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,"review after exposed high-priority classes, or sooner if graph-scale selection makes this class claim-relevant",priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
tertiary_link,medium,needs_review_exposed_medium_priority_road_evidence_gap,52,0.69758,0.00159,2,1,2,current_reduced_corridor; multi_corridor_candidate,pass=1; warn=1,121.923496,0.209012,0.024371,missing_public_speed_evidence,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_background_traffic_benchmark_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,"review after exposed high-priority classes, or sooner if graph-scale selection makes this class claim-relevant",priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
secondary_link,medium,queued_no_current_canonical_route_exposure,85,1.951657,0.004448,0,0,0,,,0,0,0,missing_public_speed_evidence,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,keep this class in the road override review backlog unless graph-scale or route-candidate changes expose it,priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
trunk,medium,queued_no_current_canonical_route_exposure,176,12.585378,0.028686,0,0,0,,,0,0,0,sparse_public_maxspeed_tags,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,keep this class in the road override review backlog unless graph-scale or route-candidate changes expose it,priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
trunk_link,medium,queued_no_current_canonical_route_exposure,353,10.042428,0.02289,0,0,0,,,0,0,0,missing_public_speed_evidence,missing_lane_or_capacity_evidence,missing_disruption_probability_evidence,expert assumption,reviewed_road_class_override_application_request; road_capacity_lane_count_source_request; road_disruption_probability_source_request; road_speed_limit_source_request,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv,keep this class in the road override review backlog unless graph-scale or route-candidate changes expose it,priority_review_support_only_not_road_acceptance,false,"Road evidence priority packet only; not reviewed road-class overrides, not calibrated traffic evidence, not graph-scale acceptance, not validation acceptance, and not operational routing evidence."
