u,v,key,realworld_edge_id,osmid,highway,length_m,routeable_vehicle_highway,geometry_present,source
10009448543,10009448544,0,osm:1092931542,1092931542,footway,4.887190,false,false,osm_overpass
10009448543,4658893764,0,osm:472104444,472104444,cycleway,10.011029,false,false,osm_overpass
10009448543,7738899827,0,osm:472104444,472104444,cycleway,43.935771,false,false,osm_overpass
10009448544,10009448543,0,osm:1092931542,1092931542,footway,4.887190,false,false,osm_overpass
10009448544,11177272215,0,osm:1092931542,1092931542,footway,18.097745,false,false,osm_overpass
10009448544,5896568488,0,osm:1206205739,1206205739,residential,10.903974,true,false,osm_overpass
10009448545,5260056422,0,osm:1092931543,1092931543,cycleway,242.083239,false,false,osm_overpass
10009448545,6960603041,0,osm:1092931543,1092931543,cycleway,8.531625,false,false,osm_overpass
10009448546,10009448548,0,osm:1092931544,1092931544,cycleway,8.750825,false,false,osm_overpass
10009448546,10009448575,0,osm:1092931548,1092931548,cycleway,122.280261,false,false,osm_overpass
10009448547,10009448548,0,osm:1092931544,1092931544,cycleway,140.350917,false,false,osm_overpass
10009448547,13720486316,0,osm:474149111,474149111,service,9.107641,false,false,osm_overpass
10009448547,357935107,0,osm:1092931544,1092931544,cycleway,140.967655,false,false,osm_overpass
10009448547,4681593285,0,osm:474149111,474149111,service,22.858367,false,false,osm_overpass
10009448548,10009448546,0,osm:1092931544,1092931544,cycleway,8.750825,false,false,osm_overpass
10009448548,10009448547,0,osm:1092931544,1092931544,cycleway,140.350917,false,false,osm_overpass
10009448548,2918341058,0,osm:239950022,239950022,living_street,9.866360,false,false,osm_overpass
10009448548,2918341059,0,osm:239950022,239950022,living_street,3.175318,false,false,osm_overpass
10009448549,10009448550,0,osm:1092931546,1092931546,cycleway,3.995836,false,false,osm_overpass
10009448549,6960603041,0,osm:1092931546,1092931546,cycleway,6.968695,false,false,osm_overpass
10009448550,10009448549,0,osm:1092931546,1092931546,cycleway,3.995836,false,false,osm_overpass
10009448550,10009448565,0,osm:1092931546,1092931546,cycleway,1.632929,false,false,osm_overpass
10009448551,10009448552,0,osm:1092931546,1092931546,cycleway,6.220175,false,false,osm_overpass
10009448551,10009448566,0,osm:1092931546,1092931546,cycleway,3.669593,false,false,osm_overpass
10009448552,10009448551,0,osm:1092931546,1092931546,cycleway,6.220175,false,false,osm_overpass
10009448552,10009448563,0,osm:1092931546,1092931546,cycleway,2.545767,false,false,osm_overpass
10009448553,10009448564,0,osm:1092931546,1092931546,cycleway,9.073698,false,false,osm_overpass
10009448553,357888158,0,osm:1092931546,1092931546,cycleway,111.244619,false,false,osm_overpass
10009448554,10009448555,0,osm:1092931545,1092931545,cycleway,11.117945,false,false,osm_overpass
10009448554,13637066103,0,osm:1092931545,1092931545,cycleway,99.724748,false,false,osm_overpass
10009448555,10009448554,0,osm:1092931545,1092931545,cycleway,11.117945,false,false,osm_overpass
10009448555,10009448556,0,osm:1092931545,1092931545,cycleway,12.481228,false,false,osm_overpass
10009448556,10009448555,0,osm:1092931545,1092931545,cycleway,12.481228,false,false,osm_overpass
10009448556,10009448557,0,osm:1092931545,1092931545,cycleway,10.909063,false,false,osm_overpass
10009448557,10009448556,0,osm:1092931545,1092931545,cycleway,10.909063,false,false,osm_overpass
10009448557,10009448558,0,osm:1092931545,1092931545,cycleway,9.987235,false,false,osm_overpass
10009448558,10009448557,0,osm:1092931545,1092931545,cycleway,9.987235,false,false,osm_overpass
10009448558,10009448572,0,osm:1092931545,1092931545,cycleway,3.582966,false,false,osm_overpass
10009448559,10009448560,0,osm:1259550880,1259550880,cycleway,14.364509,false,false,osm_overpass
10009448559,10009448572,0,osm:1259550880,1259550880,cycleway,8.746014,false,false,osm_overpass
10009448560,10009448559,0,osm:1259550880,1259550880,cycleway,14.364509,false,false,osm_overpass
10009448560,10009448561,0,osm:1259550880,1259550880,cycleway,12.577295,false,false,osm_overpass
10009448561,10009448560,0,osm:1259550880,1259550880,cycleway,12.577295,false,false,osm_overpass
10009448561,357886889,0,osm:1259550880,1259550880,cycleway,93.995046,false,false,osm_overpass
10009448562,10009471498,0,osm:1092936834,1092936834,footway,13.863548,false,false,osm_overpass
10009448562,11709560496,0,osm:1259550878,1259550878,footway,313.003155,false,false,osm_overpass
10009448563,10009448552,0,osm:1092931546,1092931546,cycleway,2.545767,false,false,osm_overpass
10009448563,10009448564,0,osm:1092931546,1092931546,cycleway,0.998183,false,false,osm_overpass
10009448563,5873076163,0,osm:621701060,621701060,pedestrian,2.536617,false,false,osm_overpass
10009448563,6960603039,0,osm:621701060,621701060,pedestrian,3.230072,false,false,osm_overpass
10009448564,10009448553,0,osm:1092931546,1092931546,cycleway,9.073698,false,false,osm_overpass
10009448564,10009448563,0,osm:1092931546,1092931546,cycleway,0.998183,false,false,osm_overpass
10009448564,11177272222,0,osm:743712417,743712417,footway,12.872719,false,false,osm_overpass
10009448564,6960603039,0,osm:743712417,743712417,footway,2.682180,false,false,osm_overpass
10009448565,10009448550,0,osm:1092931546,1092931546,cycleway,1.632929,false,false,osm_overpass
10009448565,10009448567,0,osm:1092931546,1092931546,cycleway,1.216063,false,false,osm_overpass
10009448565,5873076167,0,osm:473999358,473999358,footway,1.708359,false,false,osm_overpass
10009448565,6960603042,0,osm:473999358,473999358,footway,19.363137,false,false,osm_overpass
10009448566,10009448551,0,osm:1092931546,1092931546,cycleway,3.669593,false,false,osm_overpass
10009448566,10009448567,0,osm:1092931546,1092931546,cycleway,0.985014,false,false,osm_overpass
10009448566,5873076167,0,osm:473999360,473999360,footway,1.449101,false,false,osm_overpass
