scenario_id,region_id,family,label,selection_method,target_segment,disruption_mode,capacity_factor,p_fail_scale,max_edges,hazard_bbox_west,hazard_bbox_south,hazard_bbox_east,hazard_bbox_north,rail_travel_time_multiplier,rail_headway_multiplier,rail_capacity_multiplier,evidence_class,observed_disaster_data,duration_min,recovery_profile,temporal_scope,notes,road_travel_time_multiplier
songpa_random_capacity_reduction,songpa_public_demo,random,Deterministic random capacity-reduction baseline,hash_rank,all_road,capacity_reduction,0.30,1.0,8,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,
songpa_random_blockage,songpa_public_demo,random,Deterministic random full-blockage baseline,hash_rank,all_road,blocked,0.00,1.0,8,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Hash-ranked blockage baseline; increased max_edges from 2 to 8.,
songpa_critical_link_blockage,songpa_public_demo,critical_link,Critical-link blockage by road betweenness,edge_betweenness,all_road,blocked,0.00,1.0,3,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Top road links by weighted edge betweenness; topology proxy only.,
songpa_access_origin_to_station,songpa_public_demo,access_road,Origin-to-rail-access road degradation,shortest_path,A->S,capacity_reduction,0.40,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Shortest road path from assembly point to rail access point.,
songpa_access_origin_to_destination,songpa_public_demo,access_road,Origin-to-destination direct-road degradation,shortest_path,A->D,capacity_reduction,0.40,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Shortest road path from assembly point to destination point.,
songpa_last_mile_station_to_destination,songpa_public_demo,last_mile,Rail-egress-to-destination last-mile degradation,shortest_path,R->D,capacity_reduction,0.40,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Shortest road path from rail egress point to destination point.,
songpa_rail_station_access,songpa_public_demo,rail_station_access,Rail station access and egress road degradation,station_access,"S,R",capacity_reduction,0.50,1.0,6,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Road edges incident to rail access and egress connectors.,
songpa_spatial_tancheon_corridor,songpa_public_demo,spatial_hazard_overlay,Scenario-based Tancheon corridor exposure overlay,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,6,127.1060,37.5160,127.1120,37.5230,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Scenario bbox for corridor-exposure sensitivity only.,
songpa_spatial_feeder_east,songpa_public_demo,spatial_hazard_overlay,Feeder corridor east-of-assembly exposure overlay,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,8,127.1250,37.5160,127.1310,37.5230,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Feeder A->S corridor exposure; does NOT intersect bus-direct A->D or lastmile R->D.,
songpa_spatial_lastmile_west,songpa_public_demo,spatial_hazard_overlay,Lastmile corridor west-of-egress exposure overlay expanded,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,7,127.0990,37.5125,127.1045,37.5170,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Expanded bbox for lastmile R->D corridor; from 100m x 110m to ~485m x 500m.,
songpa_spatial_assembly_egress,songpa_public_demo,spatial_hazard_overlay,Assembly egress dual-corridor exposure overlay,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,6,127.1140,37.5220,127.1180,37.5250,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Assembly egress dual-exposure; hits shared initial segments of bus A->D and feeder A->S.,
songpa_rail_delay,songpa_public_demo,rail_service,Rail travel-time degradation scenario,rail_param,none,none,1.0,1.0,,,,,,1.5,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail travel time x1.5; no road-edge disruption.,
songpa_rail_capacity_reduction,songpa_public_demo,rail_service,Rail capacity reduction scenario,rail_param,none,none,1.0,1.0,,,,,,,,0.5,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail capacity x0.5; no road-edge disruption.,
songpa_rail_combined_stress,songpa_public_demo,rail_service,Rail combined delay headway and capacity stress,rail_param,none,none,1.0,1.0,,,,,,1.5,1.5,0.5,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail travel time x1.5 headway x1.5 capacity x0.5 combined stress.,
songpa_combo_tancheon_rail_delay,songpa_public_demo,spatial_hazard_overlay,Tancheon corridor road disruption combined with rail delay,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,6,127.1060,37.5160,127.1120,37.5230,1.5,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Multi-hazard: Tancheon road + rail travel time x1.5.,
songpa_combo_access_rail_capacity,songpa_public_demo,access_road,Access road A->D degradation combined with rail capacity reduction,shortest_path,A->D,capacity_reduction,0.40,1.0,,,,,,,,0.5,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Multi-hazard: A->D road + rail capacity x0.5.,
songpa_rail_delay_mild,songpa_public_demo,rail_service,Rail mild travel-time degradation,rail_param,none,none,1.0,1.0,,,,,,1.2,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail travel time x1.2; mild severity ladder step.,
songpa_rail_delay_severe,songpa_public_demo,rail_service,Rail severe travel-time degradation,rail_param,none,none,1.0,1.0,,,,,,2.0,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail travel time x2.0; severe severity ladder step.,
songpa_rail_unavailable,songpa_public_demo,rail_service,Rail effectively removed,rail_param,none,none,1.0,1.0,,,,,,100.0,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail effectively removed (travel time x100); extreme severity representing complete rail unavailability.,
songpa_rail_combined_stress_mild,songpa_public_demo,rail_service,Rail mild combined stress,rail_param,none,none,1.0,1.0,,,,,,1.2,1.2,0.75,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail mild combined stress: travel time x1.2 headway x1.2 capacity x0.75.,
songpa_rail_combined_stress_severe,songpa_public_demo,rail_service,Rail severe combined stress,rail_param,none,none,1.0,1.0,,,,,,2.0,2.0,0.25,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail severe combined stress: travel time x2.0 headway x2.0 capacity x0.25.,
songpa_transfer_point_blockage,songpa_public_demo,spatial_hazard_overlay,Transfer-point road degradation near rail access station S,bbox_midpoint,bbox,capacity_reduction,0.30,1.0,4,127.1285,37.5150,127.1320,37.5182,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Transfer-point road degradation near rail access station S; tests multimodal vulnerability at the modal transfer location.,
