"Path","Exists","TrackedExactPath","Kind","Length","LastWriteTime"
"transport_simulation_core","False","False","missing",,
"transport_simulation_core\plan.md","False","False","missing",,
"transport_simulation_core\outputs","False","False","missing",,
"transport_simulation_core\scripts\run_competition_experiments.py","False","False","missing",,
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모","False","False","missing",,
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\철도물류_이벤트수송_최종본.txt","False","False","missing",,
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\scripts\run_event_realworld_simulation.py","False","False","missing",,
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\results\realworld\event_transport_summary.csv","False","False","missing",,
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\generated_figures\final\event_route_context_map.png","False","False","missing",,
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\generated_figures\final\event_arrival_guarantee_heatmap.png","False","False","missing",,
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\generated_figures\final\event_ai_risk_or_bottleneck.png","False","False","missing",,
"철도물류_최종본.txt","False","False","missing",,
"results\realworld","False","False","missing",,
"results\ai_analysis","False","False","missing",,
"web_demo","True","False","directory",,"2026-06-02 오후 2:08:20"
"kci","True","False","directory",,"2026-06-02 오후 2:08:19"
