path_from_log,category,subcategory,current_exists,evidence_log
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\철도물류_이벤트수송_최종본.txt,event_transport_contest,text_or_doc,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\참고 그림.webp,event_transport_contest,other,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\[안전한 교통]김현준,이재우_참가신청서.hwp",event_transport_contest,text_or_doc,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\source_evidence.md,event_transport_contest,text_or_doc,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\scripts\run_event_transport_pipeline.py,event_transport_contest,script,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\scripts\run_event_realworld_simulation.py,event_transport_contest,script,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\scripts\make_event_realworld_figures.py,event_transport_contest,script,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\scripts\check_cuda_xgboost.py,event_transport_contest,script,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\scripts\build_event_realworld_inputs.py,event_transport_contest,script,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\scripts\audit_event_realworld_outputs.py,event_transport_contest,script,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\run_log.md,event_transport_contest,text_or_doc,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\results\summary\event_transport_summary.csv,event_transport_contest,result,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\results\summary\event_transport_baseline_50000_summary.csv,event_transport_contest,result,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\prompt.txt,event_transport_contest,text_or_doc,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\plan.md,event_transport_contest,text_or_doc,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\results\realworld\event_transport_summary.csv,event_transport_contest,result,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\results\realworld\event_transport_seed_summary.csv,event_transport_contest,result,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\results\realworld\event_transport_raw.csv,event_transport_contest,result,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\results\realworld\event_realworld_audit.json,event_transport_contest,result,False,C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl
