"Path","Classification","Exists","Evidence","ImmediateAction"
"transport_simulation_core","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"transport_simulation_core\plan.md","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"transport_simulation_core\outputs","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"transport_simulation_core\scripts\run_competition_experiments.py","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\철도물류_이벤트수송_최종본.txt","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\scripts\run_event_realworld_simulation.py","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\results\realworld\event_transport_summary.csv","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\generated_figures\final\event_route_context_map.png","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\generated_figures\final\event_arrival_guarantee_heatmap.png","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"국방AI_활용_아이디어_경연대회\2026 철도·교통·물류 대국민 아이디어 공모\generated_figures\final\event_ai_risk_or_bottleneck.png","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"철도물류_최종본.txt","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"results\realworld","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"results\ai_analysis","MISSING_UNTRACKED_OR_UNKNOWN","False","current filesystem absence; requires log/candidate search","search logs and recovery candidates before regeneration"
"web_demo","PRESENT_UNTRACKED_OR_DIRECTORY","True","current filesystem","integrity check before use"
"kci","PRESENT_UNTRACKED_OR_DIRECTORY","True","current filesystem","integrity check before use"
