"Candidate","SourceType","Exists","LastWriteTime","FileCount","Bytes","HighRiskMatchCount","Notes"
"C:\tss99a63fe6","filesystem_directory","True","2026-05-08 오후 6:37:26","27757","1338864919","0","no high-risk path-name matches found"
"C:\tsscc","filesystem_directory","True","2026-05-08 오후 6:49:40","0",,"0","no high-risk path-name matches found"
"C:\tsssrc40469350","filesystem_directory","True","2026-05-08 오후 6:48:15","14994","966463911","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_source_probe_e2f86a97a3d2405eb0e287038945f67c","temp_directory","True","2026-05-16 오후 1:31:56","24","3052273","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_source_for_smoke_f2397aedd90747088c8819287215fe5e","temp_directory","True","2026-05-16 오후 1:31:51","28","3178079","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport-system-sim-handoff-3087ba6891e7461787d3eebf1af05afe","temp_directory","True","2026-05-16 오후 1:31:49","0",,"0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_r2ni1_eq","temp_directory","True","2026-05-10 오후 6:50:04","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_lm9118r8","temp_directory","True","2026-05-10 오후 6:35:46","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_e7245fe8","temp_directory","True","2026-05-10 오후 6:31:56","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_w_bga77x","temp_directory","True","2026-05-10 오후 3:12:08","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_97rgzu_t","temp_directory","True","2026-05-10 오후 2:58:56","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_rp1qpqlp","temp_directory","True","2026-05-09 오후 3:55:18","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_m9xf38zv","temp_directory","True","2026-05-09 오후 3:27:01","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_xeha2zdm","temp_directory","True","2026-05-09 오후 3:18:27","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_k68ltf6b","temp_directory","True","2026-05-09 오후 2:04:15","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_c0nuujf1","temp_directory","True","2026-05-09 오후 2:01:54","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_rz6i1557","temp_directory","True","2026-05-09 오전 10:35:44","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_x74n6bzx","temp_directory","True","2026-05-09 오전 10:27:32","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_0q2qj9qu","temp_directory","True","2026-05-09 오전 10:19:27","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_vvr55e9k","temp_directory","True","2026-05-09 오전 10:11:19","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_fxet0dss","temp_directory","True","2026-05-09 오전 10:03:55","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_fkfa1mu5","temp_directory","True","2026-05-09 오전 9:54:49","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\AppData\Local\Temp\transport_system_clean_checkout_760bnrf0","temp_directory","True","2026-05-09 오전 9:51:40","6","461161","0","no high-risk path-name matches found"
"C:\Users\mnb92\.codex\sessions\2026\06\02\rollout-2026-06-02T03-05-57-019e845d-250e-7461-be51-873cb0dfaae4.jsonl","codex_session_log","True","2026-06-02 오전 3:10:10",,"764328","61","log evidence only; confirms path names existed in prior rg output, not file contents by itself"
