prior_path,root_equivalent_path,root_exists,root_tracked,classification,recommended_action
transport_simulation_core\generate_report_figures.py,generate_report_figures.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\generate_report.py,generate_report.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\full_scale_run_status.md,full_scale_run_status.md,False,False,document_or_input_missing_from_root,recover_from_logs_or_regenerate_from_verified_sources
transport_simulation_core\전시_예비군_수송체계_시뮬레이션_개념도.png,전시_예비군_수송체계_시뮬레이션_개념도.png,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\국방.md,국방.md,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_transfers.py,tests\test_transfers.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_traffic.py,tests\test_traffic.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_scenario.py,tests\test_scenario.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_validation_strategy_readiness_packet.py,tests\test_realworld_validation_strategy_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_validation_review_packet.py,tests\test_realworld_validation_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_validation_benchmark_readiness_packet.py,tests\test_realworld_validation_benchmark_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_validation_benchmark_decision_packet.py,tests\test_realworld_validation_benchmark_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_validation_acceptance.py,tests\test_realworld_validation_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_validation.py,tests\test_realworld_validation.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_types.py,tests\test_realworld_types.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_transfer_evidence_review_packet.py,tests\test_realworld_transfer_evidence_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_tracked_artifact_audit.py,tests\test_realworld_tracked_artifact_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_source_url_review_packet.py,tests\test_realworld_source_url_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_source_url_remediation_packet.py,tests\test_realworld_source_url_remediation_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_source_provenance_priority_packet.py,tests\test_realworld_source_provenance_priority_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_source_provenance_decision_packet.py,tests\test_realworld_source_provenance_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_source_provenance.py,tests\test_realworld_source_provenance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_source_license_review_packet.py,tests\test_realworld_source_license_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_source_context_cache_request_packet.py,tests\test_realworld_source_context_cache_request_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_source_context_cache_decision_packet.py,tests\test_realworld_source_context_cache_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_sensitivity_strategy_readiness_packet.py,tests\test_realworld_sensitivity_strategy_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_sensitivity_review_packet.py,tests\test_realworld_sensitivity_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_sensitivity_method_decision_packet.py,tests\test_realworld_sensitivity_method_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_sensitivity_index_review_packet.py,tests\test_realworld_sensitivity_index_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_sensitivity_diagnostics.py,tests\test_realworld_sensitivity_diagnostics.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_sensitivity_acceptance.py,tests\test_realworld_sensitivity_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_sensitivity.py,tests\test_realworld_sensitivity.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_seed_stream_manifest.py,tests\test_realworld_seed_stream_manifest.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_route_road_evidence_exposure.py,tests\test_realworld_route_road_evidence_exposure.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_speed_evidence.py,tests\test_realworld_road_speed_evidence.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_source_readiness_packet.py,tests\test_realworld_road_source_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_source_decision_packet.py,tests\test_realworld_road_source_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_override_template.py,tests\test_realworld_road_override_template.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_override_audit.py,tests\test_realworld_road_override_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_overrides.py,tests\test_realworld_road_overrides.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_evidence_review_packet.py,tests\test_realworld_road_evidence_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_evidence_request_packet.py,tests\test_realworld_road_evidence_request_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_evidence_priority_packet.py,tests\test_realworld_road_evidence_priority_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_evidence_diagnostics.py,tests\test_realworld_road_evidence_diagnostics.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_evidence.py,tests\test_realworld_road_evidence.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_road_capacity_evidence.py,tests\test_realworld_road_capacity_evidence.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_review_package_path_audit.py,tests\test_realworld_review_package_path_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_review_package_inventory.py,tests\test_realworld_review_package_inventory.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
