origin,s,p_fail_scale,mean,ci95,n
A,1.0,0.0,-58.51083139737875,0.0,10
A,1.0,1.0,-144110.00812126131,282390.5865267088,10
A,1.0,2.0,-288166.5530483149,376526.7220965441,10
A,1.5,0.0,-58.510588776762575,0.0,10
A,1.5,1.0,-144110.0077617188,282390.5861282287,10
A,1.5,2.0,-288166.55256264715,376526.7214764001,10
B,1.0,0.0,-57.16302288718613,6.963318810448982e-15,5
B,1.0,1.0,-288207.02662776347,564769.6369520772,5
B,1.0,2.0,-864503.444301245,691696.6208664562,5
B,1.5,0.0,-57.1626901269525,0.0,5
B,1.5,1.0,-288207.0259416364,564769.6359876178,5
B,1.5,2.0,-864503.4427993812,691696.619867556,5
C,1.0,0.0,-60.901447362945305,0.0,5
C,1.0,1.0,-38.14729630141214,30.617220416132753,5
C,1.0,2.0,-288159.88125660695,564793.3672629495,5
C,1.5,0.0,-60.90136308638762,0.0,5
C,1.5,1.0,-38.14731397579035,30.617253598749528,5
C,1.5,2.0,-288159.880936648,564793.36663583,5
D,1.0,0.0,-66.67702250065702,0.0,5
D,1.0,1.0,-576361.3631947677,691697.7496118182,5
D,1.0,2.0,-1152653.9511839887,564767.4124178486,5
D,1.5,0.0,-66.67651790588206,0.0,5
D,1.5,1.0,-576361.362071316,691697.7488592505,5
D,1.5,2.0,-1152653.9495401247,564767.4117556546,5
