origin,p_fail_scale,mean_delta_penalized_makespan,ci_lower,ci_upper,n_reps
A,0.0,-58.510771169897225,-58.510771169897225,-58.510771169897225,30
A,0.5,-144123.3350228708,-308278.3960991331,20031.726053391525,30
A,1.0,-192140.23794067386,-378147.92402377917,-6132.551857568556,30
A,1.5,-432259.1131465173,-683013.6143759096,-181504.611917125,30
B,0.0,-57.16293883843855,-57.16293883843855,-57.16293883843855,20
B,0.5,-72089.91151617398,-222865.99067992528,78686.16764757733,20
B,1.0,-504310.9464060397,-834283.0571508758,-174338.8356612036,20
B,1.5,-720413.060514753,-1066321.8235550094,-374504.2974744966,20
C,0.0,-60.90142898116983,-60.90142898116983,-60.90142898116983,20
C,0.5,-72086.40380861898,-222862.7306400321,78689.92302279413,20
C,1.0,-360228.34507362486,-659792.236693057,-60664.45345419273,20
C,1.5,-504290.67453443666,-834268.4071804273,-174312.94188844605,20
D,0.0,-66.67689304106398,-66.67689304106398,-66.67689304106398,20
D,0.5,-144130.79157218506,-351673.1182910055,63411.535146635346,20
D,1.0,-504312.1005018699,-834284.8835336785,-174339.31747006142,20
D,1.5,-720410.0882481119,-1066321.8604379487,-374498.3160582751,20
