s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
1.0,0.0,baseline,blocked,,0,1,638.8715709299393,696.0345938171254,-57.163022887186116,638.8715709299393,696.0345938171254,-57.163022887186116,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.79,0.0,483.79,1009.05,545.84,463.2099999999999,0.0,540.0,-540.0,1009.05,1085.84,-76.78999999999996,43871.53,83732.07,-39860.54000000001,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994
1.0,0.0,baseline,blocked,,1,2,638.8715709299393,696.0345938171254,-57.163022887186116,638.8715709299393,696.0345938171254,-57.163022887186116,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.79,0.0,483.79,1009.05,545.84,463.2099999999999,0.0,540.0,-540.0,1009.05,1085.84,-76.78999999999996,43871.53,83732.07,-39860.54000000001,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994
1.0,0.0,baseline,blocked,,2,3,638.8715709299393,696.0345938171254,-57.163022887186116,638.8715709299393,696.0345938171254,-57.163022887186116,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.79,0.0,483.79,1009.05,545.84,463.2099999999999,0.0,540.0,-540.0,1009.05,1085.84,-76.78999999999996,43871.53,83732.07,-39860.54000000001,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994
1.0,0.0,baseline,blocked,,3,4,638.8715709299393,696.0345938171254,-57.163022887186116,638.8715709299393,696.0345938171254,-57.163022887186116,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.79,0.0,483.79,1009.05,545.84,463.2099999999999,0.0,540.0,-540.0,1009.05,1085.84,-76.78999999999996,43871.53,83732.07,-39860.54000000001,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994
1.0,0.0,baseline,blocked,,4,5,638.8715709299393,696.0345938171254,-57.163022887186116,638.8715709299393,696.0345938171254,-57.163022887186116,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.79,0.0,483.79,1009.05,545.84,463.2099999999999,0.0,540.0,-540.0,1009.05,1085.84,-76.78999999999996,43871.53,83732.07,-39860.54000000001,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994
1.0,1.0,baseline,blocked,,0,1,638.8715709299393,696.1740624736892,-57.302491543749966,638.8715709299393,696.1740624736892,-57.302491543749966,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9182,0.07279999999999998,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,487.0,0.0,487.0,1009.05,549.05,460.0,0.0,540.0,-540.0,1009.05,1089.05,-80.0,43871.53,83871.54,-40000.009999999995,0.991,1.8213,-0.8302999999999999,0.991,0.9182,0.07279999999999998
1.0,1.0,baseline,blocked,,1,2,641.8775594369475,inf,-inf,641.8775594369475,1441440.0,-1440798.122440563,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9275,0.0,0.9275,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,0.0,0.0,0.0,1078.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.18,0.0,1078.18,0.0,0.0,0.0,1078.18,0.0,1078.18,46877.5,0.0,46877.5,0.9275,0.0,0.9275,0.9275,0.0,0.9275
1.0,1.0,baseline,blocked,,2,3,639.7037810016143,701.3940812677831,-61.69030026616883,639.7037810016143,701.3940812677831,-61.69030026616883,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9726,0.8271,0.14550000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1028.19,62.04,0.0,540.0,0.0,607.06,0.0,607.06,1028.19,669.11,359.08000000000004,0.0,540.0,-540.0,1028.19,1209.11,-180.91999999999985,44703.74,89091.55,-44387.810000000005,0.9726,1.4945,-0.5218999999999999,0.9726,0.8271,0.14550000000000007
1.0,1.0,baseline,blocked,,3,4,639.5270545196241,696.0345938171254,-56.50753929750124,639.5270545196241,696.0345938171254,-56.50753929750124,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9764,0.9209,0.055499999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1024.12,62.04,0.0,540.0,0.0,483.79,0.0,483.79,1024.12,545.84,478.27999999999986,0.0,540.0,-540.0,1024.12,1085.84,-61.72000000000003,44527.01,83732.07,-39205.060000000005,0.9764,1.832,-0.8556,0.9764,0.9209,0.055499999999999994
1.0,1.0,baseline,blocked,,4,5,639.4231436099645,700.9335107565742,-61.51036714660961,639.4231436099645,700.9335107565742,-61.51036714660961,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9787,0.8041,0.17459999999999998,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1021.73,107.13,0.0,540.0,0.0,596.47,0.0,596.47,1021.73,703.6,318.13,0.0,540.0,-540.0,1021.73,1243.6,-221.8699999999999,44423.1,90591.24,-46168.14000000001,0.9787,1.4213,-0.4426,0.9787,0.8041,0.17459999999999998
1.0,2.0,baseline,blocked,,0,1,643.4381093555667,inf,-inf,643.4381093555667,1441440.0,-1440796.5618906445,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8976,0.0,0.8976,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1114.08,145.89,0.0,480.0,0.0,0.0,0.0,0.0,1114.08,145.89,968.1899999999999,0.0,480.0,-480.0,1114.08,625.89,488.18999999999994,48438.06,66343.14,-17905.08,0.8976,0.0,0.8976,0.8976,0.0,0.8976
1.0,2.0,baseline,blocked,,1,2,644.1447016797642,inf,-inf,644.1447016797642,1441440.0,-1440795.8552983203,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8847,0.0,0.8847,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,0.0,0.0,0.0,1130.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.33,0.0,1130.33,0.0,0.0,0.0,1130.33,0.0,1130.33,49144.64,0.0,49144.64,0.8847,0.0,0.8847,0.8847,0.0,0.8847
1.0,2.0,baseline,blocked,,2,3,640.6782381254224,inf,-inf,640.6782381254224,1441440.0,-1440799.3217618745,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9518,0.0,0.9518,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1050.6,62.04,0.0,540.0,0.0,0.0,0.0,0.0,1050.6,62.04,988.56,0.0,540.0,-540.0,1050.6,602.04,448.55999999999995,45678.19,62697.51,-17019.32,0.9518,0.0,0.9518,0.9518,0.0,0.9518
1.0,2.0,baseline,blocked,,3,4,639.814851808507,700.9639400345644,-61.149088226057415,639.814851808507,700.9639400345644,-61.149088226057415,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9702,0.8339,0.13629999999999998,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1030.74,62.04,0.0,540.0,0.0,597.17,0.0,597.17,1030.74,659.21,371.53,0.0,540.0,-540.0,1030.74,1199.21,-168.47000000000003,44814.8,88661.41,-43846.61,0.9702,1.517,-0.5468,0.9702,0.8339,0.13629999999999998
1.0,2.0,baseline,blocked,,4,5,641.6000435973333,705.9335107565742,-64.33346715924085,641.6000435973333,705.9335107565742,-64.33346715924085,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.933,0.8323,0.10070000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1071.8,125.04,0.0,480.0,0.0,596.47,0.0,596.47,1071.8,721.51,350.28999999999996,0.0,480.0,-480.0,1071.8,1201.51,-129.71000000000004,46600.0,91370.02,-44770.020000000004,0.933,1.386,-0.45299999999999985,0.933,0.8323,0.10070000000000001
1.5,0.0,baseline,blocked,,0,1,638.8733309699037,696.0360210968562,-57.1626901269525,638.8733309699037,696.0360210968562,-57.1626901269525,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.08,62.05,0.0,540.0,0.0,483.82,0.0,483.82,1009.08,545.87,463.21000000000004,0.0,540.0,-540.0,1009.08,1085.87,-76.78999999999985,43873.12,83733.56,-39860.439999999995,0.991,1.8319,-0.8409000000000001,0.991,0.9209,0.07009999999999994
1.5,0.0,baseline,blocked,,1,2,638.8733309699037,696.0360210968562,-57.1626901269525,638.8733309699037,696.0360210968562,-57.1626901269525,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.08,62.05,0.0,540.0,0.0,483.82,0.0,483.82,1009.08,545.87,463.21000000000004,0.0,540.0,-540.0,1009.08,1085.87,-76.78999999999985,43873.12,83733.56,-39860.439999999995,0.991,1.8319,-0.8409000000000001,0.991,0.9209,0.07009999999999994
1.5,0.0,baseline,blocked,,2,3,638.8733309699037,696.0360210968562,-57.1626901269525,638.8733309699037,696.0360210968562,-57.1626901269525,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.08,62.05,0.0,540.0,0.0,483.82,0.0,483.82,1009.08,545.87,463.21000000000004,0.0,540.0,-540.0,1009.08,1085.87,-76.78999999999985,43873.12,83733.56,-39860.439999999995,0.991,1.8319,-0.8409000000000001,0.991,0.9209,0.07009999999999994
1.5,0.0,baseline,blocked,,3,4,638.8733309699037,696.0360210968562,-57.1626901269525,638.8733309699037,696.0360210968562,-57.1626901269525,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.08,62.05,0.0,540.0,0.0,483.82,0.0,483.82,1009.08,545.87,463.21000000000004,0.0,540.0,-540.0,1009.08,1085.87,-76.78999999999985,43873.12,83733.56,-39860.439999999995,0.991,1.8319,-0.8409000000000001,0.991,0.9209,0.07009999999999994
1.5,0.0,baseline,blocked,,4,5,638.8733309699037,696.0360210968562,-57.1626901269525,638.8733309699037,696.0360210968562,-57.1626901269525,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.08,62.05,0.0,540.0,0.0,483.82,0.0,483.82,1009.08,545.87,463.21000000000004,0.0,540.0,-540.0,1009.08,1085.87,-76.78999999999985,43873.12,83733.56,-39860.439999999995,0.991,1.8319,-0.8409000000000001,0.991,0.9209,0.07009999999999994
1.5,1.0,baseline,blocked,,0,1,638.8733309699037,696.1755848727938,-57.30225390289013,638.8733309699037,696.1755848727938,-57.30225390289013,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9182,0.07279999999999998,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.08,62.05,0.0,540.0,0.0,487.03,0.0,487.03,1009.08,549.08,460.0,0.0,540.0,-540.0,1009.08,1089.08,-79.99999999999989,43873.12,83873.11,-39999.99,0.991,1.8212,-0.8301999999999999,0.991,0.9182,0.07279999999999998
1.5,1.0,baseline,blocked,,1,2,641.880213849818,inf,-inf,641.880213849818,1441440.0,-1440798.1197861503,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9274,0.0,0.9274,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,0.0,0.0,0.0,1078.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.24,0.0,1078.24,0.0,0.0,0.0,1078.24,0.0,1078.24,46879.9,0.0,46879.9,0.9274,0.0,0.9274,0.9274,0.0,0.9274
1.5,1.0,baseline,blocked,,2,3,639.7056797801932,701.3959387149204,-61.690258934727126,639.7056797801932,701.3959387149204,-61.690258934727126,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9725,0.827,0.14550000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1028.23,62.05,0.0,540.0,0.0,607.1,0.0,607.1,1028.23,669.15,359.08000000000004,0.0,540.0,-540.0,1028.23,1209.15,-180.92000000000007,44705.45,89093.42,-44387.97,0.9725,1.4944,-0.5218999999999999,0.9725,0.827,0.14550000000000007
