s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
1.0,0.0,baseline,blocked,,0,1,640.1331464541801,701.0345938171254,-60.901447362945305,640.1331464541801,701.0345938171254,-60.901447362945305,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.06,116.59,0.0,480.0,0.0,483.79,0.0,483.79,1038.06,600.38,437.67999999999995,0.0,480.0,-480.0,1038.06,1080.38,-42.320000000000164,45133.11,86103.68,-40970.56999999999,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007
1.0,0.0,baseline,blocked,,1,2,640.1331464541801,701.0345938171254,-60.901447362945305,640.1331464541801,701.0345938171254,-60.901447362945305,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.06,116.59,0.0,480.0,0.0,483.79,0.0,483.79,1038.06,600.38,437.67999999999995,0.0,480.0,-480.0,1038.06,1080.38,-42.320000000000164,45133.11,86103.68,-40970.56999999999,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007
1.0,0.0,baseline,blocked,,2,3,640.1331464541801,701.0345938171254,-60.901447362945305,640.1331464541801,701.0345938171254,-60.901447362945305,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.06,116.59,0.0,480.0,0.0,483.79,0.0,483.79,1038.06,600.38,437.67999999999995,0.0,480.0,-480.0,1038.06,1080.38,-42.320000000000164,45133.11,86103.68,-40970.56999999999,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007
1.0,0.0,baseline,blocked,,3,4,640.1331464541801,701.0345938171254,-60.901447362945305,640.1331464541801,701.0345938171254,-60.901447362945305,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.06,116.59,0.0,480.0,0.0,483.79,0.0,483.79,1038.06,600.38,437.67999999999995,0.0,480.0,-480.0,1038.06,1080.38,-42.320000000000164,45133.11,86103.68,-40970.56999999999,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007
1.0,0.0,baseline,blocked,,4,5,640.1331464541801,701.0345938171254,-60.901447362945305,640.1331464541801,701.0345938171254,-60.901447362945305,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.06,116.59,0.0,480.0,0.0,483.79,0.0,483.79,1038.06,600.38,437.67999999999995,0.0,480.0,-480.0,1038.06,1080.38,-42.320000000000164,45133.11,86103.68,-40970.56999999999,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007
1.0,1.0,baseline,blocked,,0,1,inf,inf,,1441440.0,1441440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,baseline,blocked,,1,2,inf,inf,,1441440.0,1441440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,baseline,blocked,,2,3,640.593716965389,706.3940812677831,-65.80036430239409,640.593716965389,706.3940812677831,-65.80036430239409,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9536,0.8082,0.14539999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1048.65,150.3,0.0,480.0,0.0,607.06,0.0,607.06,1048.65,757.37,291.2800000000001,0.0,480.0,-480.0,1048.65,1237.37,-188.7199999999998,45593.68,92929.0,-47335.32,0.9536,1.3204,-0.3668,0.9536,0.8082,0.14539999999999997
1.0,1.0,baseline,blocked,,3,4,641.8988409148528,701.0345938171254,-59.13575290227254,641.8988409148528,701.0345938171254,-59.13575290227254,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9271,0.9256,0.0015000000000000568,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1078.67,116.59,0.0,480.0,0.0,483.79,0.0,483.79,1078.67,600.39,478.2800000000001,0.0,480.0,-480.0,1078.67,1080.39,-1.7200000000000273,46898.8,86103.86,-39205.06,0.9271,1.6656,-0.7384999999999999,0.9271,0.9256,0.0015000000000000568
1.0,1.0,baseline,blocked,,4,5,640.1331464541801,705.9335107565742,-65.80036430239409,640.1331464541801,705.9335107565742,-65.80036430239409,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.8008,0.1625000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.06,172.31,0.0,480.0,0.0,596.47,0.0,596.47,1038.06,768.78,269.28,0.0,480.0,-480.0,1038.06,1248.78,-210.72000000000003,45133.11,93425.32,-48292.21000000001,0.9633,1.3008,-0.3374999999999999,0.9633,0.8008,0.1625000000000001
