s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
1.0,0.0,baseline,blocked,,0,1,634.3575713164684,701.0345938171254,-66.67702250065702,634.3575713164684,701.0345938171254,-66.67702250065702,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.22,178.65,0.0,480.0,0.0,483.79,0.0,483.79,905.22,662.44,242.77999999999997,0.0,480.0,-480.0,905.22,1142.44,-237.22000000000003,39357.53,88801.81,-49444.28,1.1047,1.5096,-0.40490000000000004,1.1047,0.8753,0.22940000000000005
1.0,0.0,baseline,blocked,,1,2,634.3575713164684,701.0345938171254,-66.67702250065702,634.3575713164684,701.0345938171254,-66.67702250065702,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.22,178.65,0.0,480.0,0.0,483.79,0.0,483.79,905.22,662.44,242.77999999999997,0.0,480.0,-480.0,905.22,1142.44,-237.22000000000003,39357.53,88801.81,-49444.28,1.1047,1.5096,-0.40490000000000004,1.1047,0.8753,0.22940000000000005
1.0,0.0,baseline,blocked,,2,3,634.3575713164684,701.0345938171254,-66.67702250065702,634.3575713164684,701.0345938171254,-66.67702250065702,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.22,178.65,0.0,480.0,0.0,483.79,0.0,483.79,905.22,662.44,242.77999999999997,0.0,480.0,-480.0,905.22,1142.44,-237.22000000000003,39357.53,88801.81,-49444.28,1.1047,1.5096,-0.40490000000000004,1.1047,0.8753,0.22940000000000005
1.0,0.0,baseline,blocked,,3,4,634.3575713164684,701.0345938171254,-66.67702250065702,634.3575713164684,701.0345938171254,-66.67702250065702,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.22,178.65,0.0,480.0,0.0,483.79,0.0,483.79,905.22,662.44,242.77999999999997,0.0,480.0,-480.0,905.22,1142.44,-237.22000000000003,39357.53,88801.81,-49444.28,1.1047,1.5096,-0.40490000000000004,1.1047,0.8753,0.22940000000000005
1.0,0.0,baseline,blocked,,4,5,634.3575713164684,701.0345938171254,-66.67702250065702,634.3575713164684,701.0345938171254,-66.67702250065702,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.22,178.65,0.0,480.0,0.0,483.79,0.0,483.79,905.22,662.44,242.77999999999997,0.0,480.0,-480.0,905.22,1142.44,-237.22000000000003,39357.53,88801.81,-49444.28,1.1047,1.5096,-0.40490000000000004,1.1047,0.8753,0.22940000000000005
1.0,1.0,baseline,blocked,,0,1,636.3966267131833,inf,-inf,636.3966267131833,1441440.0,-1440803.6033732868,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0503,0.0,1.0503,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,23.0,0.0,8.0,952.12,214.91,0.0,480.0,0.0,0.0,0.0,0.0,952.12,214.91,737.21,0.0,480.0,-480.0,952.12,694.91,257.21000000000004,41396.58,69343.84,-27947.259999999995,1.0503,0.0,1.0503,1.0503,0.0,1.0503
1.0,1.0,baseline,blocked,,1,2,636.649666520439,inf,-inf,636.649666520439,1441440.0,-1440803.3503334795,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0439,0.0,1.0439,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,23.0,0.0,8.0,957.94,178.65,0.0,480.0,0.0,0.0,0.0,0.0,957.94,178.65,779.2900000000001,0.0,480.0,-480.0,957.94,658.65,299.2900000000001,41649.62,67767.25,-26117.629999999997,1.0439,0.0,1.0439,1.0439,0.0,1.0439
1.0,1.0,baseline,blocked,,2,3,637.7583998941587,705.9581041984072,-68.19970430424848,637.7583998941587,705.9581041984072,-68.19970430424848,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0168,0.7964,0.22039999999999993,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,983.44,178.65,0.0,480.0,0.0,597.04,0.0,597.04,983.44,775.68,207.7600000000001,0.0,480.0,-480.0,983.44,1255.68,-272.24,42758.34,93725.31,-50966.97,1.0168,1.2892,-0.2724,1.0168,0.7964,0.22039999999999993
1.0,1.0,baseline,blocked,,3,4,638.0453938253022,707.3458545155497,-69.30046069024752,638.0453938253022,707.3458545155497,-69.30046069024752,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0101,0.7766,0.23350000000000004,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,990.04,178.65,0.0,480.0,0.0,628.95,0.0,628.95,990.04,807.6,182.43999999999994,0.0,480.0,-480.0,990.04,1287.6,-297.55999999999995,43045.35,95113.06,-52067.71,1.0101,1.2382,-0.22809999999999997,1.0101,0.7766,0.23350000000000004
1.0,1.0,baseline,blocked,,4,5,638.6724917395409,701.0345938171254,-62.362102077584495,638.6724917395409,701.0345938171254,-62.362102077584495,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9956,0.8753,0.12030000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1004.47,178.65,0.0,480.0,0.0,483.79,0.0,483.79,1004.47,662.44,342.03,0.0,480.0,-480.0,1004.47,1142.44,-137.97000000000003,43672.44,88801.81,-45129.369999999995,0.9956,1.5096,-0.514,0.9956,0.8753,0.12030000000000007
