s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute,bus_arrival_q50_min,multi_arrival_q50_min,delta_arrival_q50_min,bus_arrival_q90_min,multi_arrival_q90_min,delta_arrival_q90_min,bus_arrival_q95_min,multi_arrival_q95_min,delta_arrival_q95_min,bus_prob_completion_within_window,multi_prob_completion_within_window,delta_prob_completion_within_window
1.2,0.0,baseline,blocked,,0,1,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,1,2,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,2,3,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,3,4,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,4,5,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,5,6,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,6,7,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,7,8,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,8,9,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
1.2,0.0,baseline,blocked,,9,10,637.5242037255962,696.0349748954934,-58.510771169897225,637.5242037255962,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.8,0.0,483.8,978.05,514.99,463.05999999999995,0.0,540.0,-540.0,978.05,1054.99,-76.94000000000005,42524.12,82391.01,-39866.88999999999,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001,582.5242037255962,641.0349489585966,-58.51074523300042,623.0242037255963,681.5349748954935,-58.510771169897225,632.5242037255962,691.0349748954934,-58.510771169897225,1.0,1.0,0.0
