s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute,bus_arrival_q50_min,multi_arrival_q50_min,delta_arrival_q50_min,bus_arrival_q90_min,multi_arrival_q90_min,delta_arrival_q90_min,bus_arrival_q95_min,multi_arrival_q95_min,delta_arrival_q95_min,bus_prob_completion_within_window,multi_prob_completion_within_window,delta_prob_completion_within_window,origin
1.2,0.0,baseline,blocked,,0,1,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,1,2,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,2,3,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,3,4,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,4,5,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,5,6,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,6,7,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,7,8,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,8,9,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,9,10,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,10,11,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,11,12,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,12,13,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,13,14,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,14,15,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,15,16,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,16,17,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
1.2,0.0,baseline,blocked,,17,18,638.8720360570549,696.0349748954934,-57.16293883843855,638.8720360570549,696.0349748954934,-57.16293883843855,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.991,0.9209,0.07009999999999994,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,1009.05,62.04,0.0,540.0,0.0,483.8,0.0,483.8,1009.05,545.85,463.19999999999993,0.0,540.0,-540.0,1009.05,1085.85,-76.79999999999995,43871.95,83732.47,-39860.520000000004,0.991,1.832,-0.8410000000000001,0.991,0.9209,0.07009999999999994,583.8720360570549,641.0349489585966,-57.162912901541745,624.372036057055,681.5349748954935,-57.16293883843855,633.8720360570549,691.0349748954934,-57.16293883843855,1.0,1.0,0.0,B
