s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute,bus_arrival_q50_min,multi_arrival_q50_min,delta_arrival_q50_min,bus_arrival_q90_min,multi_arrival_q90_min,delta_arrival_q90_min,bus_arrival_q95_min,multi_arrival_q95_min,delta_arrival_q95_min,bus_prob_completion_within_window,multi_prob_completion_within_window,delta_prob_completion_within_window,origin
1.2,0.0,baseline,blocked,,0,1,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,1,2,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,2,3,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,3,4,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,4,5,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,5,6,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,6,7,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,7,8,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,8,9,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
1.2,0.0,baseline,blocked,,9,10,640.1335459143236,701.0349748954934,-60.90142898116983,640.1335459143236,701.0349748954934,-60.90142898116983,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9633,0.9256,0.03770000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,1038.07,116.59,0.0,480.0,0.0,483.8,0.0,483.8,1038.07,600.39,437.67999999999995,0.0,480.0,-480.0,1038.07,1080.39,-42.320000000000164,45133.47,86104.06,-40970.59,0.9633,1.6656,-0.7022999999999999,0.9633,0.9256,0.03770000000000007,585.1335459143236,646.0349748954934,-60.90142898116983,625.6335459143237,686.5349748954935,-60.90142898116983,635.1335459143236,696.0349748954934,-60.90142898116983,1.0,1.0,0.0,C
