bus_fleet_size,bus_dispatch_interval_min,p_fail_scale,rep,seed,s,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute,bus_arrival_q50_min,multi_arrival_q50_min,delta_arrival_q50_min,bus_arrival_q90_min,multi_arrival_q90_min,delta_arrival_q90_min,bus_arrival_q95_min,multi_arrival_q95_min,delta_arrival_q95_min,bus_prob_completion_within_window,multi_prob_completion_within_window,delta_prob_completion_within_window
15,3.0,0.5,0,1,1.2,597.8869932008124,696.0349748954934,-98.147981694681,597.8869932008124,696.0349748954934,-98.147981694681,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9703,0.9479,0.022400000000000087,0.0,0.0,0.0,0.0,1000.0,1000.0,24.0,23.0,0.0,9.0,1030.64,31.19,0.0,540.0,0.0,483.8,0.0,483.8,1030.64,514.99,515.6500000000001,0.0,540.0,-540.0,1030.64,1054.99,-24.34999999999991,42943.41,82391.01,-39447.59999999999,0.9703,1.9418,-0.9714999999999999,0.9703,0.9479,0.022400000000000087,561.9434197920257,641.0349489585966,-79.09152916657092,588.8868910533511,681.5349748954935,-92.64808384214246,594.8869581986547,691.0349748954934,-96.14801669683868,1.0,1.0,0.0
15,3.0,0.5,1,2,1.2,597.7512847774318,696.0349748954934,-98.2836901180616,597.7512847774318,696.0349748954934,-98.2836901180616,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0141,0.9479,0.06620000000000004,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,986.14,31.19,0.0,540.0,0.0,483.8,0.0,483.8,986.14,514.99,471.15,0.0,540.0,-540.0,986.14,1054.99,-68.85000000000002,42875.56,82391.01,-39515.45,1.0141,1.9418,-0.9277,1.0141,0.9479,0.06620000000000004,561.8755607761644,641.0349489585966,-79.15938818243217,589.051205006943,681.5349748954935,-92.48376988855057,594.7512565205773,691.0349748954934,-96.28371837491613,1.0,1.0,0.0
15,3.0,0.5,2,3,1.2,597.0485906195004,700.9585883729338,-103.90999775343346,597.0485906195004,700.9585883729338,-103.90999775343346,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9798,0.856,0.12380000000000002,0.0,0.0,0.0,0.0,1000.0,1000.0,24.0,23.0,0.0,9.0,1020.58,31.19,0.0,540.0,0.0,597.05,0.0,597.05,1020.58,628.24,392.34000000000003,0.0,540.0,-540.0,1020.58,1168.24,-147.65999999999997,42524.23,87314.6,-44790.37,0.9798,1.5918,-0.6120000000000001,0.9798,0.856,0.12380000000000002,561.524234577091,645.9585554191221,-84.43432084203118,588.0485098511405,686.458588372934,-98.41007852179348,594.0485629431697,695.9585883729338,-101.91002542976412,1.0,1.0,0.0
15,3.0,0.5,3,4,1.2,inf,inf,,1441440.0,1441440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0
15,3.0,0.5,4,5,1.2,597.969787958216,696.0349748954934,-98.06518693727742,597.969787958216,696.0349748954934,-98.06518693727742,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9693,0.9479,0.021400000000000086,0.0,0.0,0.0,0.0,1000.0,1000.0,24.0,23.0,0.0,9.0,1031.64,31.19,0.0,540.0,0.0,483.8,0.0,483.8,1031.64,514.99,516.6500000000001,0.0,540.0,-540.0,1031.64,1054.99,-23.34999999999991,42984.82,82391.01,-39406.189999999995,0.9693,1.9418,-0.9724999999999999,0.9693,0.9479,0.021400000000000086,561.9848300373077,641.0349489585966,-79.05011892128891,588.9697029220193,681.5349748954935,-92.56527197347418,594.9697588194556,691.0349748954934,-96.06521607603781,1.0,1.0,0.0
15,3.0,0.5,5,6,1.2,inf,inf,,1441440.0,1441440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,23.0,0.0,9.0,0.0,31.19,0.0,540.0,0.0,0.0,0.0,0.0,0.0,31.19,-31.19,0.0,540.0,-540.0,0.0,571.19,-571.19,0.0,61356.11,-61356.11,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0
15,3.0,0.5,6,7,1.2,597.0485906195004,700.2586599581538,-103.2100693386534,597.0485906195004,700.2586599581538,-103.2100693386534,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9798,0.868,0.11180000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,24.0,23.0,0.0,9.0,1020.58,31.19,0.0,540.0,0.0,580.95,0.0,580.95,1020.58,612.14,408.44000000000005,0.0,540.0,-540.0,1020.58,1152.14,-131.56000000000006,42524.23,86614.68,-44090.44999999999,0.9798,1.6336,-0.6537999999999999,0.9798,0.868,0.11180000000000001,561.524234577091,645.258627987424,-83.73439341033304,588.0485098511405,685.7586599581539,-97.71015010701342,594.0485629431697,695.2586599581538,-101.21009701498406,1.0,1.0,0.0
15,3.0,0.5,7,8,1.2,inf,inf,,1441440.0,1441440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,23.0,0.0,9.0,0.0,31.19,0.0,540.0,0.0,0.0,0.0,0.0,0.0,31.19,-31.19,0.0,540.0,-540.0,0.0,571.19,-571.19,0.0,61356.11,-61356.11,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0
15,3.0,0.5,8,9,1.2,597.0485906195004,696.0349748954934,-98.98638427599303,597.0485906195004,696.0349748954934,-98.98638427599303,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9798,0.9479,0.03190000000000004,0.0,0.0,0.0,0.0,1000.0,1000.0,24.0,23.0,0.0,9.0,1020.58,31.19,0.0,540.0,0.0,483.8,0.0,483.8,1020.58,514.99,505.59000000000003,0.0,540.0,-540.0,1020.58,1054.99,-34.40999999999997,42524.23,82391.01,-39866.77999999999,0.9798,1.9418,-0.962,0.9798,0.9479,0.03190000000000004,561.524234577091,641.0349489585966,-79.51071438150564,588.0485098511405,681.5349748954935,-93.48646504435305,594.0485629431697,691.0349748954934,-96.98641195232369,1.0,1.0,0.0
15,3.0,0.5,9,10,1.2,597.0485906195004,696.0349748954934,-98.98638427599303,597.0485906195004,696.0349748954934,-98.98638427599303,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9798,0.9479,0.03190000000000004,0.0,0.0,0.0,0.0,1000.0,1000.0,24.0,23.0,0.0,9.0,1020.58,31.19,0.0,540.0,0.0,483.8,0.0,483.8,1020.58,514.99,505.59000000000003,0.0,540.0,-540.0,1020.58,1054.99,-34.40999999999997,42524.23,82391.01,-39866.77999999999,0.9798,1.9418,-0.962,0.9798,0.9479,0.03190000000000004,561.524234577091,641.0349489585966,-79.51071438150564,588.0485098511405,681.5349748954935,-93.48646504435305,594.0485629431697,691.0349748954934,-96.98641195232369,1.0,1.0,0.0
