s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
1.0,0.0,baseline,blocked,,0,1,637.5237624197466,696.0345938171254,-58.51083139737875,637.5237624197466,696.0345938171254,-58.51083139737875,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.05,514.98,463.06999999999994,0.0,540.0,-540.0,978.05,1054.98,-76.93000000000006,42523.72,82390.64,-39866.92,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001
1.0,0.0,baseline,blocked,,1,2,637.5237624197466,696.0345938171254,-58.51083139737875,637.5237624197466,696.0345938171254,-58.51083139737875,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.05,514.98,463.06999999999994,0.0,540.0,-540.0,978.05,1054.98,-76.93000000000006,42523.72,82390.64,-39866.92,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001
1.0,0.0,baseline,blocked,,2,3,637.5237624197466,696.0345938171254,-58.51083139737875,637.5237624197466,696.0345938171254,-58.51083139737875,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.05,514.98,463.06999999999994,0.0,540.0,-540.0,978.05,1054.98,-76.93000000000006,42523.72,82390.64,-39866.92,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001
1.0,0.1,baseline,blocked,,0,1,637.5237624197466,696.0345938171254,-58.51083139737875,637.5237624197466,696.0345938171254,-58.51083139737875,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.9479,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.05,514.98,463.06999999999994,0.0,540.0,-540.0,978.05,1054.98,-76.93000000000006,42523.72,82390.64,-39866.92,1.0224,1.9418,-0.9194,1.0224,0.9479,0.07450000000000001
1.0,0.1,baseline,blocked,,1,2,637.8750975227287,696.0345938171254,-58.15949629439672,637.8750975227287,696.0345938171254,-58.15949629439672,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0141,0.9479,0.06620000000000004,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,986.13,31.19,0.0,540.0,0.0,483.79,0.0,483.79,986.13,514.98,471.15,0.0,540.0,-540.0,986.13,1054.98,-68.85000000000002,42875.06,82390.64,-39515.58,1.0141,1.9418,-0.9277,1.0141,0.9479,0.06620000000000004
1.0,0.1,baseline,blocked,,2,3,637.5237624197466,700.9581041984072,-63.43434177866061,637.5237624197466,700.9581041984072,-63.43434177866061,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0224,0.856,0.1664,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.05,31.19,0.0,540.0,0.0,597.04,0.0,597.04,978.05,628.23,349.81999999999994,0.0,540.0,-540.0,978.05,1168.23,-190.18000000000006,42523.72,87314.14,-44790.42,1.0224,1.5918,-0.5694000000000001,1.0224,0.856,0.1664
2.0,0.0,baseline,blocked,,0,1,637.5299282056418,696.0398413597513,-58.50991315410954,637.5299282056418,696.0398413597513,-58.50991315410954,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0223,0.9478,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.17,31.2,0.0,540.0,0.0,483.9,0.0,483.9,978.17,515.1,463.06999999999994,0.0,540.0,-540.0,978.17,1055.1,-76.92999999999995,42529.3,82395.7,-39866.399999999994,1.0223,1.9414,-0.9191,1.0223,0.9478,0.07450000000000001
2.0,0.0,baseline,blocked,,1,2,637.5299282056418,696.0398413597513,-58.50991315410954,637.5299282056418,696.0398413597513,-58.50991315410954,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0223,0.9478,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.17,31.2,0.0,540.0,0.0,483.9,0.0,483.9,978.17,515.1,463.06999999999994,0.0,540.0,-540.0,978.17,1055.1,-76.92999999999995,42529.3,82395.7,-39866.399999999994,1.0223,1.9414,-0.9191,1.0223,0.9478,0.07450000000000001
2.0,0.0,baseline,blocked,,2,3,637.5299282056418,696.0398413597513,-58.50991315410954,637.5299282056418,696.0398413597513,-58.50991315410954,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0223,0.9478,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.17,31.2,0.0,540.0,0.0,483.9,0.0,483.9,978.17,515.1,463.06999999999994,0.0,540.0,-540.0,978.17,1055.1,-76.92999999999995,42529.3,82395.7,-39866.399999999994,1.0223,1.9414,-0.9191,1.0223,0.9478,0.07450000000000001
2.0,0.1,baseline,blocked,,0,1,637.5299282056418,696.0398413597513,-58.50991315410954,637.5299282056418,696.0398413597513,-58.50991315410954,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0223,0.9478,0.07450000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.17,31.2,0.0,540.0,0.0,483.9,0.0,483.9,978.17,515.1,463.06999999999994,0.0,540.0,-540.0,978.17,1055.1,-76.92999999999995,42529.3,82395.7,-39866.399999999994,1.0223,1.9414,-0.9191,1.0223,0.9478,0.07450000000000001
