metric,policy_id,scenario_id,rank,parameter_id,salib_name,method,mu,mu_star,sigma,mu_star_conf,index_status,index_issue_reason,sample_count,num_trajectories,num_levels,claim_scope
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,1,turnaround_time,turnaround_time,salib_morris,-0.001023,0.001023,0.007224,0.001563,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,2,last_mile_fleet_size,last_mile_fleet_size,salib_morris,0.000937,0.000937,0.009375,0.001829,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,3,dispatch_interval,dispatch_interval,salib_morris,0.000555,0.000555,0.00555,0.001067,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,4,passenger_arrival_variability,passenger_arrival_variability,salib_morris,0.000469,0.000469,0.004695,0.000887,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,5,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,6,direct_bus_fleet_size,direct_bus_fleet_size,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,7,feeder_fleet_size,feeder_fleet_size,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,8,last_mile_access_disruption_probability,last_mile_access_disruption_probability,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,9,passenger_volume,passenger_volume,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,10,rail_capacity,rail_capacity,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,11,rail_headway,rail_headway,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,12,road_background_traffic_multiplier,road_background_traffic_multiplier,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,13,transfer_fixed_delay,transfer_fixed_delay,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
completion_rate,baseline_multimodal,songpa_last_mile_station_to_destination,14,transfer_per_passenger_delay,transfer_per_passenger_delay,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,1,last_mile_fleet_size,last_mile_fleet_size,salib_morris,-0.03,0.03,0.3,0.058534,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,2,turnaround_time,turnaround_time,salib_morris,0.03,0.03,0.211058,0.045253,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,3,dispatch_interval,dispatch_interval,salib_morris,-0.015,0.015,0.15,0.028846,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,4,passenger_arrival_variability,passenger_arrival_variability,salib_morris,-0.015,0.015,0.15,0.028335,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,5,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,6,direct_bus_fleet_size,direct_bus_fleet_size,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,7,feeder_fleet_size,feeder_fleet_size,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,8,last_mile_access_disruption_probability,last_mile_access_disruption_probability,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,9,passenger_volume,passenger_volume,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,10,rail_capacity,rail_capacity,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,11,rail_headway,rail_headway,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,12,road_background_traffic_multiplier,road_background_traffic_multiplier,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,13,transfer_fixed_delay,transfer_fixed_delay,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
censored_count,baseline_multimodal,songpa_last_mile_station_to_destination,14,transfer_per_passenger_delay,transfer_per_passenger_delay,salib_morris,0.0,0.0,0.0,0.0,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
penalized_makespan,baseline_multimodal,songpa_last_mile_station_to_destination,1,last_mile_fleet_size,last_mile_fleet_size,salib_morris,-55.7436,55.7436,100.70773,19.506437,available,,1500,100,4,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.
