s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
0.8,0.0,baseline,blocked,,-58.510864518005064,0.0,10,-58.510864518005064,-58.510864518005064,10,0
0.8,0.25,baseline,blocked,,-53.972244610010875,19.097561334298117,10,-65.80903575795556,-42.13545346206619,10,0
0.8,0.5,baseline,blocked,,-41.74921762508234,28.87449005654245,10,-59.64581197657574,-23.852623273588932,10,0
0.8,1.0,baseline,blocked,,-144110.00817287157,455610.94050960673,10,-426500.59475763096,138280.57841188784,10,0
0.8,1.5,baseline,blocked,,-144099.24445216093,455614.7893346712,10,-426492.2165634101,138293.72765908824,10,0
0.8,2.0,baseline,blocked,,-288166.55311889655,607490.8377690458,10,-664693.2753055658,88360.16906777269,10,0
0.8,3.0,baseline,blocked,,-144086.67347549583,455617.6226634941,10,-426481.40170214337,138308.0547511517,10,0
1.0,0.0,baseline,blocked,,-58.51083139737875,0.0,10,-58.51083139737875,-58.51083139737875,10,0
1.0,0.25,baseline,blocked,,-53.97222111356213,19.09755654273492,10,-65.80900929166518,-42.13543293545908,10,0
1.0,0.5,baseline,blocked,,-41.7491960722655,28.8744771551737,10,-59.64578242740771,-23.85260971712329,10,0
1.0,1.0,baseline,blocked,,-144110.00812126131,455610.94041594747,10,-426500.5946479701,138280.57840544748,10,0
1.0,1.5,baseline,blocked,,-144099.24441133402,455614.7892549975,10,-426492.21647320094,138293.72765053288,10,0
1.0,2.0,baseline,blocked,,-288166.5530483149,607490.8376236374,10,-664693.275144859,88360.16904822923,10,0
1.0,3.0,baseline,blocked,,-144086.6734387157,455617.6225713451,10,-426481.4016082487,138308.05473081733,10,0
1.2,0.0,baseline,blocked,,-58.510771169897225,0.0,10,-58.510771169897225,-58.510771169897225,10,0
1.2,0.25,baseline,blocked,,-53.97217838695646,19.09754782978474,10,-65.80896116471703,-42.13539560919588,10,0
1.2,0.5,baseline,blocked,,-41.74915688001513,28.874453695063988,10,-59.64572869443069,-23.852585065599566,10,0
1.2,1.0,baseline,blocked,,-144110.0080274117,455610.940245635,10,-426500.59444855974,138280.57839373633,10,0
1.2,1.5,baseline,blocked,,-144099.2443370932,455614.78911011637,10,-426492.21630916186,138293.72763497545,10,0
1.2,2.0,baseline,blocked,,-288166.5529199671,607490.8373592226,10,-664693.2748526252,88360.16901269101,10,0
1.2,3.0,baseline,blocked,,-144086.6733718337,455617.6224037789,10,-426481.40143750806,138308.05469384068,10,0
1.5,0.0,baseline,blocked,,-58.510588776762575,0.0,10,-58.510588776762575,-58.510588776762575,10,0
1.5,0.25,baseline,blocked,,-53.97205060420589,19.097521307947154,10,-65.80881694356123,-42.135284264850554,10,0
1.5,0.5,baseline,blocked,,-41.74904040889779,28.874383705455962,10,-59.64556884330487,-23.852511974490714,10,0
1.5,1.0,baseline,blocked,,-144110.0077617188,455610.9397730369,10,-426500.5938899475,138280.5783665099,10,0
1.5,1.5,baseline,blocked,,-144099.24412746303,455614.78870780196,10,-426492.2158501746,138293.72759524855,10,0
1.5,2.0,baseline,blocked,,-288166.55256264715,607490.8366230926,10,-664693.2740390472,88360.16891375289,10,0
1.5,3.0,baseline,blocked,,-144086.67318563425,455617.62193727505,10,-426481.40096216655,138308.05459089804,10,0
2.0,0.0,baseline,blocked,,-58.50991315410954,0.0,10,-58.50991315410954,-58.50991315410954,10,0
2.0,0.25,baseline,blocked,,-53.97157809257368,19.097423010682707,10,-65.80828350665331,-42.134872678494055,10,0
2.0,0.5,baseline,blocked,,-41.748610108564904,28.874124998116514,10,-59.64497819450173,-23.852242022628076,10,0
2.0,1.0,baseline,blocked,,-144110.0067869957,455610.93804448575,10,-426500.5918438573,138280.57826986586,10,0
2.0,1.5,baseline,blocked,,-144099.24335871224,455614.787236158,10,-426492.21416928945,138293.72745186498,10,0
2.0,2.0,baseline,blocked,,-288166.5512550802,607490.8339293184,10,-664693.2710618617,88360.16855170124,10,0
2.0,3.0,baseline,blocked,,-144086.6725042612,455617.6202301631,10,-426481.39922271454,138308.05421419215,10,0
