s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
0.8,0.0,baseline,blocked,,0,1,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,1,2,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,2,3,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,3,4,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,4,5,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,5,6,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,6,7,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,7,8,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,8,9,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
0.8,0.0,baseline,blocked,,9,10,637.5235197344142,696.0343842524193,-58.510864518005064,637.5235197344142,696.0343842524193,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0225,0.9479,0.0746,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,9.0,978.04,31.19,0.0,540.0,0.0,483.79,0.0,483.79,978.04,514.98,463.05999999999995,0.0,540.0,-540.0,978.04,1054.98,-76.94000000000005,42523.5,82390.44,-39866.94,1.0225,1.9418,-0.9193,1.0225,0.9479,0.0746
