network_variant,failure_mode,capacity_reduction_factor,s,p_fail_scale,bus_makespan_mean,multi_makespan_mean,delta_mean,bus_sr_mean,multi_sr_mean,bus_leftover_mean,multi_leftover_mean,bus_penalized_makespan_mean,multi_penalized_makespan_mean,delta_penalized_makespan_mean,bus_success_count_mean,multi_success_count_mean,bus_completion_rate_mean,multi_completion_rate_mean,delta_completion_rate_mean,bus_censored_count_mean,multi_censored_count_mean,bus_resource_eff_mean,multi_resource_eff_mean,delta_resource_eff_mean,bus_total_personnel_mean,multi_total_personnel_mean,bus_bus_trips_mean,multi_bus_trips_mean,bus_train_trips_mean,multi_train_trips_mean,bus_bus_minutes_mean,multi_bus_minutes_mean,bus_train_minutes_mean,multi_train_minutes_mean,bus_lastmile_minutes_mean,multi_lastmile_minutes_mean,bus_lastmile_vehicle_minutes_mean,multi_lastmile_vehicle_minutes_mean,bus_road_vehicle_service_minutes_mean,multi_road_vehicle_service_minutes_mean,bus_train_service_minutes_mean,multi_train_service_minutes_mean,bus_total_service_minutes_mean,multi_total_service_minutes_mean,bus_passenger_travel_minutes_mean,multi_passenger_travel_minutes_mean,bus_passengers_per_vehicle_minute_mean,multi_passengers_per_vehicle_minute_mean,bus_passengers_per_total_service_minute_mean,multi_passengers_per_total_service_minute_mean,delta_std,delta_penalized_makespan_std,delta_completion_rate_std,delta_resource_eff_std,delta_road_vehicle_service_minutes_std,delta_train_service_minutes_std,delta_total_service_minutes_std,delta_passenger_travel_minutes_std,delta_passengers_per_vehicle_minute_std,delta_passengers_per_total_service_minute_std
baseline,blocked,,0.8,0.0,637.5235197344143,696.0343842524192,-58.510864518005064,1.0,1.0,0.0,0.0,637.5235197344143,696.0343842524192,-58.510864518005064,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0225000000000002,0.9479000000000001,0.0746,1000.0,1000.0,23.0,23.0,0.0,9.0,978.0400000000002,31.190000000000005,0.0,540.0,0.0,483.7900000000001,0.0,483.7900000000001,978.0400000000002,514.9799999999999,0.0,540.0,978.0400000000002,1054.98,42523.5,82390.43999999999,1.0225000000000002,1.9418,1.0225000000000002,0.9479000000000001,0.0,0.0,0.0,0.0,1.198364490607514e-13,0.0,0.0,0.0,0.0,0.0
baseline,blocked,,0.8,0.25,637.6258758780536,697.5950365558435,-59.96916067778986,0.9,0.9,100.0,100.0,144717.86328829025,144771.8355329003,-53.972244610010875,900.0,900.0,0.9,0.9,0.0,100.0,100.0,0.9180399999999999,0.82678,0.09125999999999998,1000.0,1000.0,20.7,23.0,0.0,9.0,882.3549999999999,31.190000000000005,0.0,540.0,0.0,467.716,0.0,467.716,882.3549999999999,498.90599999999995,0.0,540.0,882.3549999999999,1038.906,38363.272000000004,81691.59,0.9180399999999999,1.64695,0.9180399999999999,0.82678,2.392212132545612,19.097561334298117,0.0,0.05322762858182245,154.64880733455396,0.0,154.64880733455396,6723.857804054984,0.30169542201807875,0.05322762858182245
baseline,blocked,,0.8,0.5,637.6993592657908,697.3410987301942,-59.64173946440334,0.7,0.7,300.0,300.0,432878.38955148606,432920.13876911113,-41.74921762508234,700.0,700.0,0.7,0.7,0.0,300.0,300.0,0.7128099999999999,0.64635,0.06646,1000.0,1000.0,16.1,20.7,0.0,8.1,687.4590000000001,28.071000000000005,0.0,486.0,0.0,359.691,0.0,359.691,687.4590000000001,387.762,0.0,486.0,687.4590000000001,873.762,29889.539,70859.222,0.7128099999999999,1.2934500000000002,0.7128099999999999,0.64635,2.3677592401118344,28.87449005654245,0.0,0.05883504624513068,225.74465225854922,170.7629936490925,210.13568955161648,16810.60427172355,0.4224464047531815,0.05883504624513068
baseline,blocked,,0.8,1.0,638.229441453978,697.8916754878919,-59.721461345906164,0.6,0.5,400.0,500.0,576958.9376648723,721068.9458377439,-144110.00817287157,600.0,500.0,0.6,0.5,0.1,400.0,500.0,0.6035299999999999,0.45648,0.14705000000000001,1000.0,1000.0,13.8,20.7,0.0,8.1,596.566,28.071000000000005,0.0,486.0,0.0,263.254,0.0,263.254,596.566,291.325,0.0,486.0,596.566,777.325,25937.654000000002,66666.29400000001,0.6035299999999999,0.90389,0.6035299999999999,0.45648,2.934813889275093,455610.94050960673,0.31622776601683794,0.3053442037730171,329.5102661846989,170.7629936490925,317.97499197438646,19705.273435039893,0.6184259574830999,0.3053442037730171
baseline,blocked,,0.8,1.5,638.8955212085372,702.6755354811116,-63.59330735488387,0.4,0.3,600.0,700.0,865119.5582084835,1009218.8026606443,-144099.24445216093,400.0,300.0,0.4,0.3,0.1,600.0,700.0,0.39626,0.25590999999999997,0.14035000000000003,1000.0,1000.0,9.2,18.4,0.0,6.9,403.838,67.26,0.0,414.0,0.0,156.46099999999998,0.0,156.46099999999998,403.838,223.721,0.0,414.0,403.838,637.7209999999999,17558.201,57726.96499999999,0.39626,0.43394999999999995,0.39626,0.25590999999999997,2.8269551686611787,455614.7893346712,0.31622776601683794,0.31027108666813,320.6276095427702,219.90907211845536,336.949210813407,25010.032048185607,0.42821534419028,0.31027108666813
baseline,blocked,,0.8,2.0,640.1422163241942,705.9578379384963,-66.78026463597371,0.3,0.1,700.0,900.0,1009200.0426648974,1297366.5957837938,-288166.55311889655,300.0,100.0,0.3,0.1,0.2,700.0,900.0,0.28903,0.08131000000000001,0.20772,1000.0,1000.0,6.9,16.1,0.0,6.1,311.481,47.57600000000001,0.0,366.0,0.0,59.702999999999996,0.0,59.702999999999996,311.481,107.27900000000002,0.0,366.0,311.481,473.2790000000001,13542.657000000001,46664.281,0.28903,0.13335,0.28903,0.08131000000000001,,607490.8377690458,0.42163702135578396,0.39645154895228585,404.2399968335642,253.69272752682525,405.28607391158494,28173.910699582495,0.43415474916465235,0.39645154895228585
baseline,blocked,,0.8,3.0,642.1115414901025,710.9578379384963,-69.57601771057307,0.2,0.1,800.0,900.0,1153280.422308298,1297367.0957837938,-144086.67347549583,200.0,100.0,0.2,0.1,0.1,800.0,900.0,0.18462,0.0762,0.10842,1000.0,1000.0,4.6,16.1,0.0,6.1,216.71300000000002,55.81600000000001,0.0,366.0,0.0,59.702999999999996,0.0,59.702999999999996,216.71300000000002,115.51900000000003,0.0,366.0,216.71300000000002,481.51900000000006,9422.304,47022.541,0.18462,0.12014,0.18462,0.0762,,455617.6226634941,0.31622776601683794,0.2865762717943612,303.450318144869,253.69272752682525,364.53479337673963,28949.588874039513,0.3080470267129139,0.2865762717943612
baseline,blocked,,1.0,0.0,637.5237624197467,696.0345938171253,-58.51083139737875,1.0,1.0,0.0,0.0,637.5237624197467,696.0345938171253,-58.51083139737875,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0223999999999998,0.9479000000000001,0.07450000000000001,1000.0,1000.0,23.0,23.0,0.0,9.0,978.0499999999998,31.190000000000005,0.0,540.0,0.0,483.7900000000001,0.0,483.7900000000001,978.0499999999998,514.9799999999999,0.0,540.0,978.0499999999998,1054.98,42523.719999999994,82390.64,1.0223999999999998,1.9418,1.0223999999999998,0.9479000000000001,0.0,0.0,0.0,0.0,5.99182245303757e-14,0.0,0.0,0.0,1.1702778228589004e-16,0.0
baseline,blocked,,1.0,0.25,637.6261285499659,697.5952631205904,-59.96913457062458,0.9,0.9,100.0,100.0,144717.863515695,144771.83573680854,-53.97222111356213,900.0,900.0,0.9,0.9,0.0,100.0,100.0,0.91798,0.82678,0.09119999999999999,1000.0,1000.0,20.7,23.0,0.0,9.0,882.3629999999999,31.190000000000005,0.0,540.0,0.0,467.71899999999994,0.0,467.71899999999994,882.3629999999999,498.909,0.0,540.0,882.3629999999999,1038.909,38363.47699999999,81691.78400000001,0.91798,1.64694,0.91798,0.82678,2.3922427262901302,19.09755654273492,0.0,0.05321265513641153,154.6517253702654,0.0,154.65172537026544,6723.872927150526,0.3017175949644156,0.05321265513641153
baseline,blocked,,1.0,0.5,637.6996146841369,697.3413233588019,-59.641708674665,0.7,0.7,300.0,300.0,432878.389730279,432920.1389263511,-41.7491960722655,700.0,700.0,0.7,0.7,0.0,300.0,300.0,0.7127700000000001,0.64635,0.06642,1000.0,1000.0,16.1,20.7,0.0,8.1,687.4649999999999,28.071000000000005,0.0,486.0,0.0,359.693,0.0,359.693,687.4649999999999,387.764,0.0,486.0,687.4649999999999,873.7639999999999,29889.7,70859.37299999999,0.7127700000000001,1.2934400000000001,0.7127700000000001,0.64635,2.367794692368487,28.8744771551737,0.0,0.05879646247862196,225.7479604657469,170.7629936490925,210.13810138678906,16810.609730724656,0.422463923640561,0.05879646247862196
