sigma,policy,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
0.3,GRACE_W15_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.3,GRACE_W15_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.3,GRACE_W30_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.3,GRACE_W30_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.3,GRACE_W60_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.3,GRACE_W60_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.3,STRICT,baseline,blocked,,-144110.0080274117,455610.940245635,10,-426500.59444855974,138280.57839373633,10,0
0.5,GRACE_W15_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.5,GRACE_W15_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.5,GRACE_W30_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.5,GRACE_W30_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.5,GRACE_W60_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.5,GRACE_W60_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.5,STRICT,baseline,blocked,,-144110.0080274117,455610.940245635,10,-426500.59444855974,138280.57839373633,10,0
0.7,GRACE_W15_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.7,GRACE_W15_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.7,GRACE_W30_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.7,GRACE_W30_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.7,GRACE_W60_T0.8,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.7,GRACE_W60_T0.9,baseline,blocked,,-144110.5080274117,455612.5213844617,10,-426502.0744485577,138281.05839373427,10,0
0.7,STRICT,baseline,blocked,,-144110.0080274117,455610.940245635,10,-426500.59444855974,138280.57839373633,10,0
1.0,GRACE_W15_T0.8,baseline,blocked,,-144103.8694469183,455595.284406939,10,-426484.75227871025,138277.01338487363,10,0
1.0,GRACE_W15_T0.9,baseline,blocked,,-144103.8694469183,455595.284406939,10,-426484.75227871025,138277.01338487363,10,0
1.0,GRACE_W30_T0.8,baseline,blocked,,-144103.86945038673,455595.2844171107,10,-426484.7522884832,138277.01338770974,10,0
1.0,GRACE_W30_T0.9,baseline,blocked,,-144103.86945016007,455595.28441719036,10,-426484.7522883059,138277.01338798576,10,0
1.0,GRACE_W60_T0.8,baseline,blocked,,-144103.86945674533,455595.2844366917,10,-426484.7523069782,138277.01339348755,10,0
1.0,GRACE_W60_T0.9,baseline,blocked,,-144103.86945930542,455595.2844357924,10,-426484.7523089809,138277.01339037006,10,0
1.0,STRICT,baseline,blocked,,-144103.0080573689,455594.07475326845,10,-426483.14113804814,138277.1250233104,10,0
