region_id,graph_source,policy_id,scenario_id,scenario_family,scenario_type,disruption_mode,mode,run_count,mean_completion_rate,mean_censored_count,mean_penalized_makespan,mean_makespan,mean_road_vehicle_service_minutes,mean_train_service_minutes,mean_total_service_minutes,mean_passenger_travel_minutes,mean_passengers_per_total_service_minute,mean_first_arrival_time,mean_median_arrival_time,mean_p80_arrival_time,mean_p95_arrival_time,claim_scope
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_access_origin_to_destination,access_road,capacity_reduction,capacity_reduction,multimodal,5,1.0,0.0,331.18,331.18,419.18,319.2,738.38,4741.72,0.0329,212.48,269.78,290.39,314.98,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_access_origin_to_station,access_road,capacity_reduction,capacity_reduction,multimodal,5,1.0,0.0,328.41,328.41,418.32,319.2,737.52,4727.18,0.0329,211.34,267.94,288.08,312.47,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_critical_link_blockage,critical_link,blocked,blocked,multimodal,5,0.0,24.0,7680.0,inf,122.05,319.2,441.25,3121.41,0.0,inf,inf,inf,inf,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,multimodal,5,1.0,0.0,332.41,332.41,421.27,319.2,740.47,4753.51,0.0328,212.99,270.6,291.42,316.09,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_rail_station_access,rail_station_access,capacity_reduction,capacity_reduction,multimodal,5,1.0,0.0,328.41,328.41,413.94,319.2,733.14,4713.52,0.0331,211.34,267.94,288.08,312.47,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_random_blockage,random,blocked,blocked,multimodal,5,0.0,24.0,7680.0,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,multimodal,5,1.0,0.0,328.43,328.43,413.98,319.2,733.18,4713.72,0.0331,211.34,267.95,288.09,312.48,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,no_disruption,no_disruption,none,none,multimodal,5,1.0,0.0,328.41,328.41,413.93,319.2,733.13,4713.51,0.0331,211.34,267.94,288.08,312.47,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_access_origin_to_destination,access_road,capacity_reduction,capacity_reduction,bus_only,5,1.0,0.0,402.24,402.24,1022.8,0.0,1022.8,3229.98,0.0239,139.55,162.86,269.64,367.26,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_access_origin_to_station,access_road,capacity_reduction,capacity_reduction,bus_only,5,1.0,0.0,396.19,396.19,1006.44,0.0,1006.44,3178.22,0.0243,137.42,160.47,265.6,361.74,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_critical_link_blockage,critical_link,blocked,blocked,bus_only,5,0.0,24.0,7680.0,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,bus_only,5,1.0,0.0,399.4,399.4,1015.11,0.0,1015.11,3205.66,0.0241,138.55,161.73,267.74,364.67,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_rail_station_access,rail_station_access,capacity_reduction,capacity_reduction,bus_only,5,1.0,0.0,396.14,396.14,1006.28,0.0,1006.28,3177.74,0.0243,137.4,160.45,265.56,361.69,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_random_blockage,random,blocked,blocked,bus_only,5,0.0,24.0,7680.0,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,bus_only,5,1.0,0.0,396.16,396.16,1006.34,0.0,1006.34,3177.93,0.0243,137.41,160.45,265.58,361.71,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,no_disruption,no_disruption,none,none,bus_only,5,1.0,0.0,396.14,396.14,1006.28,0.0,1006.28,3177.74,0.0243,137.4,160.45,265.56,361.69,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,fleet_shortage_stress,goseong_access_origin_to_destination,access_road,capacity_reduction,capacity_reduction,multimodal,5,1.0,0.0,331.18,331.18,419.18,319.2,738.38,4741.72,0.0329,212.48,269.78,290.39,314.98,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,fleet_shortage_stress,goseong_access_origin_to_station,access_road,capacity_reduction,capacity_reduction,multimodal,5,1.0,0.0,328.41,328.41,418.32,319.2,737.52,4727.18,0.0329,211.34,267.94,288.08,312.47,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,fleet_shortage_stress,goseong_critical_link_blockage,critical_link,blocked,blocked,multimodal,5,0.0,24.0,7680.0,inf,122.05,319.2,441.25,3121.41,0.0,inf,inf,inf,inf,Pilot staged scenario-policy-seed output for quasi-real decision-support evaluation; not calibrated real-world results or an operational forecast.
