region_id,graph_source,policy_id,scenario_id,scenario_family,scenario_type,disruption_mode,seed,seed_stream_id,mode,completion_rate,censored_count,penalized_makespan,makespan,road_vehicle_service_minutes,train_service_minutes,total_service_minutes,passenger_travel_minutes,passengers_per_total_service_minute,first_arrival_time,median_arrival_time,p80_arrival_time,p95_arrival_time,selected_edge_count,selected_realworld_edge_ids,notes,claim_scope
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,no_disruption,no_disruption,none,none,1101,a685053cec6c,bus_only,1.0,0,287.81,287.81,794.43,0.0,794.43,3177.74,0.0302,137.4,147.41,277.81,282.81,0,,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,bus_only,1.0,0,423.22,423.22,1059.24,0.0,1059.24,3177.74,0.0227,137.4,147.41,284.81,398.65,0,,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,290.68,290.68,361.7,228.0,589.7,4713.51,0.0407,211.34,285.67,287.68,290.68,0,,policy=Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,315.68,315.68,393.82,342.0,735.82,4713.51,0.0326,211.34,241.34,285.68,311.18,0,,policy=Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,285.68,285.68,361.7,228.0,589.7,4713.52,0.0407,211.34,241.34,259.07,285.68,0,,policy=Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,285.68,285.68,393.82,342.0,735.82,4713.52,0.0326,211.34,241.34,246.34,279.78,0,,policy=Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,284.68,284.68,263.25,228.0,491.25,4713.51,0.0489,210.34,240.34,284.68,284.68,0,,policy=Space feeder departures and release last-mile vehicles on demand when rail batches arrive to reduce schedule bunching. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,314.68,314.68,345.64,342.0,687.64,4713.51,0.0349,210.34,240.34,284.68,284.68,0,,policy=Space feeder departures and release last-mile vehicles on demand when rail batches arrive to reduce schedule bunching. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1101,a685053cec6c,bus_only,1.0,0,287.83,287.83,794.48,0.0,794.48,3177.93,0.0302,137.41,147.41,277.83,282.83,8,osm:842103896;osm:548885775;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:615655601;osm:376994106,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1102,d7563b7efaa3,bus_only,1.0,0,423.24,423.24,1059.31,0.0,1059.31,3177.93,0.0227,137.41,147.41,284.83,398.68,8,osm:842103896;osm:548885775;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:615655601;osm:376994106,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
