region_id,graph_source,policy_id,scenario_id,scenario_family,scenario_type,disruption_mode,mode,run_count,mean_completion_rate,mean_censored_count,mean_penalized_makespan,mean_makespan,mean_road_vehicle_service_minutes,mean_train_service_minutes,mean_total_service_minutes,mean_passenger_travel_minutes,mean_passengers_per_total_service_minute,mean_first_arrival_time,mean_median_arrival_time,mean_p80_arrival_time,mean_p95_arrival_time,claim_scope
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_critical_link_blockage,critical_link,blocked,blocked,multimodal,2,0.0,24.0,7680.0,inf,112.41,285.0,397.41,3121.4,0.0,inf,inf,inf,inf,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,306.53,306.53,384.44,285.0,669.44,4753.52,0.0363,212.99,266.0,290.01,304.28,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,303.19,303.19,377.81,285.0,662.81,4713.72,0.0367,211.34,263.51,286.69,300.94,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,baseline_multimodal,no_disruption,no_disruption,none,none,multimodal,2,1.0,0.0,303.18,303.18,377.76,285.0,662.76,4713.51,0.0367,211.34,263.5,286.68,300.93,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_critical_link_blockage,critical_link,blocked,blocked,bus_only,2,0.0,24.0,7680.0,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,bus_only,2,1.0,0.0,358.44,358.44,934.97,0.0,934.97,3205.69,0.0262,138.55,148.58,283.62,343.53,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,bus_only,2,1.0,0.0,355.53,355.53,926.89,0.0,926.89,3177.93,0.0265,137.41,147.41,281.33,340.75,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,bus_only,no_disruption,no_disruption,none,none,bus_only,2,1.0,0.0,355.51,355.51,926.84,0.0,926.84,3177.74,0.0265,137.4,147.41,281.31,340.73,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,multimodal_lastmile_redundancy,goseong_critical_link_blockage,critical_link,blocked,blocked,multimodal,2,0.0,24.0,7680.0,inf,112.41,285.0,397.41,3121.4,0.0,inf,inf,inf,inf,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,multimodal_lastmile_redundancy,goseong_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,289.02,289.02,384.49,285.0,669.49,4753.8,0.0363,212.99,243.03,254.74,285.94,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,multimodal_lastmile_redundancy,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,285.69,285.69,377.81,285.0,662.81,4713.73,0.0367,211.34,241.34,252.71,282.74,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,none,multimodal,2,1.0,0.0,285.68,285.68,377.76,285.0,662.76,4713.52,0.0367,211.34,241.34,252.7,282.73,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,staggered_or_adaptive_dispatch,goseong_critical_link_blockage,critical_link,blocked,blocked,multimodal,2,0.0,24.0,7680.0,inf,72.26,285.0,357.26,3121.4,0.0,inf,inf,inf,inf,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,staggered_or_adaptive_dispatch,goseong_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,303.02,303.02,310.29,285.0,595.3,4753.61,0.0415,211.99,242.02,288.01,288.01,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,staggered_or_adaptive_dispatch,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,299.69,299.69,304.48,285.0,589.48,4713.71,0.0419,210.34,240.34,284.69,284.69,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,none,multimodal,2,1.0,0.0,299.68,299.68,304.44,285.0,589.44,4713.51,0.0419,210.34,240.34,284.68,284.68,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
