scenario_type,seed,background_volume,alpha,scale,makespan,completion_rate,bpr_delay_pct
bus_only,1101,0.0,0.15,1.0,281.35353079925505,1.0,3.4863256667832084e-10
bus_only,1101,0.0,0.36,1.0,281.3535308006288,1.0,8.36891910611734e-10
bus_only,1101,0.0,0.74,1.0,281.3535308031143,1.0,1.720312611270998e-09
bus_only,1101,100.0,0.15,1.0,281.3548941424492,1.0,0.0004845662221401541
bus_only,1101,100.0,0.36,1.0,281.3568028242942,1.0,0.0011629589331161661
bus_only,1101,100.0,0.74,1.0,281.3602566295382,1.0,0.002390526696053055
bus_only,1101,500.0,0.15,1.0,282.128935711234,1.0,0.2755980743372329
bus_only,1101,500.0,0.36,1.0,283.2145025893797,1.0,0.6614353784100336
bus_only,1101,500.0,0.74,1.0,285.1788617022129,1.0,1.3596171667315664
bus_only,1101,2000.0,0.15,1.0,476.32919358106716,1.0,69.29917041723117
bus_only,1101,2000.0,0.36,1.0,378.14756073848906,0.75,34.40299102185948
bus_only,1101,2000.0,0.74,1.0,inf,0.0,inf
bus_only,1101,5000.0,0.15,1.0,inf,0.0,inf
bus_only,1101,5000.0,0.36,1.0,inf,0.0,inf
bus_only,1101,5000.0,0.74,1.0,inf,0.0,inf
bus_only,1101,0.0,0.15,2.0,281.353530813973,1.0,5.579757554909516e-09
bus_only,1101,0.0,0.36,2.0,281.3535308359502,1.0,1.3390997897812805e-08
bus_only,1101,0.0,0.74,2.0,281.3535308757206,1.0,2.752637562216108e-08
bus_only,1101,100.0,0.15,2.0,281.3753443050763,1.0,0.0077530595547273505
bus_only,1101,100.0,0.36,2.0,281.4058832145992,1.0,0.01860734293133352
bus_only,1101,100.0,0.74,2.0,281.4611440984973,1.0,0.03824842713642461
bus_only,1101,500.0,0.15,2.0,293.7600094056437,1.0,4.409569189399928
bus_only,1101,500.0,0.36,2.0,311.12907945596095,1.0,10.582966054559792
bus_only,1101,500.0,0.74,2.0,342.55882526129693,1.0,21.753874667706217
bus_only,1101,2000.0,0.15,2.0,inf,0.0,inf
bus_only,1101,2000.0,0.36,2.0,inf,0.0,inf
bus_only,1101,2000.0,0.74,2.0,inf,0.0,inf
bus_only,1101,5000.0,0.15,2.0,inf,0.0,inf
bus_only,1101,5000.0,0.36,2.0,inf,0.0,inf
bus_only,1101,5000.0,0.74,2.0,inf,0.0,inf
