region_id,graph_source,policy_id,scenario_id,scenario_family,scenario_type,disruption_mode,seed,seed_stream_id,mode,completion_rate,censored_count,penalized_makespan,makespan,road_vehicle_service_minutes,train_service_minutes,total_service_minutes,passenger_travel_minutes,passengers_per_total_service_minute,first_arrival_time,median_arrival_time,p80_arrival_time,p95_arrival_time,selected_edge_count,selected_realworld_edge_ids,notes,claim_scope
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,1101,a685053cec6c,bus_only,1.0,0,285.03,285.03,786.1,0.0,786.1,3144.39,0.0305,136.02,146.02,275.03,280.03,0,,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,bus_only,1.0,0,419.05,419.05,1048.13,0.0,1048.13,3144.39,0.0229,136.02,146.02,282.03,394.69,0,,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,baseline_multimodal,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,289.12,289.12,344.52,228.0,572.52,4638.53,0.0419,210.56,284.12,286.12,289.12,0,,policy=Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,baseline_multimodal,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,314.12,314.12,371.95,342.0,713.95,4638.54,0.0336,210.56,240.56,284.12,309.62,0,,policy=Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,284.12,284.12,344.52,228.0,572.52,4638.54,0.0419,210.56,240.56,257.98,284.12,0,,policy=Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,284.12,284.12,371.95,342.0,713.95,4638.54,0.0336,210.56,240.56,245.56,278.33,0,,policy=Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,283.12,283.12,251.53,228.0,479.53,4638.53,0.05,209.56,239.56,283.12,283.12,0,,policy=Space feeder departures and release last-mile vehicles on demand when rail batches arrive to reduce schedule bunching. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,313.12,313.12,330.8,342.0,672.8,4638.53,0.0357,209.56,239.56,283.12,283.12,0,,policy=Space feeder departures and release last-mile vehicles on demand when rail batches arrive to reduce schedule bunching. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1101,a685053cec6c,bus_only,1.0,0,285.04,285.04,786.1,0.0,786.1,3144.42,0.0305,136.02,146.02,275.03,280.03,8,osm:548885775;osm:967697627;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:376994106;osm:175357581,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1102,d7563b7efaa3,bus_only,1.0,0,419.05,419.05,1048.14,0.0,1048.14,3144.42,0.0229,136.02,146.02,282.04,394.7,8,osm:548885775;osm:967697627;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:376994106;osm:175357581,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,baseline_multimodal,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1101,a685053cec6c,multimodal,1.0,0,289.12,289.12,344.56,228.0,572.56,4638.71,0.0419,210.56,284.12,286.12,289.12,8,osm:548885775;osm:967697627;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:376994106;osm:175357581,policy=Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,baseline_multimodal,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1102,d7563b7efaa3,multimodal,1.0,0,314.12,314.12,372.0,342.0,714.0,4638.72,0.0336,210.56,240.56,284.12,309.62,8,osm:548885775;osm:967697627;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:376994106;osm:175357581,policy=Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,multimodal_lastmile_redundancy,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1101,a685053cec6c,multimodal,1.0,0,284.12,284.12,344.56,228.0,572.56,4638.72,0.0419,210.56,240.56,257.98,284.12,8,osm:548885775;osm:967697627;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:376994106;osm:175357581,policy=Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,multimodal_lastmile_redundancy,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1102,d7563b7efaa3,multimodal,1.0,0,284.12,284.12,372.0,342.0,714.0,4638.72,0.0336,210.56,240.56,245.56,278.34,8,osm:548885775;osm:967697627;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:376994106;osm:175357581,policy=Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,staggered_or_adaptive_dispatch,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1101,a685053cec6c,multimodal,1.0,0,283.12,283.12,251.56,228.0,479.56,4638.71,0.05,209.56,239.56,283.12,283.12,8,osm:548885775;osm:967697627;osm:78400400;osm:583671030;osm:279058905;osm:551145402;osm:376994106;osm:175357581,policy=Space feeder departures and release last-mile vehicles on demand when rail batches arrive to reduce schedule bunching. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
