s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
1.0,0.0,baseline,blocked,,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.0,baseline,capacity_reduction,0.25,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.0,baseline,capacity_reduction,0.5,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.0,baseline,capacity_reduction,0.75,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.0,matched_redundancy,blocked,,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.0,matched_redundancy,capacity_reduction,0.25,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.0,matched_redundancy,capacity_reduction,0.5,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.0,matched_redundancy,capacity_reduction,0.75,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.1,baseline,blocked,,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.1,baseline,capacity_reduction,0.25,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.1,baseline,capacity_reduction,0.5,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.1,baseline,capacity_reduction,0.75,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.1,matched_redundancy,blocked,,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.1,matched_redundancy,capacity_reduction,0.25,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.1,matched_redundancy,capacity_reduction,0.5,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
1.0,0.1,matched_redundancy,capacity_reduction,0.75,-29.998488547237002,0.0,3,-29.998488547237002,-29.998488547237002,3,0
2.0,0.0,baseline,blocked,,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.0,baseline,capacity_reduction,0.25,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.0,baseline,capacity_reduction,0.5,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.0,baseline,capacity_reduction,0.75,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.0,matched_redundancy,blocked,,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.0,matched_redundancy,capacity_reduction,0.25,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.0,matched_redundancy,capacity_reduction,0.5,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.0,matched_redundancy,capacity_reduction,0.75,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.1,baseline,blocked,,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.1,baseline,capacity_reduction,0.25,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.1,baseline,capacity_reduction,0.5,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.1,baseline,capacity_reduction,0.75,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.1,matched_redundancy,blocked,,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.1,matched_redundancy,capacity_reduction,0.25,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.1,matched_redundancy,capacity_reduction,0.5,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
2.0,0.1,matched_redundancy,capacity_reduction,0.75,-34.9758167557917,0.0,3,-34.9758167557917,-34.9758167557917,3,0
