s,p_fail_scale,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_success_rate,multi_success_rate,bus_resource_eff,multi_resource_eff,bus_leftover,multi_leftover
1.0,0.0,0,42,1413.4429771643986,1030.2530666666662,383.1899104977324,0.765,1.0,0.8997,0.0932,235,0
1.0,0.0,1,43,1413.3366325359318,1030.2530666666662,383.0835658692656,0.765,1.0,0.8997,0.0932,235,0
1.0,0.0,2,44,1413.5795704438456,1030.2530666666662,383.32650377717937,0.765,1.0,0.8997,0.0932,235,0
1.0,0.1,0,42,1413.4429771643986,1030.2530666666662,383.1899104977324,0.765,1.0,0.8997,0.0932,235,0
1.0,0.1,1,43,1413.3366325359318,1030.2530666666662,383.0835658692656,0.765,1.0,0.8997,0.0932,235,0
1.0,0.1,2,44,1413.5795704438456,1030.2530666666662,383.32650377717937,0.765,1.0,0.8997,0.0932,235,0
2.0,0.0,0,42,1418.267258414398,1044.0490666666667,374.2181917477312,0.765,1.0,0.8946,0.0905,235,0
2.0,0.0,1,43,1418.160913785931,1044.0490666666667,374.1118471192642,0.765,1.0,0.8946,0.0905,235,0
2.0,0.0,2,44,1418.403851693845,1044.0490666666667,374.3547850271782,0.765,1.0,0.8946,0.0905,235,0
2.0,0.1,0,42,1418.267258414398,1044.0490666666667,374.2181917477312,0.765,1.0,0.8946,0.0905,235,0
2.0,0.1,1,43,1418.160913785931,1044.0490666666667,374.1118471192642,0.765,1.0,0.8946,0.0905,235,0
2.0,0.1,2,44,1418.403851693845,1044.0490666666667,374.3547850271782,0.765,1.0,0.8946,0.0905,235,0
