row_id,region_id,graph_source,policy_id,scenario_id,scenario_family,scenario_type,disruption_mode,seed,mode,completion_rate,censored_count,risk_label,risk_label_rule,claim_scope
simrow-000001,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3101,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000002,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3102,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000003,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3103,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000004,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3104,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000005,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3105,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000006,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3106,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000007,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3107,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000008,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3108,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000009,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3109,bus_only,1,0,normal,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
simrow-000010,goseong_mobilization,cached_graphml:data/cache/goseong_corridor_road.graphml;road_class_overrides:data/parameters/road_class_overrides.csv,bus_only,no_disruption,no_disruption,none,none,3110,bus_only,0.96,1,watch,normal if completion_rate>=0.95 and censored_count=0; watch if completion_rate>=0.80; risk if completion_rate>=0.50; otherwise failure,"Phase 10 post-simulation ML decision-support analysis only; labels are derived from simulation outputs and do not prove real-world calibration, publication readiness, final-study readiness, formal acceptance, or operational forecasting."
