region_id,graph_source,policy_id,scenario_id,scenario_family,scenario_type,mode,run_count,mean_completion_rate,mean_censored_count,mean_penalized_makespan,mean_makespan,mean_road_vehicle_service_minutes,mean_train_service_minutes,mean_total_service_minutes,mean_passenger_travel_minutes,mean_passengers_per_total_service_minute,mean_first_arrival_time,mean_median_arrival_time,mean_p80_arrival_time,mean_p95_arrival_time,claim_scope
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,baseline_multimodal,no_disruption,no_disruption,none,multimodal,2,1.0,0.0,51.11,51.11,16.76,40.0,56.76,614.09,0.4228,41.11,46.11,51.11,51.11,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,baseline_multimodal,songpa_critical_link_blockage,critical_link,blocked,multimodal,2,1.0,0.0,51.11,51.11,16.76,40.0,56.76,614.09,0.4228,41.11,46.11,51.11,51.11,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,baseline_multimodal,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,multimodal,2,1.0,0.0,51.13,51.13,16.81,40.0,56.81,614.49,0.4225,41.12,46.13,51.13,51.13,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,baseline_multimodal,songpa_random_capacity_reduction,random,capacity_reduction,multimodal,2,1.0,0.0,51.11,51.11,16.76,40.0,56.76,614.1,0.4228,41.11,46.11,51.11,51.11,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,bus_only,no_disruption,no_disruption,none,bus_only,2,1.0,0.0,19.28,19.28,12.84,0.0,12.84,102.69,1.8697,9.28,14.28,19.28,19.28,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,bus_only,songpa_critical_link_blockage,critical_link,blocked,bus_only,2,1.0,0.0,19.28,19.28,12.84,0.0,12.84,102.69,1.8697,9.28,14.28,19.28,19.28,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,bus_only,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,bus_only,2,1.0,0.0,19.29,19.29,12.87,0.0,12.87,102.97,1.8647,9.29,14.29,19.29,19.29,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,bus_only,songpa_random_capacity_reduction,random,capacity_reduction,bus_only,2,1.0,0.0,19.28,19.28,12.84,0.0,12.84,102.7,1.8696,9.28,14.28,19.28,19.28,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,multimodal,2,1.0,0.0,51.11,51.11,16.76,40.0,56.76,614.09,0.4228,41.11,46.11,51.11,51.11,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,multimodal_lastmile_redundancy,songpa_critical_link_blockage,critical_link,blocked,multimodal,2,1.0,0.0,51.11,51.11,16.76,40.0,56.76,614.09,0.4228,41.11,46.11,51.11,51.11,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,multimodal_lastmile_redundancy,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,multimodal,2,1.0,0.0,51.13,51.13,16.81,40.0,56.81,614.49,0.4225,41.12,46.13,51.13,51.13,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,multimodal_lastmile_redundancy,songpa_random_capacity_reduction,random,capacity_reduction,multimodal,2,1.0,0.0,51.11,51.11,16.76,40.0,56.76,614.1,0.4228,41.11,46.11,51.11,51.11,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,multimodal,2,1.0,0.0,61.11,61.11,16.76,60.0,76.76,614.09,0.3127,41.11,51.11,61.11,61.11,Pilot multi-corridor candidate output for graph-scale method review; not calibrated real-world results or an operational forecast.
