region_id,graph_source,policy_id,scenario_id,scenario_family,scenario_type,disruption_mode,mode,run_count,mean_completion_rate,mean_censored_count,mean_penalized_makespan,mean_makespan,mean_road_vehicle_service_minutes,mean_train_service_minutes,mean_total_service_minutes,mean_passenger_travel_minutes,mean_passengers_per_total_service_minute,mean_first_arrival_time,mean_median_arrival_time,mean_p80_arrival_time,mean_p95_arrival_time,claim_scope
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,baseline_multimodal,no_disruption,no_disruption,none,none,multimodal,2,1.0,0.0,46.42,46.42,19.09,26.0,45.09,464.69,0.5323,31.42,41.42,46.42,46.42,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,baseline_multimodal,songpa_critical_link_blockage,critical_link,blocked,blocked,multimodal,2,0.0,24.0,7400.0,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,baseline_multimodal,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,47.51,47.51,22.3,26.0,48.3,490.43,0.4969,32.48,42.49,47.51,47.51,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,baseline_multimodal,songpa_random_capacity_reduction,random,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,46.74,46.74,20.14,26.0,46.14,473.14,0.5201,31.73,41.73,46.74,46.74,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,bus_only,no_disruption,no_disruption,none,none,bus_only,2,1.0,0.0,19.86,19.86,14.58,0.0,14.58,116.61,1.6465,9.86,14.86,19.86,19.86,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,bus_only,songpa_critical_link_blockage,critical_link,blocked,blocked,bus_only,2,1.0,0.0,19.86,19.86,14.58,0.0,14.58,116.61,1.6465,9.86,14.86,19.86,19.86,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,bus_only,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,bus_only,2,1.0,0.0,20.47,20.47,16.37,0.0,16.37,131.0,1.4657,10.45,15.46,20.47,20.47,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,bus_only,songpa_random_capacity_reduction,random,capacity_reduction,capacity_reduction,bus_only,2,1.0,0.0,20.14,20.14,15.41,0.0,15.41,123.29,1.5573,10.13,15.14,20.14,20.14,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,none,multimodal,2,1.0,0.0,46.42,46.42,19.09,26.0,45.09,464.69,0.5323,31.42,41.42,46.42,46.42,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,multimodal_lastmile_redundancy,songpa_critical_link_blockage,critical_link,blocked,blocked,multimodal,2,0.0,24.0,7400.0,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,multimodal_lastmile_redundancy,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,47.51,47.51,22.3,26.0,48.3,490.43,0.4969,32.48,42.49,47.51,47.51,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,multimodal_lastmile_redundancy,songpa_random_capacity_reduction,random,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,46.74,46.74,20.14,26.0,46.14,473.14,0.5201,31.73,41.73,46.74,46.74,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,none,multimodal,2,1.0,0.0,54.42,54.42,19.09,39.0,58.09,464.69,0.4132,38.42,46.42,54.42,54.42,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,staggered_or_adaptive_dispatch,songpa_critical_link_blockage,critical_link,blocked,blocked,multimodal,2,0.0,24.0,7400.0,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,staggered_or_adaptive_dispatch,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,55.51,55.51,22.3,39.0,61.3,490.43,0.3915,39.48,47.49,55.51,55.51,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,staggered_or_adaptive_dispatch,songpa_random_capacity_reduction,random,capacity_reduction,capacity_reduction,multimodal,2,1.0,0.0,54.74,54.74,20.14,39.0,59.14,473.14,0.4058,38.73,46.73,54.74,54.74,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
