policy_id,scenario_id,road_noise_sigma,turnaround_noise_lambda,seed,penalized_makespan,completion_rate,censored_count
bus_only,no_disruption,0.0,0.0,1,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,2,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,3,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,4,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,5,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,6,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,7,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,8,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,9,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.0,10,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,1,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,2,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,3,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,4,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,5,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,6,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,7,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,8,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,9,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.2,10,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,1,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,2,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,3,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,4,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,5,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,6,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,7,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,8,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,9,19.85947688567979,1.0,0
bus_only,no_disruption,0.0,0.4,10,19.85947688567979,1.0,0
bus_only,no_disruption,0.05,0.0,1,19.966920018461295,1.0,0
bus_only,no_disruption,0.05,0.0,2,19.832491211539168,1.0,0
bus_only,no_disruption,0.05,0.0,3,19.824687154838493,1.0,0
bus_only,no_disruption,0.05,0.0,4,19.85042216522896,1.0,0
bus_only,no_disruption,0.05,0.0,5,19.875164954955913,1.0,0
bus_only,no_disruption,0.05,0.0,6,19.79618200340366,1.0,0
bus_only,no_disruption,0.05,0.0,7,19.82952427711637,1.0,0
bus_only,no_disruption,0.05,0.0,8,19.770047452466216,1.0,0
bus_only,no_disruption,0.05,0.0,9,19.8856364605227,1.0,0
bus_only,no_disruption,0.05,0.0,10,19.809453973770434,1.0,0
bus_only,no_disruption,0.05,0.2,1,19.966920018461295,1.0,0
bus_only,no_disruption,0.05,0.2,2,19.832491211539168,1.0,0
bus_only,no_disruption,0.05,0.2,3,19.824687154838493,1.0,0
bus_only,no_disruption,0.05,0.2,4,19.85042216522896,1.0,0
bus_only,no_disruption,0.05,0.2,5,19.875164954955913,1.0,0
bus_only,no_disruption,0.05,0.2,6,19.79618200340366,1.0,0
bus_only,no_disruption,0.05,0.2,7,19.82952427711637,1.0,0
bus_only,no_disruption,0.05,0.2,8,19.770047452466216,1.0,0
bus_only,no_disruption,0.05,0.2,9,19.8856364605227,1.0,0
bus_only,no_disruption,0.05,0.2,10,19.809453973770434,1.0,0
bus_only,no_disruption,0.05,0.4,1,19.966920018461295,1.0,0
bus_only,no_disruption,0.05,0.4,2,19.832491211539168,1.0,0
bus_only,no_disruption,0.05,0.4,3,19.824687154838493,1.0,0
bus_only,no_disruption,0.05,0.4,4,19.85042216522896,1.0,0
bus_only,no_disruption,0.05,0.4,5,19.875164954955913,1.0,0
bus_only,no_disruption,0.05,0.4,6,19.79618200340366,1.0,0
bus_only,no_disruption,0.05,0.4,7,19.82952427711637,1.0,0
bus_only,no_disruption,0.05,0.4,8,19.770047452466216,1.0,0
bus_only,no_disruption,0.05,0.4,9,19.8856364605227,1.0,0
bus_only,no_disruption,0.05,0.4,10,19.809453973770434,1.0,0
bus_only,no_disruption,0.1,0.0,1,20.0743631512428,1.0,0
bus_only,no_disruption,0.1,0.0,2,19.805505537398535,1.0,0
bus_only,no_disruption,0.1,0.0,3,19.789897423997182,1.0,0
bus_only,no_disruption,0.1,0.0,4,19.841367444778125,1.0,0
bus_only,no_disruption,0.1,0.0,5,19.89085302423203,1.0,0
bus_only,no_disruption,0.1,0.0,6,19.732887121127515,1.0,0
bus_only,no_disruption,0.1,0.0,7,19.79957166855293,1.0,0
bus_only,no_disruption,0.1,0.0,8,19.680618019252655,1.0,0
bus_only,no_disruption,0.1,0.0,9,19.911796035365608,1.0,0
bus_only,no_disruption,0.1,0.0,10,19.7594310618611,1.0,0
bus_only,no_disruption,0.1,0.2,1,20.0743631512428,1.0,0
bus_only,no_disruption,0.1,0.2,2,19.805505537398535,1.0,0
bus_only,no_disruption,0.1,0.2,3,19.789897423997182,1.0,0
bus_only,no_disruption,0.1,0.2,4,19.841367444778125,1.0,0
bus_only,no_disruption,0.1,0.2,5,19.89085302423203,1.0,0
bus_only,no_disruption,0.1,0.2,6,19.732887121127515,1.0,0
bus_only,no_disruption,0.1,0.2,7,19.79957166855293,1.0,0
bus_only,no_disruption,0.1,0.2,8,19.680618019252655,1.0,0
bus_only,no_disruption,0.1,0.2,9,19.911796035365608,1.0,0
bus_only,no_disruption,0.1,0.2,10,19.7594310618611,1.0,0
bus_only,no_disruption,0.1,0.4,1,20.0743631512428,1.0,0
bus_only,no_disruption,0.1,0.4,2,19.805505537398535,1.0,0
bus_only,no_disruption,0.1,0.4,3,19.789897423997182,1.0,0
bus_only,no_disruption,0.1,0.4,4,19.841367444778125,1.0,0
bus_only,no_disruption,0.1,0.4,5,19.89085302423203,1.0,0
bus_only,no_disruption,0.1,0.4,6,19.732887121127515,1.0,0
bus_only,no_disruption,0.1,0.4,7,19.79957166855293,1.0,0
bus_only,no_disruption,0.1,0.4,8,19.680618019252655,1.0,0
bus_only,no_disruption,0.1,0.4,9,19.911796035365608,1.0,0
bus_only,no_disruption,0.1,0.4,10,19.7594310618611,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,1,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,2,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,3,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,4,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,5,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,6,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,7,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,8,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,9,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.0,10,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,1,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,2,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,3,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,4,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,5,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,6,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,7,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,8,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,9,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.2,10,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,1,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,2,51.130961727037715,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,3,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,4,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,5,47.98911732016096,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,6,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,7,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,8,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,9,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.0,0.4,10,46.41991672397955,1.0,0
baseline_multimodal,no_disruption,0.05,0.0,1,46.40592500324892,1.0,0
baseline_multimodal,no_disruption,0.05,0.0,2,46.42631627114352,1.0,0
