region_id,graph_source,policy_id,scenario_id,scenario_family,scenario_type,disruption_mode,seed,seed_stream_id,mode,completion_rate,censored_count,penalized_makespan,makespan,road_vehicle_service_minutes,train_service_minutes,total_service_minutes,passenger_travel_minutes,passengers_per_total_service_minute,first_arrival_time,median_arrival_time,p80_arrival_time,p95_arrival_time,selected_edge_count,selected_realworld_edge_ids,notes,claim_scope
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,bus_only,no_disruption,no_disruption,none,none,1101,a685053cec6c,bus_only,1.0,0,432.47,432.47,1222.49,0.0,1222.49,4891.92,0.0196,207.76,219.74,418.52,425.49,0,,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,bus_only,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,bus_only,0.92,2,1080.0,432.47,1629.0,0.0,1629.0,4893.9,0.0135,207.76,219.74,424.1,432.47,0,,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,baseline_multimodal,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,330.25,330.25,434.38,228.0,662.38,5159.92,0.0362,230.8,324.6,326.86,330.25,0,,policy=Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,baseline_multimodal,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,355.25,355.25,464.55,342.0,806.55,5160.57,0.0298,230.8,261.13,324.6,350.66,0,,policy=Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,324.6,324.6,434.71,228.0,662.71,5163.52,0.0362,230.8,261.46,286.72,324.6,0,,policy=Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,multimodal_lastmile_redundancy,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,324.93,324.93,465.21,342.0,807.21,5164.5,0.0297,230.8,261.13,266.46,316.16,0,,policy=Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,none,1101,a685053cec6c,multimodal,1.0,0,323.6,323.6,318.08,228.0,546.08,5159.91,0.044,229.8,260.13,323.6,323.6,0,,policy=Space feeder departures and release last-mile vehicles on demand when rail batches arrive to reduce schedule bunching. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,staggered_or_adaptive_dispatch,no_disruption,no_disruption,none,none,1102,d7563b7efaa3,multimodal,1.0,0,354.25,354.25,419.29,342.0,761.29,5160.23,0.0315,229.8,260.13,323.6,323.6,0,,policy=Space feeder departures and release last-mile vehicles on demand when rail batches arrive to reduce schedule bunching. | scenario=No structured road disruption; baseline comparison row.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,bus_only,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1101,a685053cec6c,bus_only,0.75,6,2280.0,276.29,1557.36,0.0,1557.36,6232.86,0.0116,262.84,269.55,276.29,276.29,8,kn:2570232000;kn:2670183500;kn:2390306400r;kn:2670016504r;kn:2390306400;kn:2650162300r;kn:2660261801;kn:2520035504r,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
goseong_mobilization,cached_graphml:data/cache/goseong_nodelink_road.graphml;road_class_overrides:data/parameters/vds_motorway_overrides.csv,bus_only,goseong_random_capacity_reduction,random,capacity_reduction,capacity_reduction,1102,d7563b7efaa3,bus_only,0.58,10,3480.0,276.29,1557.36,0.0,1557.36,5718.93,0.009,262.84,269.55,276.29,276.29,8,kn:2570232000;kn:2670183500;kn:2390306400r;kn:2670016504r;kn:2390306400;kn:2650162300r;kn:2660261801;kn:2520035504r,policy=Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule. | scenario=Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,Pilot scaffold sample output only; not calibrated real-world results or an operational forecast.
