s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
0.8,0.0,baseline,blocked,,0,42,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,1,43,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,2,44,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,3,45,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,4,46,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,5,47,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,6,48,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,7,49,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,8,50,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
0.8,0.0,baseline,blocked,,9,51,645.0121933903429,675.0119354357381,-29.999742045395237,645.0121933903429,675.0119354357381,-29.999742045395237,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8694,0.9459,-0.07650000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1150.25,346.89,0.0,480.0,0.0,230.25,0.0,230.25,1150.25,577.14,573.11,0.0,480.0,-480.0,1150.25,1057.14,93.1099999999999,50011.03,65092.73,-15081.700000000004,0.8694,1.7327,-0.8633,0.8694,0.9459,-0.07650000000000001
